yawn	fa
to	i
have	el
two	sin
be	d
of	n
father	baba
in	di
where	anda
seven	sa
if	ma
eight	tam
hello	azul
uncle	zizi
what	acu
this	a
be	ili
water	aman
eye	allen
write	aru
cry	ru
heart	ul
nothing	walu
search	nadi
-th	wis
writing	tira
path	abrid
dirty	ames
washing	tarda
Kabyle	taqbaylit
filth	ammus
man	argaz
love	tayri
ring	talullit
dog	aydi
nose	anzaren
couple	abalag
pupil	abalmud
advantageous	abaɣar
attitude	addud
listen	ssefled
col	tizi
he	netta
six	setta
experience	termit
word	awal
maybe	ahat
steal	aker
me	iyi
something	kra
name	isem
be born	lal
envious	asem
boy	aqcic
girl	taqcict
woman	tameṭṭut
fly	izi
mosquito	tizit
hand	afus
cat	amicic
sky	igenni
machine	tamacint
book	taktabt
row	adur
be	aql
Estonia	Isṭuni
star	itri
mountain	adrar
alphabet	agemmay
I	nekk
you	kečč
you	kemm
she	nettat
always	dima
today	assa
history	amazruy
book	adlis
world	ddunit
religion	ddin
Qur'an	leqran
city	tamdint
tribe	leqbilt
son	mmi
language	tutlayt
God	Ṛebbi
or	neɣ
exile	lɣerba
freedom	tilelli
bird	aylal
honor	nnif
still	mazal
see	wali
plant	imɣi
give birth	arew
hate	kreh
lord	agellid
tongue	iles
elm	ulmu
black	aberkan
village	taddart
soccer	ddabex uḍar
five	semmus
Jesus	Ɛisa
Jesus	Yasuɛ
eye	tiṭ
washed	irid
cat	amcic
distaff	taruka
country	tamurt
war	amgaru
synonym	agdawal
jackal	uccen
conjugation	taseftit
verb	amyag
eat	ečč
direction	lqebla
each	yal
big	imɣur
example	amedya
democracy	tugdut
very	aṭas
high	aälay
skull	abbaɣ
smoke	abbu
fill	acaṛ
planet	amtiweg
time	lweqt
time	akud
India	Lhend
know	issin
letter	tabrat
jump	neggez
bean	ibawen
pennyroyal	fleggu
fern	ifilku
beam	atmun
a lot	bezzaf
learn	lmed
also	daɣen
meat	aksum
want	bɣu
win	rbeḥ
before	uqbel
read	ɣer
see	ẓer
bag	taculliḍt
on	ɣef
female cat	tamcict
poor	meskin
journalist	aneɣmas
journalist	taneɣmast
poem	asefru
onion	aẓalim
Algeria	Lezzayer
Morocco	Lmerruk
French	tafṛansist
live	zdeɣ
French	afṛansis
big	ameqqran
come	yya
canine	ugel
tooth	tuɣmest
ache	qreḥ
sweet	aẓidan
food	učči
have	sɛu
child	agrud
human	amdan
thing	taɣawsa
year	aseggas
because	acku
jail	lḥebs
written	ttwaru
wash	ssired
sell	zzenz
sold	enz
bookstore	tanedlist
small	amecṭuḥ
birth	talalit
two	snat
cow	tafunast
forget	ttu
one	yiwen
one	yiwet
three	tlata
four	rebɛa
three	kraḍ
five	xemsa
seven	sebɛa
eight	tmanya
nine	tesɛa
ten	ɛacrin
last	aneggaru
four	kuẓ
six	sḍis
nine	tẓa
ten	mraw
first	amezwaru
key	tasarut
knight	amnay
dog	aqjun
Africa	Tafrikt
Middle East	Asamar alemmas
continent	amenẓaw
finish	fakk
very	mliḥ
belt	abagus
a little	cwiya
field	lexla
friend	amdakkel
river	asif
bird	afṛux
donkey	aɣyul
rooster	ayaziḍ
sheep	ikerri
sun	tafukt
sun	iṭij
moon	ayyur
spring	tafsut
winter	ccetwa
winter	tagrest
autumn	lexrif
we	nekni
we	nekkenti
you	kunwi
you	kunnemti
they	nutni
they	nutenti
who	anwa
when	melmi
how	amek
that	wihin
that	tihin
mother	yemma
finish	kfu
stolen	ttwaker
killing	timenɣiwt
kill	enɣ
every day	yal ass
tired	ɛyu
