hand	lima
chin	baka
eye	mata
deer	usa
pig	baboy
elbow	siko
chicken	manok
tongue	dila
child-in-law	magad
spouse	sawa
shoulder	baga
neck	lieg
nail	sulo
horse	kabayo
body	lawa
father	amay
knee	atay
foot	batiis
sibling-in-law	bayaw
rib	gusok
dog	ayam
mother	inay
hair	buok
ear	talinga
finger	tudlo
parent-in-law	ugangan
back	likod
nose	irong
tooth	ngipen
back	tudtod
mouse	ambaw
knee	buol
forehead	takong
thumb	inay-inay
mouth	ba-ba
arm	blukan
bone	bekkeg
face	waleng
heart	tagipusuon
chest	dag-anan
cousin	katagsa
nephew	gumangken
friend	arey
person	ittaw
sibling	utod
turtle	bubuo
snake	bekessan
rooster	langganen
