heart	puso
child	anak
salt	asin
five	lima
ginger	laya
nine	siyam
dog	aso
father	ama
eye	mata
guitar	gitara
cheek	tamil
night	labi
Philippines	diket
grandchild	apo
egg	itlog
hen	upa
sky	langit
rock	bato
chicken	manok
water	danom
mother	ina
tongue	dila
moss	lumut
rust	lati
sky	daya
clayen pot	banga
sea	daga
milk	gatas
famine	bitil
medicine	agas
branch	panga
bird	titit
fork	tinidor
kidney	batin
bucket	timba
spouse	asawa
coffee	kape
road	danan
tail	iko
bread	tinapay
fly	bubuli
foot	siki
soursop	guyabano
jackfruit	langka
house	beey
roof	atep
man	lalaki
woman	babai
neck	bagang
rain	udan
mosquito	lamok
charcoal	uling
gold	balitok
coconut	niyog
needle	dagom
star	talaw
cripple	pilay
wing	payak
father	tatang
gate	alad
year	tawen
dust	tapok
pillow	pungan
lightning	kimat
liver	atey
morning	agsapa
mother	nanang
penis	laday
lip	subil
root	lamot
jaw	patang
key	tulbek
hat	kalugong
hand	takkay
finger	gumot
eel	kiwet
dimple	piyek
carabao	nuwang
shoulder	padanga
day	agew
flower	sabsabong
thunder	kido
ear	keweng
fish	nigay
wind	dagem
snake	eweg
sand	bisil
grass	gabgab
spider	tikawa
name	ngadan
yesterday	nasdem
frost	andap
