what	نا
water	سُوڤْ
horse	اَتْ
first	اِلْكْ
stream	اَقِنْ
name	ااتْ
few	اازْ
white	ااقْ
hunt	ااڤْ
moon	ااىْ
very	اَيِغْ
stallion	اَذْغِرْ
duck	اُرْدَكْ
good	اَذْكُو
drink	اِجْماكْ
suck	اَمّاكْ
ask for	اُمّاقْ
hunger	ااجْماقْ
praise	اُوکْماكْ
drink	اِجُرْماكْ
drink	اِجِشْماكْ
drunk	اِجِلْماكْ
seek	اِسْتاماكْ
seek	اِرْتاماكْ
pour out	تُكْماكْ
copulate	سِكْماكْ
know	بِلْماكْ
remain	قَلْماقْ
come	کَلْماكْ
laugh	كُلْماكْ
bury	كُمّاكْ
reckoned	سَنْماقْ
offer	سُنْماقْ
red	قِزَرْماقْ
gnaw	كَمُرْماكْ
year	يِلْ
tree	يِغَجْ
heart	يُرَكْ
enemy	يَغٖى
rain	يَغْمُرْ
he	اُلْ
gold	اَلْتُونْ
there	اَنْدا
god	تَنْكْرٖى
I	مَنْ
thing	نانْكْ
idol	بُرْخَنْ
thou	سَنْ
you	سِزْ
we	بِزْ
they	اُلارْ
who	كِمْ
one	بٖيرْ
two	اِكّٖى
three	اُجْ
four	تُورْتْ
five	بٖيشْ
big	بَدُكْ
wise	بِلْكا
cheap	اُجُزْ
leg	اَذَقْ
how many	قَجْ
hair	سَجْ
feed	تُذْغُرْماقْ
send	اٖذْماقْ
where	قَنْدا
fowl	تَقاغُو
thief	اُغْریٖ
strength	كُوجْ
tray	تَڤْسٖی
empty	بُشْ
great	اُلُغْ
young	کَذْجْ
horn	خُتُو
