llama	lama
nobody	nicht
ant	mrówka
mountain	góra
womb	klin
brother	brat
forest	las
and	ë
nothing	nick
Sambucus	bes
nose	nos
stone	kam
neither	ani
aim	cél
hole	kula
one	jeden
how	jak
interrogative pronoun	-s
yes	jo
March	marc
hoe	aka
space	rum
dog	tusk
city	gard
cheese	sur
hook	haka
over	nad
Africa	Afrika
Gdańsk	Gduńsk
hallway	dóm
mill	młin
nature	roda
summer	lato
bee	pszczoła
night	noc
ground squirrel	sus
far	dalek
lady	dama
shoe	bót
beard	barda
harrow	barna
foot	noga
you	wa
hand	paja
board	dél
crown	koruna
heir	erba
mole	kret
heart	serce
crow	warna
beard	broda
very	baro
crayfish	rek
flag	fana
gold	złoto
wife	żona
garden patch	lécha
defect	fela
tooth	ząb
hyena	hiena
word	słowo
two	dwa
after	pò
about	ò
breast	piers
Estonia	Estóńskô
narwhal	narwal
archaeology	archeòlogijô
motto	mòtto
Lithuania	Lëtewskô
Norway	Norweskô
drop	kapka
key	klucz
voice	głos
lupine	lëpin
camel	wielbłąd
planet	planéta
only	leno
hunting	jachta
October	rujan
alpaca	alpaka
head	głowa
man	człowiek
frog	żaba
blood	krew
furrow	barzda
Kashubian	kaszëbsczi
cat	kòt
fish	rëba
perplexed	baf
tree	drzéwò
network	jadro
stove	piec
cellar	sklep
dromedary	dromader
a lot	dużo
horn	róg
bread	chléb
accusative case	winowôcz
nominative case	nazéwôcz
nominative case	nominatiw
genitive case	rodzôcz
genitive case	genytiw
dative case	dôwôcz
instrumental case	narzãdzôcz
instrumental case	jinstrumental
locative case	môlnik
locative case	lokatiw
vocative case	wòłiwôcz
vocative case	wòkatiw
onion	cëbùla
Monday	pòniedzôłk
Tuesday	wtórk
Wednesday	strzoda
Thursday	czwôrtk
Friday	piątk
Saturday	sobòta
Sunday	niedzela
January	stëcznik
February	gromicznik
March	strumiannik
April	łżëkwiat
May	môj
June	czerwińc
July	lëpinc
August	zélnik
September	séwnik
November	lëstopadnik
December	gòdnik
winter	zëma
