moon	bulan
ginger	laya
ginger	agat
eye	mata
guitar	gitara
cheek	tamil
grandchild	apo
egg	itlog
hen	upa
sky	langit
chicken	manok
rust	lati
clayen pot	banga
milk	gatas
famine	bitil
branch	panga
fork	tinidor
kidney	batin
bucket	timba
coffee	kape
bread	tinapay
jackfruit	langka
water	danum
neck	bagang
rain	udan
hair	buwak
charcoal	uling
gold	balitok
coconut	niyog
cripple	pilay
father	tatang
gate	alad
dust	tapok
pillow	pungan
jaw	pangal
lightning	bagilat
liver	eltey
morning	aghapa
mother	nanang
hand	taklay
fly	apangat
flood	alwang
heart	puho
key	tulbak
lip	hubil
hat	kalugong
soursop	alimondo
finger	galumot
egg	ikdog
eel	kiwet
carabao	nuwang
