ten	он
republic	республика
fire	от
you	син
head	пас
number	сан
I	мин
snow	хар
hair	сас
six	алты
million	миллион
medicine	им
blood	хан
box	ящик
street	орам
bear	аба
sheep	хой
three	ӱс
two	ікі
one	пір
four	тӧрт
hundred	чӱс
water	суғ
five	пис
seven	читі
eight	сигіс
nine	тоғыс
twenty	чибіргі
thirty	отыс
forty	хырых
fifty	иліг
sixty	алтон
seventy	читон
man	ир
pig	сосха
wolf	пӱӱр
star	чылтыс
cat	хоосха
tongue	тіл
tree	ағас
ninety	тоғызон
cow	інек
evening	иир
plate	табах
hat	пӧрік
rain	наңмыр
steel	молат
rifle	мылтых
Venus	Иир Солбаны
wheat	пуғдай
cloud	пулут
lake	кӧл
ant	хымысха
beetle	хара хурт
ice	пус
you	сірер
we	піс
he	ол
this	пу
my	минің
your	синің
our	пістің
their	оларның
his	аның
your	сірернің
first	пірінӌі
second	ікінӌі
third	ӱзінӌі
fourth	тӧртінӌі
fifth	пизінӌі
sixth	алтынӌы
seventh	читінӌі
eighth	сигізінӌі
ninth	тоғызынӌы
tenth	онынӌы
yellow	сарығ
sun	кӱн
servant	хул
soap	сабын
foot	азах
sea	талай
vein	тамыр
hare	хозан
fish	палых
badger	порсых
word	сӧс
dog	адай
squirrel	тиин
cannabis	киндір
poplar	тирек
summer	чайғы
winter	хысхы
spring	часхы
autumn	кӱскӱ
sand	хум
camel	тибе
fox	тӱлгӱ
tarbagan	тарбаған
bull	пуға
lion	алабарыс
snow leopard	парыс
ground squirrel	ӧрке
chipmunk	кӧрік
polecat	кӱзен
otter	хамнос
ram	хуча
nation	чон
night	тӱн
sky	тигір
east	іскер
west	кидер
north	алтынзарых
south	ӱстінзарых
snake	чылан
person	кізі
silver	кӱмӱс
iron	тимір
gold	алтын
steppe	чазы
wind	чил
copper	чис
poison	оо
maral	сыын
pine	харағай
taiga	тайға
mountain	тағ
bank	чар
pair	хос
livestock	мал
tail	хузурух
old woman	иней
song	сарын
song	ыр
wound	палығ
axe	палты
life	чуртас
death	ӧлім
village	аал
guest	аалӌы
priest	абыс
mind	ағыл
mind	ағыл-сағыс
memory	полғаам
hour	сағат
eyebrow	кӧміске
cheek	наах
lip	ирін
stomach	харын
glasses	кӧстік
flower	чахайах
student	ӱгренӌі
teacher	ӱгретчі
owl	ӱгӱ
thaw	ӱлегін
sound	ӱн
river	ӱӱс
potato	яблах
cast iron	сойын
komuz	хомыс
neighbor	хонӌых
fear	хорғыс
bell	саң
knowledge	піліс
friend	нанӌы
nettle	салғанах
milk	сӱт
lie	чой
furcation	азыр
offshoot	азырых
meaning	айалғы
bowl	айах
tableware	айах-самнах
claw	айғах
ice	айғы
diversity	аймах
various	аймах-пасха
and	паза
debt	алым
peace	амыр
barn	аңмар
storekeeper	аңмарӌы
hunter	аңӌы
old man	апсах
sorcerer	аптағӌы
witchcraft	аптағ
participant	араласчы
fellow	арғыс
waterfall	артас
rye	арыс
stallion	асхыр
dairy products	ах-сых
money	ахча
curved	игір
polyline	игірек
saddle	изер
sieve	илгек
messenger	илӌі
breast	имӌек
physician	имӌі
slope	иніс
radish	иретке
threshold	иркін
morning	иртен
pocket	ізеп
stirrup	ізеңе
burrow	ін
bread	іпек
work	істеніс
research	істезіг
researcher	істезігӌі
gut	ічеге
mother	іӌе
carpet	кибіс
air	кии
epidemic	кизім
roe deer	киик
lizard	килескі
witness	киречі
dirt	кір
eyelash	кірбік
cross	кірес
key	клӱс
chairman	кнес
poker	кӧзӧс
Christmas	Кӧледе
shadow	кӧлек
coal	кӧмір
cuckoo	кӧӧк
barley	кӧче
peasant	кресен
hen	таңах
ashes	кӱл
noon	кӱндӱс
mouse	кӱске
coin	манит
drop	тамӌы
smoke	тӱдӱн
smoke	ыс
finger	салаа
other	пасха
where	хайда
eye	харах
mouth	аас
education	ӱгредіг
devil	айна
rag	ӌурух
bird cherry	нымырт
door	ізік
sword	хылыс
pearl	інӌӱ
nose	пурун
wash	чуурға
berry	чистек
silk	чібек
desert	сӧл
thick	чуған
sail	чилкен
needle	іңе
hammer	сӧӧс
warm	чылығ
birthday	тулған кӱн
island	олтырых
round	ныңмыр
hair	хыл
moustache	пызых
Russian	хазах
shore	чиих
wool	чӱн
file	іңғе
duck	ӧртек
kiss	ӧперге
kiss	ӧбӱс
grain	чарба
nail	сӧғ
spider	ірімӌік
grape	ӱзӱм
light	чарых
Kacha	хаас
boy	оол
stone bramble	кӱзергет
bek	пиг
variegated	пилтір
sing	ырлирға
sing	сарнирға
snowy	харлығ
bread	халас
myself	позым
Chinese	хыдат
Yenisei	хырғыс
Khakas	халмах
fairy tale	нымах
girl	хыс
calf	пызо
red	хызыл
old-time	пурунғы
drought	хуруғ
Karachay-Balkar	харасай-малхар тілі
become	поларға
home	иб
what	ниме
color	ӧң
nursery	ясля
foe	ыырӌы
enemy	ыырлазарға
grumble	ыыранарға
enmity	ыыр
swell out	ыынарға
weeping	ыы
drop out	ысхынарға
mouse	ысханах
smoky	ыстығ
smoke	ысталарға
smoke	ыстирға
perineum	ырых
western capercaillie	ырысха
happy	ырыстығ
stutterer	килегей
bake	пызырызарға
stir	пулғирға
give	пирерге
church	тигіриб
chief	чайзаң
affair	кирек
bear	азығ
knife	пычах
