throw away	te
they	o
speak	aria
give	he
cloud	itu
stop	tiga
like	ta
or	kana
with	na
not	ti
father	baba
sleep	toro
liver	ini
curse	ruma
cut	tema
see	ona
from	kuuma
young cow	mori
shit	mai
agree	iguana
father	ithe
paint	haka
saliva	mata
take out	ruta
dream	rota
burn	cina
dew	ime
sleep	koma
refuse	rega
road	bara
count	gera
hyena	hiti
grumble	teta
year	mwaka
go out	uma
iron	cuma
knee	iru
cook	ruga
put	iga
potato	waru
colour	rangi
dance	ina
spirit	ngoma
lack	aga
brain	tombo
draw	taha
drink	nyua
no	aca
disobey	rema
pinch	kunya
only	no
ear lobe	moni
die	kua
like	enda
see	rora
bottle	cuba
bark	ikoni
dislike	mena
suck	onga
ask for	hoya
able	hota
kidney	higo
sow	handa
quarrel	haaro
Lima bean	noe
circumcise	riika
forge	tura
steal	iya
advise	taara
hold one's tongue	kira
peg	amba
pierce	theca
pea	minji
show	onia
try	geria
snake	nyoka
cow	ng'ombe
road	barabara
cassava	mwanga
hand	ngono
darkness	nduma
flea	thuya
aeroplane	ndege
buffalo	mbogo
shield	ngo
child	mwana
dance	inia
bull	ndume
past	tene
car	ngari
television	tivii
smoke	ndogo
piece	igata
God	Ngai
bramble	ndare
field	kĩhaaro
goodness	wega
female goat	harika
number	namba
sell	endia
cukuru	cukuru
glad	kena
heart	ngoro
without	-ta-
guinea fowl	nganga
clerk	karani
nine	kenda
read	thoma
pick	oya
enter	tonya
prevent	giria
order	atha
come up	ambata
mole rat	huko
good	-ega
food	irio
belly	nda
tie	oha
head	mũtwe
beast	nyamũ
Zea mays	mbembe
mouth	kanua
water	maĩ
castor bean	mbarĩki
ma mbarĩki	maguta
sunrise	riũa
shoot	ratha
dog	ngui
say	uga
swallow	meria
louse	ndaa
weaverbird	thonjo
rotten	butha
parasite	njoka
look at	baara
knife	rũhiũ
human being	mũndũ
mũndũ mũgo	mũndũ mũgo
star	njata
moon	mweri
no gain without pain	gũota mwaki nĩ kũhuria
is	nĩ
face	ũthiũ
ear	gũtũ
hair	njuĩrĩ
skull	kĩongo
nose	iniũrũ
way	njĩra
goat	mbũri
