one	एक
you	तू
neck	मान
six	स
New Delhi	दिल्ली
तीन	चार
science	विज्ञान
house gecko	पाल
woman	देर
love	प्रेम
gravy	रस
thief	चोर
village	गांव
cheek	गाल
Moon	चन्द्र
full	पूर्ण
way	वाट
flesh	मास
disease	रोग
hair	केस
Nepal	नेपाळ
name	नाव
leaf	पान
forest	रान
he	तो
fever	जोर
or	वा
sister	भैण
maternal aunt	मावशी
life	जीव
people	लोक
thirst	तान
Shiva	शंकर
blood	रगत
brother	भाव
wedding	लग्न
part	भाग
capital	राजधानी
large	मोटे
hand	हात
Konkani	कोंकणी
son	पूत
thus	म्हणून
non	घाटी
mother tongue	मायभास
language	भास
and	आनी
Portuguese	पुर्तुगेज
English	इंग्लेज
city	शार
musical theater	तियात्र
silver	रुपें
head	मातें
door	दार
excrement	गू
yoke	जु
pay	पगार
Konkani	ऱ
breath	श्वास
education	शिक्षण
water	उदक
dried grass	तण
two	दोन
चार	पाच
dog	सुणो
smoke	धुवोर
णव	धा
आट	णव
fish	मासोळी
enough	पुरो
I	हांव
seed	बी
mango	आम्बो
cremation ground	मसण
window	जनेल
brother	इर्मांव
call	आपव्चे
housefly	मूस
boss	पात्रांव
boss	मालक
be	आस्चे
Muslim	मैर
church	इगर्जे
chapel	कोपेल
eyebrow	भुव
Christian	किरिस्तांव
light	दिवो
सात	आट
rabbit	सोंसो
daughter-in-law	सून
deaf	भेड्डो
neck	गळो
snake	सोरोप
blind	कुरडो
big	व्होड्लें
man	मनीस
dog	कुत्रो
bench	बाक
honey	म्होंव
rain	पाव्स
liquor	सोरो
evening	सांचो
baker	पोदेर
song	कातार
run	धाव्चे
horn	शींग
wedding	काजार
Moses	मूजे
Jesus Christ	जेजू
school	इश्कोल
spanner	पानो
priest	पाद्रि
steal	चोर्चे
soul	आत्मो
dowry	दोत
Peter	पेद्रु
peacefully	सुसेगाद
mother	मांय
neighborhood	वाडो
Catholic festival	फेस्त
Sunday	आय्तार
opposite bank	पलतडी
cook food	रांद्चे
pillow	उशें
spoon	कुलेर
eat	खाव्चे
cry	रड्चे
drink	पियेव्चे
beat	मार्चे
shade	साव्ळी
arm	रट्टो
hold	धर्चे
एकुण्शम्भर	शंभर
dance	नाच्चे
give	दिव्चे
sew	शिव्चे
fear	भिव्चे
fear	भंय
do	कर्चे
sing	गाव्चे
distribute	वाट्चे
leak	गळ्चे
hundredfold	-शे
एकोणीस	वीस
son-in-law	जांवंय
stay	राव्चे
come	येव्चे
burn	जळ्चे
now	आता
field	शेत
drink	पिव्चे
obstruct	आडव्चे
across	आड
mirror	आरसो
early	बेगीन
born	जाव्चे
we	आमि
every day	सद्दा
eye	दोळो
egg	ताती
new	नवें
vomit	ओक्चे
write	बोरोचे
soft	मोव
count	मेज्चे
medicine	वखद
cattle	गोर्वां
short	गिड्डो
hot	हून
grandson	नाथु
umbrella	सत्थे
copulate	झव्चे
charcoal	इंगाळो
father	बापुइ
father-in-law	मावु
young (of an animal)	पोर
chain	साकळी
forget	विसोर्चे
thigh	जांग
cat	माजर
evening	सांज
intestine	आंत
all	सग्ळे
infertile	वांज
walk	पासय
holy cross	खुरिस
hole	बुराक
sleepiness	झेम
old	पोरणें
old	जुनें
first	पयलें
lip	वोंट
doctor	दोतोर
co-sister-in-law	जाव
lift	उबार्चे
tail	शेंपडी
molar	दाड
less	उणे
deficiency	उणेपण
bell	घंटो
climb	चड्चे
climb	चडव्चे
awake	जाग्चे
hip	कुलो
roasted	भाज्चे
swim	पोंव्चे
people	जाण
sweet	गोड
middle	मदी
small	लान
dig	खण्चे
insect	किडो
tongue	जीब
what	किदें
able	शक्चे
lick	लेंव्चे
patience	पाश्येंस
buffalo	म्हस
stick	दांडो
horse	घोडो
cigarette	शिगार
erect	उभो
say	म्हण्चे
whole	अक्खो
today	आयज
take away	व्हर्चे
ginger	आल्ले
but	पूण
defecate	हाग्चे
butter	लोणी
be seen	दिस्चे
tuber	आळू
coriander	कोतमीर
cowshed	गोटो
uncooked rice	तांदूळ
mouse	उंदिर
not	नू
probably	बहुतेक
cost	मोल
elbow	कोंपर
gold	भांगर
burst	फुट्चे
modesty	लज
day	दीस
soil	माति
twin	जवळ
masculine abstract noun	-पण
see	पळव्चे
earthworm	गांय्दोळ
fair	गोरो
flour	पीट
sunlight	वोत
fire	उजो
take	घेव्चे
mouth	तोण
plant	रोव्चे
boil	उकड्चे
slobber	लाळ
wax	मेण
old man	म्हांतारो
back	फाट
white	धवें
learn	शिक्चे
know	जाण्चे
milk	दूद
sour	आंबट
right	उजवें
neighbor	शेजारि
sacred thread	जान्वें
lawyer	आदोगाद
sack	साक
stone	फातर
banyan	वड
sleep	न्हीद
love	मोग
wheel	चाक
meal	जेवण
wring	पिळ्चे
nephew	भाचो
burn	लास्चे
nineteen	एकोणीस
accusative	-क
dish	मिसळ
straight	नीट
easy	सोंपें
straight	सरळ
spicy	तिखट
morning	सकाळ
black	काळें
Christmas	नाताळ
cooked rice	शीत
mushroom	अळमी
open	उगड्चे
expensive	म्हारग
buttermilk	ताक
curd	धंय
sugar cane	ऊंस
sugar cane	कोब्बु
ghee	तूप
liking	आवड
liked	आवड्चे
watermelon	काळिंग
धा	इक्रा
difficulty	त्रास
wear away	झर्चे
cut	कातोर्चे
wheat	गंव
bring	हाड्चे
lightning	वीज
empty	रित्तें
daughter	धूव
bury	पुर्चे
sixteen	सोळा
rice gruel	पेज
darkness	अंधार
garden lizard	शेड्डो
violin	रेबेक
discharge	पू
go	वच्चे
write	बरोव्चे
kabuki	काबुकी
bird	सवणें
swear	सोव्चे
bitter	कोडू
water	कळसो
cool	शीतळ
wave	ल्हार
meet	मेळ्चे
play	खेळ्चे
young	पिल्लू
chain	साखळी
battle	झूंज
guarding	राखण
year	ओनु
birth	जल्म
prostitute	चेडी
stair	सोंपण
Brahmin	बामण
speak	उलोव्चे
prawn	सुंगट
ahead	फुडें
Tamil	आंडु गुंडु
Muslim	कापो
mad	पिसो
crane	बकें
emphatic particle	-च
old	जाण्टो
young	नेण्टो
fist	मूट
here	हांगा
night	पुनव
relative	सोयरो
insipid	अळणी
egg	अंडें
blind	आंधळो
beautiful	सोबित
crow	कावळो
year	वर्स
vulture	गीद
lion	शींव
cowshed	कोड्के
first	पयलो
gone	गेल्लो
dead	मेल्लो
done	केल्लो
done	जाल्लो
then	जाल्यार
far	पैस
die	मर्चे
boil	फोड
spicy	तीख
wild	रानवटी
send	धाड्चे
Hindu spring festival	शिगमो
corpse	मडें
fourth	चवथें
come	आयिल्लो
eighth	आठवें
ninth	णवें
flatbread	पोळी
seventh	सातवें
fifty	पन्नास
chicken	कुंकड
hog	डुक्कर
clean	निवळ
