dog	犬
horse	馬
country	国
number	数
west	西
닭	酉
United States	CIA
month	月
good	OK
love	愛
between	間
blue	青
red	赤
autumn	秋
tomorrow	明日
ant	蟻
relief	安心
safety	安全
cat	猫
human	人
water	水
뱀	蛇
rice	米
zero	零
Sino-	漢
녁	疒
woman	여자
female	여성
ice	氷
설	説
demon	魔
castle	城
sovereign	君
this	今
retirement	引退
gravitation	引力
one	一
location	位置
diminish	損
empty	空
저	底
warehouse	倉庫
ivory	象牙
elephant	象
scholar	士
thousand	千
hundred	百
ten	十
hundred	億
pierce	丨
ㆍ	丶
line	丿
two	二
인	儿
enter	入
eight	八
전	伝
넷째	丁
village	村
coat of arms	紋章
boundary	界
chapter	章
편	編
ghost	神
Tokyo	東京
three	三
four	四
five	五
륙	六
seven	七
latest	最近
most	最
near	近
렬	烈
people	人間
sword	刀
일	萬
how	何
heart	心
Chinese	中國人
day	日
white	白
년	年
shiny	曜
Classical Chinese	円
east	東
North Korea	北
이	隶
writing	文
Japanese	日本語
forest	森
alcoholic	酒
fire	火
병	柄
Korean	한국어
average	中
rain	雨
goddess	女神
small	㐀
lick	㐁
hammer	㐃
personal	㐇
입	㐈
slave	㐉
hanja	㐊
hanja	㐋
rice	㐘
부	㐢
몽	㒱
가	㔔
가	㔖
up	上
below	下
give	与
large	丕
인간	世
small	丘
third	丙
equal	並
개	个
catch	丮
thick	丵
king	主
then	乃
request	乇
lack	乏
mount	乘
cross-eyed	乜
beg	乞
hanja	乧
땅	乫
stone	乭
breast	乳
hanja	乷
painting	乺
얼	乻
hanja	乼
honorific	乽
乾	乾
귀	亀
료	了
hammer	亇
thing	事
촉	亍
유	亏
땅	亐
well	井
선	亘
little	些
second	亜
second	亞
극	亟
intersect	交
형	亨
enjoy	享
capital	京
정	亭
capital city	亰
단	亶
미	亹
망	亾
십	什
benevolence	仁
륵	仂
enemy	仇
forerunner	介
serve	仕
another	他
sage	仙
차	仛
quick	仡
replace	代
령	令
compared	以
가	仮
raise	仰
case	件
duty	任
portion	份
imitate	仿
plan	企
beautiful	伃
심	伈
다섯	伍
기	伎
복	伏
attack	伐
rest	休
companion	伴
구	佉
status	位
low	低
reside	住
subordinate	佐
occupy	佔
일	佚
Buddha	佛
flattery	佞
he	佢
백	佰
항	佷
strange	佹
use	使
come	來
법식	例
그늘	侌
help	侑
륜	侖
여	侞
고	侤
marquis	侯
려	侶
우	俁
connection	係
respectful	俅
준걸	俊
like	俏
vulgar	俗
captive	俘
protection	保
사	俟
협	俠
believe	信
discipline	修
숙	俶
엄	俺
쉬	倅
granary	倉
piece	個
twice	倍
숙	倏
climate	候
의	倚
beautiful	倢
價値	値
languor	倦
morality	倫
naked	倮
난	偄
게	偈
extraordinary	偉
come	偎
해	偕
주	做
stop	停
wander	偟
strong	健
compel	偪
face	偭
side	側
investigation	偵
방	傍
전	傎
창	傖
umbrella	傘
equip	備
종종	傱
transfer	傳
light	僄
humiliate	僇
첨	僉
선	僊
탐	僋
준	僎
彫像	像
료	僚
monk	僧
참	僭
price	價
remote	僻
ceremony	儀
guard	儆
scholar	儒
suffer	儜
이	儞
뢰	儡
excellent	優
obstinate	儳
혜	儶
chief	元
older	兄
fill	充
light	光
win	克
태	兌
면	免
토끼	兎
child	児
태	兑
침	兓
rabbit	兔
투구	兜
망	兦
inside	內
intact	全
유	兪
fair	公
common	共
soldier	兵
therein	其
tool	具
rule	典
염	冄
book	冊
again	再
shine	冏
투구	冑
모	冒
crown	冠
grievance	冤
winter	冬
ice	冰
결	决
풀무	冶
cold	冷
melt	冸
place	凌
freeze	凍
지	凪
ominous	凶
come out	出
box	函
mow	刈
publication	刊
punishment	刑
trim	刓
리	刕
line	列
beginning	初
difference	別
plane	刨
benefit	利
cut	刮
arrival	到
plan	制
여권	券
Buddhist	刹
engrave	刻
경	剄
cut	剉
cut	削
극	剋
랄	剌
front	前
착	剒
strip	剝
경	剠
sharp	剡
leftover	剩
옥	剭
secondary	副
단	剸
carve	劃
류	劉
회	劊
sword	劍
sword	劒
검	劔
리	劙
력	力
service	功
add	加
렬	劣
help	助
exertion	努
coerce	劫
효	効
scold	劾
rise	勃
조서	勅
bravery	勇
strive	勉
래	勑
move	動
consideration	勘
engaged	務
win	勝
work	勞
force	勢
양	勨
예	勩
wrap	勹
균	勻
구	勾
물	勿
개	匄
barbarian	匈
clasp	匊
도	匋
spoon	匕
be	化
craftsman	匠
case	匣
trunk	匧
비	匪
화장	匲
화장	匳
필	匹
lay down	匽
닉	匿
area	區
되	升
noon	午
half	半
swastika	卐
low	卑
high	卓
wide	博
divine	卜
관	卝
excitable	卞
wine	卣
I	卬
rabbit	卯
seal	印
dangerous	危
immediately	即
란	卵
immediate	卽
noble	卿
땅	厁
엄	厂
점	厃
whetstone	厎
hill	厓
리	厘
meadow	原
calculation	厤
궐	厥
detest	厭
shells	厴
leave	去
전	叀
three	叄
participate	叅
again	又
cross	叉
extend	及
friend	友
obedient	叒
uncle	叔
put together	叕
accept	受
mouth	口
old	古
sentence	句
shout	叫
소	召
태	台
scold	叱
history	史
right	右
name	号
사	司
straw	叺
each	各
unite	合
luck	吉
same	同
name	名
ruler	后
리	吏
토	吐
타	吒
탄	吞
부	否
instruct	吩
throat	吭
말	吶
drink	吸
blow	吹
문	吻
후	吽
고	吿
매	呅
dull-minded	呆
foot	呎
눌	呐
charm	呪
whisper	呫
히	呬
taste	味
breathe out	呴
일	呹
효	呺
call	呼
life	命
harmony	和
구	咎
hum	咏
instruct	咐
이	咦
길	咭
찰	咱
시	咶
howl	咷
물건	品
치	哆
일본	哘
person	員
초	哨
mile	哩
cry	哭
wise	哲
읍	唈
ask	唉
연	唌
Chinese	唐
end	唜
땅	唟
chant	唱
cry	唳
강	唴
암	唵
차	唶
점	唸
saliva	唾
조	啁
trade	商
root	啇
love	啊
교	啋
ask	問
쵀	啐
잡	啑
low	啚
배	啡
담	啿
quiver	喁
남	喃
good	善
육	喅
랄	喇
throat	喉
shout	喊
첩	喋
주	喌
call	喚
happiness	喜
갈	喝
즐	喞
위	喟
후	喣
wail	喨
eat	喫
안	喭
찬	喰
폿	喸
효	嗃
사	嗄
miserly	嗇
익	嗌
할	嗐
말	嗑
humility	嗛
소	嗡
짓	嗭
sigh	嘆
하	嘏
menace	嘑
소리	嘒
구	嘔
알	嘠
양	嘪
lap	嘬
roar	嘯
fear	嘵
resonant	嘹
harmony	嘻
탄	嘽
eat	噉
율	噊
쟁	噌
inhale	噏
달	噠
욱	噢
주	噣
close	噤
device	器
옹	噰
throat	噲
톤	噸
신	噺
하	嚇
교	嚙
throat	嚨
