knock	как
ten	он
tea	чай
Moscow	Москва
Kyrgyz	ب
Kyrgyz	ا
Europa	Европа
republic	республика
Balkans	Балкан
bus	автобус
honey	бал
bicycle	велосипед
pineapple	ананас
banana	банан
helicopter	вертолёт
theater	театр
fire	от
king	король
nucleus	ядро
barrel	бочка
novel	роман
silicon	кремний
sultanate	султанат
dry	кур
number	сан
left	сол
movie	фильм
who	ким
train	поезд
Kyrgyz	ج
Kyrgyz	د
Kyrgyz	ع
Kyrgyz	گ
foot	бут
Cyrillic alphabet	ү
letter	къат
moon	ай
white	ак
medicine	дары
goose	каз
eye	көз
coffee	кофе
faithful	так
som	сом
dictionary	сөздүк
ear	кулак
NATO	НАТО
cinema	кино
he	ал
thought	ой
six	алты
floor	ун
بىر	бир
sable	киш
husband	эр
memory	эс
rope	аркан
frog	бака
autumn	күз
garden	бак
tram	трамвай
map	карта
barrel organ	шарманка
sand	кум
son	уул
snow	кар
cauldron	казан
horizon	горизонт
suitcase	чемодан
where	кана
marketplace	рынок
algorithm	алгоритм
black	кара
race	раса
man	адам
ball	топ
hand	кол
cement	цемент
couple	кош
paw	таман
air	аба
dog	ит
apple	алма
Kyrgyz	ۋ
finger	бармак
fish	балык
head	баш
imam	имам
girl	кыз
fox	түлкү
death	өлүү
dirt	кир
shoe	туфли
paper	барак
аш	аш болсун
gold	алтын
shield	калкан
people	эл
letter	кат
religion	дин
property	мал
I	мен
star	жылдыз
grey	боз
pen	калем
salt	туз
snake	жылан
punishment	жаза
two	эки
بەش	беш
eight	сегиз
thirty	отуз
eighty	сексен
you	сен
bacterium	бактерия
faculty	факультет
cinema	кинотеатр
palm tree	пальма
تۅرت	төрт
seven	жети
donkey	эшек
blood	кан
time	чак
child	бала
meat	эт
ash	күл
red	кызыл
yellow	сары
word	сөз
monopoly	монополия
door	эшик
propaganda	пропаганда
candle	шам
father	ата
horse	ат
koumiss	кымыз
circus	цирк
we	биз
you	сиз
steel	болот
song	ыр
manul	мадыл
soup	самын
knee	тизе
needle	ийне
fruit	жимеш
tree	жыгач
tree	дарак
forest	токой
leaf	жалбырак
bone	сөөк
tail	куйрук
egg	жумуртка
horn	мүйүз
heart	жүрөк
liver	боор
ice	муз
mountain	тоо
literature	адабият
mushroom	козу карын
pig	чочко
freedom	азаттык
freedom	эркиндик
freedom	боштондук
north	түндүк
south	түштүк
animal	айбан
animal	жаныбар
death	өлүм
life	өмүр
life	турмуш
life	жашоо
world	дүйнө
universe	аалам
law	заң
law	мыйзам
tiger	жолборс
butterfly	көпөлөк
duck	өрдөк
bear	аюу
city	шаар
book	китеп
cat	мышык
birch	кайың
flower	гүл
color	түс
beauty	көрк
beauty	кооздук
steppe	чөл
steppe	талаа
egoism	өзүмчүлдүк
government	өкмөт
country	өлкө
killer	өлтүргүч
killer	өлтүрүүчү
cadaver	өлүк
apricot	өрүк
house	үй
reader	окуучу
answer	жооп
hope	үмүт
hopelessness	үмүтсүздүк
sound	үн
school	мектеп
impunity	жазасыздык
pillow	жаздык
whore	жалап
loneliness	жалгыздык
vine	жүзүм
viticulturist	жүзүмчү
vineyard	жүзүмдүк
viticulture	жүзүмчүлүк
nature	табият
soup	сорпо
milk	сүт
wine	шарап
eyebrow	каш
truth	акыйкат
truth	чындык
lie	жалган
lie	төгүн
lie	өтүрүк
liar	жалганчы
building	имарат
capital city	борбор
watermelon	дарбыз
melon	коон
carrot	сабиз
