sun	bit
four	mi
make	to
here	hit
through	lay
air	lit
talk	tit
five	m
OK	n
egg	u
happen	mu
flat	dam
take	yu
good	ge
know	se
bright	bang
make	tap
what	chi
one	da
more	je
beside	yam
force	lung
thy	né
his	nya
sheep	yang
make	poep
go	ló
fruit	cap
come	lo
body	gong
need	chá
stand	yap
child	dzo
make	tam
machine	jak
be	jo
tree	gam
hundred thousand	sen
thou	nang
into	wang
father	bá
walk	só
village	wo
river	lang
work	mó
leaf	fu
seven	nyet
not	a
may	abe
nine	gau
that	hau
seed	jít
near	nam
send	dé
car	modo
school	jung
human	yuk
live	nyit
thy	ná
mustard	áng
praise	chóng
expensive	cháng
lay	cáng
of	dá
who	háng
reach	jú
separate	káng
put on	ké
wait	láng
gong	máng
pain	náng
help	páng
invest	ráng
move	shú
run	táng
yard	wáng
health	yáng
beautiful	yóng
look	yú
mountain	boem
pig	wu
hundred	shu
want	nau
mind	myit
mother	myi
small	nge
very	gye
little	cit
very	sósó
new	søk
eight	shet
put	kayt
thing	dzi
clean	byen
I	ngo
again	doem
fence	dáng
shoot	bøk
crisp	sáng
chicken	gyo
people	byu
cry	ngau
drink	shuk
thanks	jeju
carry	woyn
two	øk
wash	chít
middle	agung
hand	lò
cup	kouk
water	gyey
hot	loung
contain	báng
teach	cáu
ten thousand	moyn
fan	shap
sunny	hpáng
firewood	htáng
tire	sháng
complain	hkyáng
thin	kyáng
pain	gyang
give birth	htsáng
have	yó
-est	htang
basket	kyang
break	gyau
man	yukgi
my	ngá
we	nganú
ye	nanú
they	nyanú
water	gyit
three	sóem
year	dzain
warm	loem
breath	soq
goat	choyt
fast	tøng
shoot	bøt
power	hpúng
shadow	yoep
out	htu
leaf	hpo
book	mouksóuk
on	hto
cut down	htuk
tree	søkgam
stick	wasí
dog	lahkóyt
work	jáng
combine	shóyn
rope	tǿ
cook	couk
hot	ngé
that	houk
scatter	sáyn
give	byit
meet	sháu
now	ahkít
place	jòyo
earth	myegong
wood	htí
cut	yám
make	shoep
scare	kyuk
stop	toem
read	ngap
feed	tsó
student	jungnú
why	chimu
he	nyang
how much	hkamyò
how long	hkamyang
paddy	guk
pot	óuk
mango	lamung
Sunday	labayn
morning	napkyoq
Lacid	lachit
Toyota	Tuyuta
fear	gyuk
wisdom	hpací
life	pyayt
build	kyam
about	kōo
fast	myap
we	ngádzóem
we	ngáfó
we	ngámo
you	nédzóem
ye	néfó
ye	némo
first	shít
announce	kyó
why	chikoyt
how	chisú
how	hkasú
six	hkyuk
many	mjóshò
all	dangáin
few	daji
half	dagoyi
like	houksú
down	gyó
jump	byam
behind	nunghtàng
in front of	shiq
around	hkúng
in	hkau
paddy	yohtúng
but	houklouk
pile up	dzung
moon	lámmó
some	daiyám
roll	pyøk
flat	pyí
until	shoq
also	hgeq
slope	dzóyn
sky	mauhkung
see	myang
yesterday	ayénap
complete	pyam
build	tsuk
in	hkouk
forest	sáyo
slip	løng
table	dzobóe
pencil	hkétayn
we	ngonú
for	shitré
be	ngoyt
tomorrow	napyonyít
party	púy
Jingpho	jínghpo
salt	htsó
well	nyǿng
thousand	hkyǿng
fruit	byau
firewood	hkyúng
rope	hkayt
plate	hkyap
gun	hpú
pairs	dzóem
buy	hgø
cart	rǿng
kill	sayt
if	rigi
enemy	gyi
do	koyt
cup	hku
ten	htse
contain	hkáng
cover	gáng
even	nyáng
protrude	ngáng
worse	hpyáng
toss	pyáng
cure	byáng
active	tsáng
touch	dzáng
urine	yít
own	søng
owner	qasøng
soldier	gyi dzo
battle	gyi póy
student	jung dzo
