you	انتوا
fish	حوت
gown	جلابية
spicy	حار
anvil	زبرة
heat	نو
arrest	طب
window	روشن
slave	عبد
clergyman	بيباص
penis	زب
feces	شلال
cunt	طيز
buttocks	تينة
car	كرهبة
utensil	مغرف
jug	مالقي
palm tree	جبارة
much	هلبا
cigarette	سبسي
parrot	آكو
hoopoe	شيبيبوك
water	مي
millstone	قرقابة
steal	خنب
worry	الزب
slave	وصيف
spoon	كاشيك
cry	نغنغ
ululate	زغرط
squish	مزط
squish	فطز
aggregate	شرشور
sand	قزة
semen	بزع
flatulence	زيط
canister	حكة
watermelon	دلاعة
melon	قلعاوية
rural	شلافطي
tea	شاهي
carrot	سفناري
tap	شيشمة
shakshuka	شكشوكة
unsophisticated	شعبوط
stone	رشادة
sandal	مداس
cat	قطوس
turtle	فكرونة
lion	صيد
spinning top	زربوط
cockroach	زقرلو
cockroach	شبو
cockroach	بو شبو
olive	جبوجي
palm tree	لاقبي
pop	فقس
turn signal	فليتشة
oven	كوشة
wait	راجى
طريق خانب التبن	طريق خانب التبن
seriously	بالعاني
lizard	زلمومية
thief	خانب
mushroom	فقاع
fennel seeds	كمون حلو
ground turmeric	بزار
usually	عود لحم
chilli pepper	فلفل أحمر
ginger	سكنجبير
plum	عوينة
carrot	سفنارية
homosexual	زامل
noise	زازة
measles	نمنم
disease	بو شوكة
disease	بو نفاخ
whirlwind	بو علوش
swindle	زلبح
talk	دوى
porcupine	صيد الليل
dodge	خوى
sit	قعمز
clitoris	نونة
turban	زمالة
testicle	دلزة
underpants	فرعة
hair	غثيث
sock	شخشير
cat	قطوسة
quickly	فيسع
knife	موس
two	زوز
wallet	تزدان
glass	مرش
difficult	واعر
delicious	بنين
who	شكون
disorder	فركس
taste	بنة
piece	كاغط
bottle	شيشة
angry	تعفلق
scatter	شرتع
clam	بلبوش
sesame seed	جلجلان
vagina	زك
wrinkle	عفج
shatter	فترش
chameleon	بو كشاش
sump	خرارة
room	مربوعة
mattress	مندار
cloth	بخشة
handrail	قرقطون
liquor	بوخة
emit	شرين
beautiful	قنين
boob	بزول
homosexual	ميبون
larynx	قرجومة
balcony	قلالية
chick	شوشاو
feces	كلوط
closed compartment	كرمود
slightly	دوب
slightly	دوب ما
make-up	بتات
hull	قلفاط
hut	كيب
abscess	دمالة
plenty	شوق
indigo	زرقينة
pasta	رشتة
worse	أحرف
wall	حيط
wood	لوح
red wine	عنابي
parsley	معدنوس
steering wheel	ستيرسو
