pass by	ptak
dry land	tmixʷ
wet ground	púslum̓cw
water	qʷuˀ
Rocky Mountain juniper	púnłp
onion	qʷláwaʔ
humpback salmon	hániʔ
woman	smúłac
woman	syáqcaʔ
humpback salmon	hə́ləz
canoe	ƛ'laz'
good	ʔáma
bad	qə̣ḷ
get better	ʔamawíl'x
get spoiled	qə̣ḷwị́ḷ'x
snow	máqaʔ
fur	ƛ'ámin
axe	ƛ'amín
driftwood	zánuc
spring salmon	zúmak
write	məcxál
write something down	mə́cən
point	cúłun'
bitter	təχ
white	pəq
bald eagle	pqus
find something	púpən'
waterfall	skʷístqʷʔam
dangerous	k'ínk'ənt
wild animal	spzuʔ
bird	spzúzaʔ
pretty	ʔámhus
cast-iron pot	łə̣́nkaya
boy	twiw't
big	χzum
arrive	ƛ'iq
go far away	káʔəw'
get hit	qam't
arrive here	ƛ'íqmin'
point something out	cúłxit
do	χiłc
go	ƛ'ak
take along	ƛ'aks
be about	huz'
food	sʔíłən
eat	ʔíłən
brisk	xə́łxłəm
poor	qʷənqʷánt
mother	skíxzaʔ
stepmother	skixəzʔúł
warm up	nəqʷp
tree	sɣap
mountain	sqʷəm
osprey	c'íxʷc'əxʷ
older sister	kə́xkəx
stab someone	cíqin'
edge	nk'əm'c
one	pálaʔ
muskrat	kl'axʷ
beaver	sqlaw'
snake	naχʷít
dog	sqáχaʔ
edge	npə́tqəc
oceanspray	pácʔaz'
bitter cherry	pṣụ́ṣạz'
butterfly	nạkʷụ́ḷ
butterfly	pasít
unidentified tree	npsáxakaʔ
skunk	ṣpḷạnt
bald eagle	spəlkʷáqs
yellow cedar	páxlaqʷ
loon	ʔíswał
mountain sheep	swelaóps
baby	sk̓úk̓m̓it
coyote	nk̓yap
crane	sméq̓waʔ
wolf	q̓áwam̓
feather	úk̓wal̕
sea	k̓ut́
clay	ts̓áq̓al̕ts
salt	t̓álhem
juniper	tsíktsektaoz̓
