hole	abut
banana	balat
moon	bulan
too	pay
fish	ikan
tree	kayu
child	anak
salt	asin
king	ali
pencil	lapis
five	lima
ginger	laya
stone	batu
fruit	bunga
nine	siyam
head	ulu
dirt	pita
fine	multa
clitoris	util
cow	baka
father	ama
paper	papel
typhoon	bali
foot	iki
dog	asu
noise	damit
shame	bain
hot coal	bala
hand	ima
night	labi
vomit	uta
charcoal	using
eye	ata
ladder	aldan
oil	lana
ear	inga
ladle	pauk
elbow	siku
wine	alak
louse	kutu
bamboo	bulu
chicken	manuk
lightning	kilat
sky	langit
breast	susu
bone	duli
tomorrow	bigat
nail	kuku
mother	ina
tongue	dila
leaf	tubu
mango	pau
coffee	kapi
grandchild	apu
here	situ
mole	siding
lung	bola
candle	kandela
eat	mangan
there	didi
venom	gita
betel nut	buwa
earthen pot	banga
turtle	dogga
sugar cane wine	basi
fare	puliti
cockfighting	talit
drizzle	altot
or	onnu
heart	pusu
harvest	apit
leech	alinta
bench	bangku
many	adu
fat	taba
hungry	bitil
medicine	agas
bran	dugi
ankle	kutin
G-string	baal
correct	siya
boat	bangka
floor	bansag
ocean	baybay
hawk	bukaw
stalk	bulig
wart	butig
blood	dala
mudfish	dalag
path	dalan
branch	sanga
kidney	batin
Bible	Bibliya
mouth	sangi
broom	sagad
invitation	awis
spouse	asawa
bee	alig
number	bilang
gravestone	topak
bracelet	gading
bread	tinapay
sugar	asukal
debt	utang
cat	kusa
milkfish	bangus
wound	sugat
widower	pangis
knife	uku
fish sauce	patis
common sense	nakom
waist	awak
honey	dilu
hair	buuk
sugar apple	atis
corn	bakaw
lime	apul
wild pig	babuy
crocodile	buwaya
fire	apuy
galvanized iron	sisim
man	lalaki
eel	igat
grave	lobon
clothes	badut
front yard	paway
centavo	siping
woman	babai
companion	bulun
flying ant	alaga
custom	ugali
tomato	kamatis
water	danum
neck	bagang
kitchen	kusina
later	sooni
money	pilak
tusk	saung
pestle	allu
war	gubat
constipation	tubol
mosquito	ilok
bracelet	sipat
ceiling beam	batangan
web	batong
year	tawon
cloud	bunot
petal	sabong
cough	bukos
tooth	ngipon
abdomen	buwang
child-in-law	manugang
car	talak
voice	ginga
drum	tambol
death	katoy
feces	attay
cock	kawitan
sewing needle	tanud
bird	sissiwit
bed	katli
armpit	oyok
bitter melon	apappet
afternoon	gidgidam
student	uswila
penis	utin
hornbill	kalaw
goat	kalding
firewood	tungu
wild pigeon	ut-ut
sister-in-law	ipag
copper	bayong
thunder	kidul
blossom	pukul
fly	lingaw
large bat	paniki
intelligence	laing
fishbait	appan
fence	alad
navel	pusog
beak	tupok
vapor	angiw
crow	gayang
butterfly	kullapoy
nit	ilit
fish	lamos
deer	ugsa
horn	sakgud
flood	litap
beard	iming
cousin	kapingsan
person	tagu
law	lintog
coconut	iyug
papaya	apaya
bitter	napait
mud	piyok
string bean	antak
smoke	asuk
eyebrow	kimat
parrot	ulis
parent-in-law	katuganga
onion	bawong
offspring	ganak
now	satunon
nephew	amunakok
new	bagu
fishing net	tabukul
narrow	nasupit
nape	tongod
mountain	bateled
monkey	abbak
metal	balyang
marsh	dandanak
locust	dudun
locust	silay
living room	bannawag
liver	agtoy
lip	subil
light	nalangpaw
lazy	nasadut
lake	bananaw
lame	napilay
knee	puwog
kingfisher	salaksak
key	tulbok
kettle	kapatela
jackfruit	alangka
itchy	nagatol
brother-in-law	kayung
house	boloy
hospitable	natalakug
horse	kabayu
hip	pengal
hill	kuntug
high	nataknang
hiccup	sisig-ok
hen	gagganak
help	tulung
heavy	nadagson
hearth	dalpong
healthy	nalungpu
hat	battukung
happy	nalagsak
hammer	mattilyu
