descend	kita
with	na
father	tata
speak	loba
there	kuna
boron	bolo
bínó	bo-
of	ya
now	sika
thin	tunga
sew	tonga
write	koma
here	áwa
mother	mamá
coffee	kafé
person	moto
scrape	kosa
firstborn	bola
water	mái
bicycle	veló
he	yě
Africa	Afríka
nitrogen	azoti
titanium	titani
paste	mwǎmba
God	Nzámbe
pineapple	ananási
they	bangó
baptism	batísimo
cough	kɔsúkɔsú
you	bínó
bus	bísi
we	bísó
side	epái
far	mosíká
vegetable	mfúmbwa
key	fungóla
semolina	fufú
cassava	mpɔndú
outside	libándá
cricket	likélélé
noise	makɛlɛ́lɛ
slowly	malémbe
cold	malíli
bad	mabé
earth	mabelé
milk	míliki
pain	mpási
I	ngáí
woman	mwǎsí
hunger	nzala
house	ndáko
vegetable	ndúnda
peanut	ngúba
ox	ngɔ́mbɛ́
pig	ngúlu
animal	nyama
palm	mbíla
fly	nzinzi
fish	mbísi
wet	máimái
table	mésá
elder	yayá
father	tatá
fetus	zémi
idiot	zóba
bag	sáki
sandal	sapáto
lithium	litu
take	kamata
front	bosó
baldness	libata
support	sanga
proclaim	sakola
carbon	kaboni
game	lisano
bromine	bomo
married	bála
liver	libale
ice	galási
only	káka
selenium	seleni
neon	neoni
baldness	libandi
arsenic	aseni
indium	indu
sodium	sodu
love	linga
argon	alago
obtain	zwa
honey	bói
die	kúfa
palm	likata
meeting	likita
river	ebale
leader	mokonzi
city	mbóka
termite	mondɔngɛ
tree	mweté
soldier	sodá
lie	kósa
gallium	galu
angle	mbata
sorcerer	ndɔki
crocodile	ngandó
monster	elímá
sadness	mawa
be	zala
blood	makila
together	elongó
sun	mói
rather	ndé
right now	sikoyo
this	óyo
song	nzémbo
for	mpó
all	nyɔ́nsɔ
also	lokóla
head	motó
little	mokɛ́
authority	bokonzi
above	likoló
other	mosúsu
ballpoint pen	bíkí
one	mɔ̌kɔ́
heart	motéma
road	nzelá
machine	masíni
period	mobú
period	eleko
office	biló
bath	báfu
ball	bále
bank	bánki
poor	mobóla
dance	bobína
marijuana	bángi
naivety	búbá
color	lángi
operation	likela
west	límbe
marriage	libála
bread	límpa
misfortune	libábe
obstacle	libakú
duck	libáta
viper	libáté
spoon	lútu
leprosy	maba
also	mpé
owner	nkóló
obey	tósa
prayer	losámbo
ring	lompɛ́tɛ́
see	mɔ́nɔ
do	sála
rejoice	sepela
give	pésa
type	loléngé
sin	lisúmu
