bone	luu
what	mi
oar	air
word	sana
milk	maid
shirt	paid
marry	naida
sea	meri
black	must
butter	voi
way	tie
put	panda
breast	rind
shore	rand
soap	muil
four	nell'
fence	aid
help	abu
ceiling	lagi
month	kuu
three	kolme
answer	vastata
snow	lumi
fish	kala
mouth	suu
goat	koza
joy	ilo
blood	veri
name	nimi
bundle	vast
handle	pang
moist	märg
beard	bard
frost	hall
gums	igen
other	muu
hem	helm
pain	tusk
cow	lehm
valley	org
talent	nero
I	mina
board	laud
be	olda
yarn	lang
pine	hong
get	tuoda
hard	kova
bridge	sild
knowledge	tied
furrow	vago
swamp	suo
own	oma
press	paine
father-in-law	app
stream	oja
seven	seičeme
eight	kaheksa
nine	üheksa
egg	muna
hundred	sada
you	sina
ribe	heim
stone	kivi
or	vai
feel	tuta
sled	regi
wave	ald
calf	vaza
bird	lind
nose	nena
age	iga
dress	soba
small	huba
dear	sula
carry	kanta
take	viedä
copper	vask
air	ilm
smith	sepp
elk	hirv
hay	hein
flaw	viga
left	hura
bucket	reng
fish	rokk
flesh	liha
snake	mado
flow	vuota
net	verk
might	vald
nail	nagl
throat	kurk
thin	hoik
so	muga
head	piä
moss	sammal
earth	mua
time	aig
give	anta
rage	viha
sun	päiv
hill	mägi
burnt	kask
bread	leib
iron	raud
gold	kuld
alder	lepp
be	voida
sink	upota
soul	heng
husband	miez
wash	pesta
come	lieta
war	voin
rot	hapata
tomorrow	huomen
crow	varoi
smear	voita
steer	perata
woman	naine
bull	härg
branch	oks
water	vezi
raft	lautta
ash	tuhk
dry	kuivata
dog	koir
hand	käzi
lunch	murgin
boat	veneh
duck	sorz
horse	hebo
son	poig
custom	taba
pit	haud
squirrel	orav
sheep	lambaz
cloud	pil'v
fox	reboi
tar	terv
death	kalm
he	häin
cross	rist
fly	leta
rain	vihm
start	rubeta
boy	priha
shoot	veza
cold	vilu
always	ainos
broom	luud
leek	lauk
break	mureta
nest	peza
home	kodi
laugh	nagrada
ask	pakita
winter	tal'v
green	vihand
red	rusked
porridge	pudr
tail	händ
tooth	hambaz
courtyard	verai
finger	sorm
magpie	harag
end	lopp
try	oppida
know	tieta
hole	reig
pike	haug
stump	kand
strawberry	mandžoi
weather	siä
pretty	čoma
ant	kudžoi
pull	vedada
patch	paik
place	koht
hawk	habuk
rim	reun
evening	eht
eye	sil'm
cape	niem
salt	suol
burn	palada
lot	oza
truth	tozi
family	pereh
misfortune	hädä
alley	kujo
field	peld
other	toine
smooth	siled
pair	puar
number	lugu
good	hüvä
needle	habu
soot	nogi
thick	saged
lock	lukk
drive	ajada
feather	sulg
healthy	terveh
old	vahn
strength	vägi
sleep	magata
dear	armaz
well	kaiv
arse	perze
sky	taivaz
son-in-law	vävü
two	kaks'
mud	redu
dear	kalliž
holy	pühä
hunger	näl'g
here	tägä
when	konz
help	abutada
live	eläda
coal	hil'
birch	koiv
axe	kirvez
high	korged
cock	kukoi
crane	kurg
shovel	labid
town	lidn
read	lugeda
turnip	nagriž
right	oiged
better	paremb
dark	pimed
knee	pol'v
bite	purda
back	sel'g
row	souta
come	tulda
ear	tähk
swim	ujuda
old	vanh
knife	veič
song	pajo
hook	kouk
low	madal
bitter	karged
thick	sanged
tasty	maged
say	sanuda
graze	paimeta
jump	hüppida
long	pit'k
knit	kudoda
twist	punoda
bind	sidoda
forge	tagoda
worn	kuluda
spread	viruda
melt	sulada
pour	valada
soft	pehmed
open	avaita
scatter	hajeta
gather	kogota
melt	sulata
gather	kerata
approach	läheta
short	lühüd
flee	pageta
wring	puzerta
fear	varaita
go out	sambuda
stick	tartuda
angry	verduda
slumber	nukkuda
cuckoo	kukkuda
understand	el'geta
ripe	küps
dust	pölü
color	muju
samovar	samvar
lever	bibu
trip	matk
wheat	nižu
grouse	mecoi
forget	unohtada
through	läbi
work	ruad
seagull	kajag
stallion	ubeh
white	valged
wait	vuotada
hoop	vandeh
wide	laged
lazy	lašk
wide	leved
both	molembad
otter	sagarm
shepherd	paimoi
hiding	peit
hide	peitada
cabin	pert'
rowan	pihl'
people	rahvaz
ring	rengaz
rye	rugiž
clean	puhtaz
fur	pövü
stand	seižuda
ski	suks'
raspberry	babarm
ready	valmiž
stalk	varz'
grandchild	vunuk
strong	vägev
belt	vüö
cone	käbü
glove	kindaz
paw	käbäl
badger	mägr
talk	pagin
quarrel	riid
die	kuolda
hear	kuulda
call	kuccuda
ask	küzüda
let	laskeda
lick	nuolda
see	nähtä
buy	ostada
take	ottada
young	nuor'
shine	paštada
hold	pidada
burn	poltada
bellows	palgiž
bottom	pohd'
hang	ahtada
step	astuda
stab	püštäda
company	siebr
autumn	sügüz
eat	süödä
heart	südäm
insert	tungeda
farm	taloi
grouse	tedr'
wind	tuul'
full	täüz'
mushroom	sien'
believe	uskoda
new	uuz'
brother	vell'
go	mändä
steam	löül
we	müö
mind	miel'
sell	müödä
hang	rippuda
five	viiž
six	kuuz'
find	löütä
want	tahtoda
brood	haudoda
extend	d'aktada
weep	it'keda
hit	iškeda
drink	d'uoda
run	d'uosta
dig	kaivada
moisten	kastada
grow	kazvada
cover	kattada
turn	kierta
put	kengida
touch	koskeda
proceed	kulgeda
tell	käskeda
walk	kävüda
sing	laulada
finish	loppida
leave	lähtä
hit	lüödä
marry	naitada
sew	ombelda
dawn	valgeta
forehead	occ
flour	ďauh
woman	akk
seek	eččida
god	d'umal
set	azetada
aspen	huab
sit	ištuda
window	ikkun
tear	küünäl
fall	lageta
