and	ja
also	aj
five	vihtta
six	guhtta
thief	suola
stream	savon
wool	hullo
blue	alek
what	mij
February	guovvamánno
addition	lasse
January	ådåjakmánno
krona	kråvnnå
Lule Sami	julevsámegiella
Norway	Vuodna
Sweden	Svierik
holy	basse
silk	silkki
inner	asse
lynx	albas
potato	berun
dog	bena
bus	bussa
twig	risse
shoe	vuotta
weak	suossa
fearful	irás
not	ij
wrong	vierre
young	nuorra
smoke	suovva
wind	biegga
do	dahkat
treeless	duottar
cuckoo	giehka
hand	giehta
language	giella
bay	luokta
child	mánná
tree	muorra
name	namma
door	uksa
blood	varra
one	akta
side	bielle
being	ielle
chain	rigge
true	duohta
good	buorre
place	sadje
sleeve	sasse
butter	vuodja
night	idja
swan	sjnjuktja
foolish	jalla
old	boares
use	adnet
I	mån
Lule Sami	julevsábme
hello	buoris
breast	radde
shoe	gáma
strange	amás
calm	lådje
male	åres
good morning	buorre idet
bus stop	bussaganudahka
I love you	mån ähtjáv duv
Monday	mánnodahka
sofa	såffå
blueberry	sarre
municipality	suohkan
index finger	tjutjuk
navel	náhpe
milk	mielkke
bride	moarsse
cow	gussa
sister	oabbá
grandfather	áddjá
red-throated diver	gurtte
water	tjáhtje
eye	tjalmme
king	gånågis
fish	guolle
salmon	luossa
hair	vuoppta
run	viehkat
go	mannat
testicle	guolla
woman	nissun
sea	merra
father	áhttje
urine	gådtjå
fathom	salla
be	liehket
be	årrot
enemy	vasjulasj
hate	vassje
young	gába
learn	oahppat
happy birthday	mån ärrodav duv riegádimbiejvev
green	ruonas
mind	miella
wife	áhkká
upper	dábba
speech	sáhka
spruce	guossa
elk	sarvva
stem	mátta
scared	ballát
arrow	njuolla
wish	sihtat
soot	giehpa
speak	sámástit
known	oahpes
morning	idet
track	luodda
paternal aunt	siessá
cheek	nierra
pus	siedja
butt	bahta
splinter	rihpa
floorboard	dilljá
fun	suohtas
grandmother	áhkko
page	sijddo
axe	áksjo
small	tsitsásj
frog	tsuoppoj
writing	tjála
neck	tjiebet
otter	tjievres
canine tooth	tjalán
reticulum	tjalmas
nit	tjivros
coal	tjahta
bend	tjibma
slash	tsiehkke
food	biebbmo
coarse	säŋásj
wasp	viepses
larva	suoksa
man	ålmåj
piece	bihttá
half	rihta
pubic hair	siehppa
thick	suohkat
hay	dállas
two	vuonjal
time	ájgge
needle	ájmme
weather	ájmmo
oar	ájrro
storehouse	ájtte
begin	álgget
female	álldo
sinew	ánjes
open	áhpe
outer	árre
weekday	árgga
inheritance	árbbe
value	árvvo
thing	ássje
snow	tsievve
hoof fungus	tjádná
woodpecker	tjájnne
paternal uncle	tjiehtje
omasum	tjäksa
forest	tjärro
hock	tjievttje
autumn	tjaktja
clump	tjahke
cartilage	tjagár
western osprey	tjiektja
winter	tjiegar
fowl	tjiehppa
shank	tjibbe
breast	tjidtje
bend	tjiktet
young	tjivgga
goldeneye	tjoargge
intestine	tjoalle
sound	tjoalmme
horn	tjoarvve
stomach	tjoajvve
pole	tjuolgoj
hail	tjuormas
spleen	dábdde
glue	dabme
heather	daŋás
paternal	iehke
evening	iehket
diligence	älljo
wooden	iepper
earth	ednam
mother	ieddne
large	ädno
maternal	änoj
just now	iesski
bone marrow	adám
age	ahke
sky	almme
gum	allna
leather	aldas
rain	harvve
lap	asske
belt	avve
mitten	fáhttsa
whale	sváles
travel	fárro
thick	hájkka
back	hárddo
common eider	ávdda
grave	hávdde
life	hägga
reindeer	hiergge
spider	hievnne
horsetail	oassje
pole	hålggå
selvage	hålbbe
white	ujvva
wife	ibme
lake	jávrre
marsh	jiegge
year	jahke
tree	jalŋes
middle	jarŋŋa
abscess	jiesska
fissure	jiello
voice	jiedna
intellect	jiermme
wrinkle	joarmme
river	jåhkå
lingonberry	jågŋå
bow	juoksa
foot	juolgge
twin	juomisj
scree	juovva
chin	gájbbe
cake	gáhkko
shore	gádde
end	giehtje
stone	giergge
stretch	gäjnno
wolverine	gierkke
nail	gadtsa
lichen	gadna
toque	gahper
strap	garttsa
middle	gasska
spring	gidá
kettle	giebbme
field	giedde
golden eagle	goasskem
