village	ᦢᦱᧃᧉ
wat	ᦞᧆ
elder sibling	ᦗᦲᧈ
younger sibling	ᦓᦸᧂᧉ
chicken	ᦺᦂᧈ
woman	ᦍᦲᧂ
man	ᦋᦻ
year	ᦔᦲ
water	ᦓᧄᧉ
star	ᦡᦱᧁ
sky	ᦝᦱᧉ
fever	ᦺᦃᧉ
youngster	ᦐᦳᧄᧈ
undo	ᦶᦂᧉ
cloth	ᦕᦱᧉ
headhair	ᦕᦳᧄ
mold	ᦣᦱ
opium	ᦚᦲᧃᧈ
paternal grandfather	ᦔᦴᧈ
father	ᦗᦸᧈ
mother	ᦶᦙᧈ
husband	ᦷᦕ
head	ᦷᦠ
afraid	ᦷᦂ
season	ᦍᦱᧄ
arrow	ᦔᦹᧃ
city	ᦵᦙᦲᧂ
fish	ᦔᦱ
crab	ᦔᦴ
crow	ᦂᦱ
dog	ᦖᦱ
find	ᦠᦱ
leg	ᦃᦱ
news	ᦃᦱᧁᧈ
steal	ᦟᧅ
China	ᦷᦋᧂᧈᦷᦅᧉ
learn	ᦵᦣᧃ
come	ᦙᦱ
go	ᦺᦔ
be	ᦔᦲᧃ
naga	ᦓᦱᧅ
ᦃᧁᧉᦓᧄᧉ	ᦃᧁᧉᦓᧄᧉ
ᦃᧁᧉᦔᦱ	ᦃᧁᧉᦔᦱ
Laos	ᦟᦱᧁ
Zhuang	ᦈᦸᧂᧉ
tofu	ᦷᦏᧈᦝᦴ
peanut	ᦷᦏᧈᦡᦲᧃ
black pepper	ᦘᦲᧅᦓᦾᧉ
Capsicum frutescens	ᦘᦲᧅᦶᦎᧉ
green pepper	ᦘᦲᧅᦵᦃᧁ
pepper	ᦘᦲᧅ
spicy	ᦵᦕᧆ
Cambodia	ᦶᦋᧃᦘᦴᦈᦻᧈ
Burma	ᦙᦱᧃᧈ
bicycle	ᦷᦟᧆᦏᦲᧇᧈ
bread	ᦶᦖᧃᧈᦗᧁᧈ
bread	ᦃᧁᧉᦓᦳᧄᦔᧂ
fork	ᦏᦴᧈᦉᦱᧂ
know	ᦣᦴᧉ
ᦺᦙᧉᦌᦱᧂ	ᦺᦙᧉᦌᦱᧂ
horse	ᦙᦱᧉ
I	ᦃᦾᧉ
rabbit	ᦂᦎᦻᧈ
ᦡᦸᧅᧈᦷᦢ	ᦡᦸᧅᧈᦷᦢ
flower	ᦡᦸᧅᧈ
little	ᦓᦾᧉ
cat	ᦶᦙᧁ
eat	ᦂᦲᧃ
like	ᦠᦳᧄ
