one	एक
I	हम
carrot	गाजर
cow	गाय
book	पुस्तक
dream	सपना
letter	आखर
movie	चलचित्र
book	पोथी
book	किताप
Islam	इसलाम
steel	इसपात
Maithili	मैथिली
grain	अन्न
night	राति
𑒩	ৰ
Maithili	𑒁
Maithili	𑒂
Maithili	𑒃
Maithili	𑒄
Maithili	𑒅
Maithili	𑒆
Maithili	𑒇
Maithili	𑒈
Maithili	𑒉
Maithili	𑒊
Maithili	𑒋
Maithili	𑒌
Maithili	𑒍
Maithili	𑒎
Maithili	𑒏
Maithili	𑒐
Maithili	𑒑
Maithili	𑒒
Maithili	𑒓
Maithili	𑒔
Maithili	𑒕
Maithili	𑒖
Maithili	𑒗
Maithili	𑒘
Maithili	𑒙
Maithili	𑒚
Maithili	𑒛
Maithili	𑒜
Maithili	𑒝
Maithili	𑒞
Maithili	𑒟
Maithili	𑒠
Maithili	𑒡
Maithili	𑒢
Maithili	𑒣
Maithili	𑒤
Maithili	𑓐
Maithili	𑒥
Maithili	𑒦
Maithili	𑒧
Maithili	𑒨
Maithili	𑒩
Maithili	𑒪
Maithili	𑒫
Maithili	𑓑
Maithili	𑓒
Maithili	𑓓
Maithili	𑓔
Maithili	𑒬
Maithili	𑒭
Maithili	𑒮
Maithili	𑒯
Maithili	𑒰
Maithili	𑒱
Maithili	𑒲
chair	माची
salt	नून
silver	चानी
hour	बेर
friend	मीत
bael	बेल
tree	गाछ
guava	लताम
wheat	गहूँ
cow	गहुँत
singer	गवैया
carrot	𑒑𑒰𑒖𑒩
dream	𑒮𑒣𑒢𑒰
guava	𑒪𑒞𑒰𑒧
friend	𑒧𑒱𑒞
egg	डिम्मा
thread	ताग
bark	जापत्री
fox	खिखिर
onion	पेआजु
become	थाकब
chair	मचिआ
speak	बाजब
