big	be
act	tao
cell	sela
lost	very
level	marina
bass	beso
wild	dia
sail	lay
blood	ra
show	toro
finished	vita
the	ny
iron	vy
chemistry	simia
rice	vary
river	ony
breast	nono
deer	diera
prudent	malina
rotten	lo
father	aba
vomit	loa
battery	pila
high	avo
Italian	italiana
rope	tady
Russian	rosy
blind	jamba
silent	gina
defense	aro
raw	manta
penis	voto
island	nosy
child	zaza
narrow	ety
financial loss	fatiantoka
brick	biriky
swollen eye	bongo maso
snake	bibilava
hay	bozaka maina
brother	dadafara
gang	andian'olona
escape	fitsoahana
chance	kisendrasendra
white	fotsy
crab	foza
camera	fakan-tsary
turn	famadihana
towel	famafana
summer	fahavaratra
feeble	osa
box	vata
throat	tenda
Malagasy franc	ariary
I	aho
vagina	fala
two	roa
water	rano
bird	vorona
full	feno
braid	rongo
sin	ota
cat	saka
sea turtle	fano
heat	fana
harmonium	armonia
rainbow	avana
wild boar	lambo
cat	piso
earth	tany
elephant	trepo
elephant	elefanta
eye	maso
tea	dite
title	manjaka
shoot	ladina
serpent	tona
dry	maina
disease	aretina
growl	erona
red	mena
wet	lena
possess	manana
apple	paoma
letter	litera
face	tava
rock	vato
rain	orana
alone	tokana
here	eto
person	olona
milli-	mili-
fossa	fosa
house	trano
goose	gisa
Betsileo	anatsoy
water	ranu
good	soa
write	manoratra
rope	kamba
diplomacy	diplomasia
wash	sasa
knife	antsy
write	soratra
ended	tapitra
end	manapitra
write	anoratana
write	soratana
write	misoratra
write	isoratana
write	voasoratra
arrange	andalana
messenger	alalana
single	iray
you	ianao
we	isika
we	izahay
you	ianareo
singular	izy
you	hianao
you	hianareo
buy	vidy
buy	mividy
buy	ividiana
fruit	voa
sapphire	safira
electricity	elektrisite
quiet	mangina
mooing	trena
grandfather	raibe
feature	endrika
mouth	vava
one thousand	arivo
to	mba
source code	renifango
taboo	fady
seen	hita
cooking pot	vilany
abandonment	famoizana
abatement	fihenam-bidy
abattoir	fivarotan-kena
abb	vavia-fenoina
abbreviator	mpamohy
abhorrence	halam-po
ability	fahaizana
abjection	tialakam-poro
ablactation	fanotazana
ablaqueation	fihievo
ablative	manesotra
ablepsy	hajambana
abode	fitoerana
abomasum	vavoninkena
abomination	fahavetavetana
abortion	fanalan-jaza
above	ambony
abroad	andafy
abruption	fisarahana tampoka
abscissa	fangitra voalohany
absence	tsy eo
absent	tsy ao
absinthe	laposety
abstention	fifadiana
fruitfulness	fahavokarana
abuse	fanararaotam-pahefàna
agree	mandraikitra
accipient	mpandray
acclaim	mihoby
accommodation	fampandrosoana
accomplice	namana
account	kaontina
accumulator	mpanangona
accusable	azo tsinina
accusation	ampanga fisaka
accusation	ampangaina
accustom	manazatra
ace	baondy
aspirin	asipirinina
ache	mangotsoka
acid	aforano
act	manao
active	mailaka
acute	mifilofilo
acute accent	tendro miraika havanana
add	manampoka
addition	adisanina
addressee	olona andefasana zavatra
adhesive	midity
adition	fifindran-toerana
adjective	mpamaritra
adjournment	fanisoran'andro
adjuration	fanampianianana
