newspaper	अखबार
walnut	अखरोट
cruel	अक्रूर
flood	पूर
water	पाणी
parrot	पोपट
unbroken	अखत
sky	अकास
stubborn	अक्खड़
small book	पोथी
hand	हात
meaningless	अकारथ
intelligence	अकल
marketplace	हाट
undivided	अखंड
thirsty	प्यासा
deficient	रद्द
attar	इतर
here	अँईयाड़ी
here and there	अँई-वँई
here	अँई
there	वँई
fragrant	अकारा
alone	अकेलो
invisible	अलख
tamarind	अमली
crowd	अमलो
good	अदको
half	अदगेलो
finger ring	अंगोठी
handcuff	हातकड़ी
harm	हाण
handi	हाँड़ी
sugarcane	हाँटो
bone	हाड़
hunger	भूक
hungry	भूका
mint	पोदीना
dawn	पो
arrive	पोंचणो
money	पेसो
urine	पेसाब
section	पेरी
time	पेर
poultice	पुलटिस
enough	पुरतो
dome	घुमट
laugh	हँसणो
specimen	नमूनो
map	नकशो
