year	ᠠᠨᡳᠶᠠ
Manchu	ᠮᠠᠨᠵᡠ
speech	ᡤᡳᠰᡠᠨ
water	ᠮᡠᡴᡝ
he	ᡳ
we	ᠮᡠᠰᡝ
you	ᠰᡠᠸᡝ
they	ᠴᡝ
rain	ᠠᡤᠠ
one	ᡝᠮᡠ
flower	ᡳᠯᡥᠠ
two	ᠵᡠᠸᡝ
three	ᡳᠯᠠᠨ
four	ᡩᡠᡳᠨ
five	ᠰᡠᠨᠵᠠ
six	ᠨᡳᠩᡤᡠᠨ
seven	ᠨᠠᡩᠠᠨ
eight	ᠵᠠᡴᡡᠨ
nine	ᡠᠶᡠᠨ
ten	ᠵᡠᠸᠠᠨ
twenty	ᠣᡵᡳᠨ
thirty	ᡤᡡᠰᡳᠨ
forty	ᡩᡝᡥᡳ
fifty	ᠰᡠᠰᠠᡳ
sixty	ᠨᡳᠨᠵᡠ
seventy	ᠨᠠᡩᠠᠨᠵᡠ
eighty	ᠵᠠᡴᡡᠨᠵᡠ
ninety	ᡠᠶᡠᠨᠵᡠ
hundred	ᡨᠠᠩᡤᡡ
thousand	ᠮᡳᠩᡤᠠᠨ
star	ᡠᠰᡳᡥᠠ
sun	ᡧᡠᠨ
horse	ᠮᠣᡵᡳᠨ
river	ᠪᡳᡵᠠ
school	ᡨᠠᠴᡳᡴᡡ
male	ᡥᠠᡥᠠ
Chinese	ᠨᡳᡴᠠᠨ
Manchu	ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ
cannon	ᡦᠣᡠ
come	ᠵᡳᠮᠪᡳ
ascend	ᠸᡝᠰᡳᠮᠪᡳ
thick	ᡴᡠᡧᡠᠨ
ᡝᠮᡝ	ᡶᠠᠴᡠᡥᡡᠨ
cover	ᡝᠯᠪᡝᠮᠪᡳ
reputation	ᠠᠯᡤᡳᠨ
visit	ᡶᡝᠯᡳᠶᡝᠮᠪᡳ
sick	ᡝᡳ᠌ᠮᡝᠮᠪᡳ
when	ᠠᡨᠠᠩᡤᡳ
definitely	ᠴᠠᠩᡤᡳ
law	ᡴᠣᠣᠯᡳ
abka	ᠠᠪᡴᠠ
why	ᠠᡳ᠌ᠨᡠ
elsewhere	ᡤᡡᠸᠠᠪᠰᡳ
miscellaneous	ᡥᡝᡧᡠ ᡥᠠᡧᡠ
alin	ᠠᠯᡳᠨ
body	ᠪᡝᠶᡝ
Miss	ᡤᡝᡤᡝ
head	ᡠᠵᡠ
ten thousand	ᡨᡠᠮᡝᠨ
snake	ᠮᡝᡳᡥᡝ
knee	ᡨᠣᠪᡤᡳᠶᠠ
institution	ᡩᠣᡵᡤᡳ ᠪᠠᡳᡨᠠ ᠪᡝ ᡠᡥᡝᡵᡳ ᡴᠠᡩᠠᠯᠠᡵᠠ ᠶᠠᠮᡠᠨ
broom	ᡝᡵᡳᡴᡠ
fruit	ᡨᡠᠪᡳᡥᡝ
country	ᡤᡠᡵᡠᠨ
king	ᠸᠠᠩ
snake	ᠮᡝᡳ᠌ᡥᡝ
noyan	ᠨᠣᠶᠠᠨ
lama	ᠯᠠᠮᠠ
rust	ᠰᡝᠪᡩᡝᠨ
snow	ᠨᡳᠮᠠᠩᡤᡳ
stone	ᠸᡝᡥᡝ
dog	ᡳᠨᡩᠠᡥᡡᠨ
slant	ᠨᠠᡳ᠌ᡥᡡᠮᠪᡳ
Kazakh	ᡥᠠᠰᠠᡴ
go	ᠶᠠᠪᡠᠮᠪᡳ
Mongolia	ᠮᠣᠩᡤᠣ
Eleuths	ᡡᠯᡝᡨ
Kashgar	ᡴᠠᠰᡳᡤᠠᡵ
Tibetan	ᡨᡠᠪᡝᡨ
wind	ᡝᡩᡠᠨ
cloud	ᡨᡠᡤᡳ
republic	ᡤᡠᠩᡥᡝᡬᠣ
fuck	ᡴᡡᡵᠠᠮᠪᡳ
sword	ᠯᠣᡥᠣ
Jesus Christ	ᡳᠰᡠᠰ ᡥᡝᡵᡳᠰᡨᠣᠰ
Jesus	ᡳᠰᡠᠰ
president	ᠪᡝ ᠯᡳᡳ ᡥᡳ ᡨᡳᠶᠠᠨ ᡩᡝ
dhole	ᠵᠠᡵᡥᡡ
amban	ᠠᠮᠪᠠᠨ
ruler	ᠪᡝᡳ᠌ᠯᡝ
Qing dynasty	ᠪᠠᡨᡠᡵᡠ
banner	ᡤᡡᠰᠠ
era	ᠵᠠᠯᠠᠨ
arrow	ᠨᡳᡵᡠ
military	ᠵᠠᠩᡤᡳᠨ
comma	᠈
full stop	᠉
stroke	ᠠ
yin	ᡝ
