water	ࡌࡉࡀ
father	ࡀࡐࡀ
lead	ࡀࡐࡀࡓࡀ
Adam	ࡀࡃࡌ
person	ࡀࡍࡀࡔࡀ
Jerusalem	ࡌࡅࡒࡃࡀࡎ
cohen	ࡊࡀࡄࡍࡀ
God	ࡀࡋࡀࡄࡀ
Jerusalem	ࡏࡅࡓࡀࡔࡋࡀࡌ
Adonai	ࡒࡀࡃࡅࡔ
angel	ࡒࡀࡃࡅࡔࡀࡍ
crystal	ࡁࡉࡋࡀࡅࡓ
ࡔࡉࡃࡀࡍࡀ	ࡔࡀࡃࡀࡍࡀ
Sinai	ࡎࡉࡍࡀࡉ
Abraham	ࡁࡓࡀࡄࡉࡌ
son	ࡁࡓ
Babylon	ࡁࡀࡁࡉࡋ
Nazareth	ࡍࡉࡎࡓࡀࡕ
Enoch	ࡀࡍࡅࡔ
ࡁࡓ	ࡔࡅࡌ
Noah	ࡍࡅ
ࡁࡓ	ࡌࡉࡔࡀ
Amram	ࡀࡌࡓࡀ
Ahura Mazda	ࡆࡀࡓࡅࡀࡍ
Jesus	ࡏࡔࡅ
Temple in Jerusalem	ࡁࡉࡕ ࡌࡉࡒࡃࡀࡔࡅࡀ
house	ࡁࡉࡕ
Judaism	ࡉࡀࡄࡁࡀ
Judea	ࡉࡀࡄࡅࡃࡉࡋࡀࡏࡉࡋ
Abel	ࡄࡉࡁࡅࡋ
ࡌࡀࡍࡃࡀ	ࡌࡀࡍࡃࡀ ࡖࡄࡉࡉࡀ
knowledge	ࡌࡀࡍࡃࡀ
Mandaic	ࡖ
of	-ࡖ
life	ࡄࡉࡉࡀ
Mandaeism	ࡏࡅࡕࡓࡀ
Mandaeism	ࡌࡀࡍࡃࡉࡉࡀࡍࡀ
Mandaeism	ࡄࡉࡉࡀ ࡓࡁࡉࡀ
peach	ࡊࡀࡅࡊࡀ
three	ࡊࡋࡀࡕࡀ
soul	ࡍࡉࡔࡉࡌࡕࡀ
body	ࡐࡀࡂࡓࡀ
Yōšamin	ࡉࡅࡔࡀࡌࡉࡍ
world	ࡕࡉࡁࡉࡋ
seven	ࡔࡅࡁࡀ
immersion	ࡌࡀࡑࡁࡅࡕࡀ
Sunday	ࡄࡀࡁࡔࡀࡁࡀ
twelve	ࡕࡓࡉࡎࡀࡓ
treasure	ࡂࡉࡍࡆࡀ
ࡀࡋࡌࡀ	ࡀࡋࡌࡀ ࡖࡍࡄࡅࡓࡀ
world	ࡀࡋࡌࡀ
ࡀࡋࡌࡀ	ࡀࡋࡌࡀ ࡖࡄࡔࡅࡊࡀ
ࡌࡀࡓࡀ	ࡌࡀࡓࡀ ࡖࡓࡀࡁࡅࡕࡀ
ࡌࡀࡋࡊࡀ	ࡌࡀࡋࡊࡀ ࡖࡍࡄࡅࡓࡀ
king	ࡌࡀࡋࡊࡀ
ࡌࡀࡓࡀ	ࡌࡀࡓࡀ ࡖࡄࡔࡅࡊࡀ
lord	ࡌࡀࡓࡀ
ࡍࡉࡔࡉࡌࡕࡀ	ࡀࡃࡀࡌ ࡓࡁࡀ
Adam	ࡀࡃࡀࡌ
sermon	ࡃࡓࡀࡔࡀ
Mary	ࡌࡉࡓࡉࡀࡉ
disciple	ࡕࡀࡓࡌࡉࡃࡀ
possessor	ࡍࡀࡑࡅࡓࡀࡉࡀ
righteousness	ࡆࡉࡃࡒࡀ
mule	ࡁࡀࡂࡀࡋ
