piece	book
pay	bayad
we	kita
we	kami
other	lain
squirrel	boot
yam	obi
below	baba
three	toro
price	bari
dog	ido
flood	baa
six	unum
chaff	apa
short	pendek
animal	binatang
child	anak
not	di
you	kamu
fate	bagi
salt	asin
I	ako
island	poro
husband	bana
five	lima
groin	ita
basket	bakat
pus	nana
industrious	laki
how many	pila
protective	apin
excrement	tai
one	isa
seven	pito
nine	siyam
urine	ii
fish trap	bobo
tooth	onto
food	apud
odor	aso
wet	basa
head	oro
cow	baka
father	ama
eye	mata
choose	palli
chief	dato
pair	paris
above	taas
pestle	aro
fern	pako
warn	bara
rain	oran
young	isu
more	labi
king	ari
kill	bono
live	boi
octopus	ata
vagrant	laag
kneel	lood
bad	maat
louse	koto
dear	maal
deer	osa
milled	bugas
sun	suga
dig	kari
name	aran
thousand	libo
buy	bili
egg	itlog
ancestry	asal
millipede	labud
bleeding	dogo
flash	kilat
sky	langit
grind	giling
illness	sakit
bite	kagat
pig	baboy
stone	bato
elbow	siko
sail	layag
fly	langaw
widowed	baro
mother	ina
tongue	dila
cook	loto
nit	lisa
chicken	iti
brain	otok
cut	lapa
climb	saka
mole	ila
louse	toma
knot	boko
ember	baga
arrange	atol
blind	bota
fence	arad
string	lambo
think	dumdum
ant	antik
semen	boras
night	gabi
sea	dagat
gum	goos
four	opat
moon	boran
skin	panit
fathom	dupa
pot	koron
flour	arina
sweat	init
soot	baraka
near	apit
write	solat
hundred	gatos
arrive	abot
sugar cane	tobo
fish	isda
fat	taba
nose	ilong
horse	kabayo
fault	sara
spider	lawa
bitter	pait
praise	bantog
sweet	matamis
thin	manipis
shallow	mababaw
thief	matakaw
bark	taol
raft	atad
bee	anila
gall	apdo
lime	apog
mold	apok
liver	atay
typhoon	bagyo
law	balaod
cane	bangka
get up	bangon
rotten	baog
corn	batad
habit	batasan
starry	bitoon
paddle	bugsay
deaf	bungul
straw	dagami
needle	dagum
catch	dakup
lake	danaw
poison	gamot
branch	sanga
flag	bandila
way	daran
sister	manang
shoulder	abaga
cicada	awis
spouse	asawa
count	bilang
thigh	paa
moss	lomot
mestizo	bangi
wade	lakad
birdling	impis
story	angka
hoarse	paos
wall	arabat
offensive	angit
husband	indas
chest	kaban
plant	tanum
open	bokas
tobacco	tabako
swallow	lamon
famine	gutum
waist	awak
year	toig
foreskin	inat
aunt	babo
foot	siki
fruit	bonga
ear	taringa
log	batang
blood	apul
carbuncle	apoy
reputation	bansa
sharp	tarum
hammock	bowa
taste	nanam
bait	paan
tomato	kamatis
pocket	borosa
eight	waro
breath	napas
duck	itik
fishnet	arawa
molar	bagang
blind	pisuk
fog	gabon
often	ipan
heavy	bugat
vagina	lagda
termite	anay
finger	kamot
body	lawas
knee	tood
earthquake	linog
drive away	bugaw
kill	patay
cassava	baay
cut	garab
worm	orod
piglet	baktin
soup	sabaw
sweet potato	labay
wooden	bakya
help	tabang
small	ipon
tear	lowa
cheek	pisngi
ill	masakit
swing	doyan
sister-in-law	ipag
bow-legged	bakang
weigh	timbang
tide	lanab
saw	lagari
back	likod
weave	lara
step	lakang
jaw	apapangig
count	isip
gill	asang
bald	bangag
yesterday	kagabi
swim	langoy
consciousness	lantap
eagle	banog
scrape	kiskis
short	pandak
tasteless	matabang
unripe	ilaw
roof	atup
door	tatakup
rotten	gabok
rude	banyaga
fly	layog
turn	liko
leg	bitiis
maggot	iyas
raft	gakit
day	allaw
rat	ambaw
brave	bagis
steal	takaw
vagina	bagko
lean	sanday
famous	bantogan
bag	kabil
tie	gapos
dolphin	lomba
water	tobig
shadow	anino
mountain	butay
intestine	tinai
athlete's foot	apli
jar	butangan
enemy	kablang
ladder	agdan
louse	apaw
sweep	waris
key	yabi
image	ladawan
ripe	inog
go out	gowa
shrimp	basayan
