parrot	dodo
mother	mama
water	tuna
cry	amo
within	aka
worm	motto
jaaja	jaja
tree	dee
ju	juu
aaki	aki
middle	annai
tear	ishi
ocean	dama
jaana	jana
sky	kaju
so'to	sotto
bird	jawi
blood	munu
salt	sayu
smoke	eima
come	e'
jyunu	junu
enter	omon
child	nne
green	sheene
beverage	kushi
bamboo	daju
sand	saa'da'da
mountain	jüü
island	dantadü
cave	ewüütü
mountain	jidi
lake	chuu'jö
waterfall	yedukadü
forest	chuuta
stone	tö'ju
earthquake	dejuushi
sun	shii
moon	nuunö
star	shidiichö
wind	jejeenchö
cloud	kaa'dutu
rain	konoojo
fire	waa'to
fire	dudiinñü
smoke	widiinchö
ash	wedeennö
cassava ash	shee'se'dü
burn	ukaa
burn	ya'kwa
slash-and-burn	ya'ka
burn	da'twa
light	kemetö
match	tüsochaamü
man	danwa
woman	wodi
boy	mudeköökö
boy	danwa'kö
adolescent	mudeeshi
girl	wodi'chö
husband	ñno
mother	denü
brother	nuwaa
younger brother	shii'chü
younger brother	yaakoono
older sister	yaaya
grandfather	kooko
grandmother	tamuu
old woman	no'samo'kü
grandchild	jaadü
uncle	woodü
maternal uncle	yawo
aunt	wainñe'nei
nephew	jonü
niece	jaase
female cousin	yaa'ko
father-in-law	woodüümö
son-in-law	kömusa'kö
son-in-law	kön'kwö
orphan	tun'kemjünü
family	jimmö
pig	kuushi
hen	kudaimaadu
chicken	wameedi
duck	jaatu
yadanawi	jañudu
jañudu	yadanawi
nest	danñami
heron	tadaaya
heron	maadi
great egret	ajiisha
eagle	demooshi
hawk	jiyaana
vulture	kuduumu
orange-winged parrot	kudeewa
kaichai	kai'chai
kai'chai	kaichai
dove	jaduuma
dog	süü'na
cat	meeshi
opossum	dawaade
mouse	asüükü
fish	naakukwaano
fish	na'kwakano
fish	o'taajo
lion	kawadiimö
bear	jödeemu
fox	awadudi
deer	kawaadi
yadakadu	yadaakadu
yadaakadu	yadakadu
louse	daamö
scorpion	münöötö
spider	modoi
bee	wannö
wasp	suunwa
fly	wedeesede
ökkööyu	ökööyu
snake	ökkööyu
snake	tadaadweemö
matutu	matuutu
matuutu	matutu
grasshopper	küdatai
snail	memu
tree frog	kütto
turtle	je'de
skin	ji'jö
junu	jyunu
head	juu'jö
juu'jö	ju'jö
beard	ettömujo
aki	aaki
ye'jö	yee'jö
yee'jö	ye'jö
tail	daa'küdü
je'dü	jedü
jedü	je'dü
forehead	je'kai
eye	önu
jana	jaana
nose	önna
mucus	önu'tö
mouth	önta
ö'ji	öö'ji
öö'ji	ö'ji
tongue	ñuudu
tooth	dedü
jümü	jüümü
jüümü	jümü
shoulder	nkawö
arm	a'jö
elbow	öö'mu
amö	amoo
amoo	amö
fingernail	ömmi
leg	jeetü
calf	joode
foot	juudu
wing	ajö'sai
feather	i'joo'tü
chest	doo'ta
breast	'dojü
heart	yeewanü
lung	'tawai
