dynamite	abba
turkey	take
bee	pi
milk	milik
piano	piano
fish trap	u
coconut	ni
and	em
tea	ti
father	baba
idiom	kaj
swamp	pat
blood	da
belly	je
red-tailed tropicbird	ļokwājek
Pluvialis fulva	kwōlej
Micronesian imperial pigeon	m̧uļe
red	ed
small	dik
fish	ek
hedge	ut
harbor	aba
bush	mar
superlative	tata
fish	ok
of	-in
bad	nana
red	mir
whale	raj
hit	bait
word	naan
liver	aj
cow	kau
tea	oja
land	jok
laugh	lelejkakkak
India	Intia
orange	kio
coconut	iu
shark	pako
torch	til
orange	oran
curry	kare
chopstick	aji
hour	awa
duck	dak
you	yuk
canoe	wa
south	rak
ebb tide	roj
mat	jaki
skin	kil
dragonfly	bou
sugar	juga
fat	tebu
fork	kapel
Korea	Kuria
wine	wain
hello	io̧kwe
priest	bata
barracuda	jure
ache	metak
water	dān
breadfruit	mā
chain	jeen
bird	bao
pig	piik
atoll	ene
one	juon
goat	koot
carton	katin
Meck	Meik
town	taun
tin	tiin
you	yok
pepper	pepa
car	kaar
louse	kij
dog	kidu
soy sauce	joiu
and	-m
three	jilu
captain	kapen
Mother Hubbard dress	wau
flat	pikin
storm	kiur
flute	robba
octopus	kweet
star	iju
kajin	kajin M̧ajeļ
tapioca	tapioka
finger	addi
iron	aen
dragonfly	bouk
Germany	Jāmne
America	Amedka
Marshalls	M̧ajeļ
England	In̄len
Kwajalein	Kuwajleen
Jaluit	Jālooj
Jaluit	Jālwōj
Wotje	Wōjjā
Bikini	Pikinni
Enewetak	Ānewetak
Enewetak	Āne-wetak
Enewetak	Ānewātak
Enewetak	Āne-wātak
Namu	Nam̧o
New Guinea	Nukne
God	Anij
Jesus	Jijej
Jesus	Jisōs
Christ	Kūraij
Christ	Kraist
Christian	Kūrjin
Christmas	Kūrijm̧ōj
land	aelōn̄
hello	iakwe
hello	yokwe
Kwajalein	Kuajleen
Lae	Lae
Ujae	Ujae
Ujae	Wūjae
Erikub	Ādkup
Ailuk	Aelok
Ailinginae	Aelōn̄in Ae
Ailinginae	Aelōn̄in-ae
Ailinglaplap	Aelōn̄ļapļap
Arno	Arņo
Aur	Aur
Bokak	Bokaak
Bokak	Bok-ak
Lib	Ellep
Ebon	Epoon
Jemo	Jemo̧
Jabat	Jebat
Kili	Kōle
Likiep	Likiep
Mejit	Mājej
Mejit	Mājeej
Maloelap	M̧aļoeļap
Maloelap	M̧aļo-eļap
Mili	Mile
Knox	Ņadikdik
Knox	Ņa-dikdik
Namdrik	Nam̧dik
Bikar	Pikaar
Rongdrik	Ron̄dik
Rongelap	Ron̄ļap
Taka	Tōkā
Utirik	Utrōk
Wotho	Wōtto
Ujelang	Wūjlan̄
Ujelang	Ujlan̄
Laura	Ļora
secondary	nam̧
Guam	Kuam̧
Guam	Kuwaam̧
Yap	Iaab
Gilbert Islands	Kilbōt
taxi	tāākji
you	eok
you	kom̧
good	m̧ōm̧an
no	jaab
Spain	Jipein
France	Būranij
Delap	Teļap
Uliga	Wūlka
Djarrit	Jarōj
gorilla	kuriļa
baseball	kurob
crew	kūru
crew	kūro
guitar	kūta
cat	kuuj
curve	kōōb
playing	kaaj
gang	kāān̄
Caroline Islands	Karoļāin
catechism	katkijm̧uuj
Roman Catholic	Katlik
mattress	būton̄
Protestant	Būrotijen
boom	buum̧
four	emān
five	ļalem
six	jiljino
seven	jiljilimjuon
seven	jijilimjuon
seven	jimjuon
eight	ruwalitōk
eight	rualitōk
eight	rwalitōk
eight	ralitōk
nine	ruwatimjuon
nine	ruatimjuon
nine	ratimjuon
ten	jon̄oul
twenty	ron̄oul
thirty	jiln̄uul
forty	en̄oul
fifty	lemn̄oul
sixty	jiljinon̄oul
sixty	jiljinōn̄n̄oul
seventy	jiljilimjuonn̄oul
seventy	jimjuon̄oul
soap	joob
apple	abōļ
Monday	M̧ande
Tuesday	Juje
Wednesday	Wōnje
Thursday	Taije
Friday	Bōraide
Friday	Bōļaide
Friday	Būļāide
Saturday	Jādede
Sunday	Jabōt
January	Jānwōde
February	Pāpode
March	M̧aaj
April	Eprōļ
May	Māe
June	Juun
July	Juļae
August	O̧kwōj
September	Jeptōm̧ba
September	Jebtōm̧ba
October	Oktoba
November	Nobōm̧ba
November	Nopem̧ba
December	Tijem̧ba
Ebadon	Epatōn
Roi	Ruot
Namur	Nim̧ur
Nell	Nōļ
Bigej	Pikeej
Ennylabegan	Āneeļļap-kaņ
Ennylabegan	Āneeļļapkaņ
Enmat	Enm̧aat
Alaska	Aļajka
India	Intiia
China	Jāina
Zion	Jāioon
Germany	Jemene
Australia	Jitni
California	Kalboonea
Midway	Metwe
United States	Nuwio̧o̧k
Belgium	Peljem̧
Russia	Ruujia
cigarette	jikka
get out	duoj
denim	tanim
they	rej
storm	kior
billiards	piliet
sandwich	jāānwūj
Gehenna	kena
name	āt
catalogue	katļo̧k
curtain	katiin
curtain	katiin̄
kerosene	karjin
cabin	kāpin
raw	jaajmi
jam	jaam̧
Psalms	Jaam̧
shovel	jabōļ
shepherd	jabōt
siren	jaidin̄
siren	jāidin̄
size	jaij
size	jāij
sign	jain
China	Jeina
Saipan	Jāipaan
handcuff	jakōļ
Russia	Rojia
Samoa	Jam̧uwa
Hawaii	Awai
Australia	Aujtōrōlia
Pohnpei	Boonpe
Kosrae	Kujjae
Nauru	Nawōdo
Ellice	Elej
Chuuk	Ruk
Palau	Bōļau
live	mour
will	naaj
ringworm	kito
sugar	jukwa
pier	wab
pencil	pinjeļ
drum	aje
smell	uwi
river	reba
food	m̧ōn̄ā
drink	idaak
rain	wōt
wear	utut
electricity	jarom
butterfly	babbūb
wind	an̄
night	bon̄
road	iaļ
taboo	jabwi
cry	jan̄
door	kōjām
sky	lan̄
forever	indeeo
double spotted	aoļōt
smell	ātāt
we	kōm
eye	māj
sleep	mājur
thick	mijel
vomit	m̧ōm̧ōj
mosquito	ņam̧
tooth	n̄i
hermit crab	om̧
brave	peran
hear	ron̄
penis	wōl
go	etal
uninhabited	rārōk
bomb	bo̧kutan̄
stupid	bōkāro
take a break	ibbuku
calculate	jennade
Imiej	Im̧wej
Jabor	Jebwad
Bible	Baibōļ
Bible	Bāibōļ
bicycle	baajkōļ
bicycle	baajikōļ
coconut crab	barulep
mouse	kijdik
horse	o̧o̧j
horse	o̧waj
cockroach	kuļuļ
cockroach	juwapin
cockroach	juwapen
cockroach	jowapin
trevally	ikbwij
trevally	ibkij
trevally	ļan̄e
gecko	korap
Caesar	Jijer
chocolate	jo̧kleej
coconut milk	eaļ
cheese	jiij
wolf	oļip
fly	ļo̧n̄
rice	raij
Indian almond	kotōl
yam	iaam̧
coral reef	wōd
English	In̄lij
English	ri-In̄lij
Marshallese	ri-M̧ajeļ
Marshallese	Ri-Kuwajleen
Pacific	Bajjipik
Pacific	Bajjipiik
Atlantic	Atļaņtiik
mother	m̧am̧a
Mariana Islands	M̧adianna
venereal disease	mādke
Omelek	Kom̧le
true	m̧ool
thank you	kom̧m̧ool
face	jāl-
face	jaļ-
beautiful	wōj
sausage	jo̧jej
tea	wōja
coffee	ko̧pe
Anejaoeoe	Āne-jaōeōe
honey	ōne
Easter	Ijitō
town	tawūn
New Zealand	Nujiiļōn
flour	pilawā
police	bwilijmāāņ
Marshallese	jebwa
trousers	jedo̧ujij
serpent	jedpānit
cell	jeeļ
steel	jitūūl
magnet	m̧akneet
cowboy	kaubowe
halfbeak	kuwaj
shoes	juuj
soup	juub
syrup	jurub
school	jikuuļ
school	jukuuļ
shears	jijāj
fire	kijeek
atoll	āne
hospital	aujpitōļ
angel	enjeļ
computer	kam̧putōr
greet	io̧kio̧kwe
greet	iakiakwe
greet	yokyokwe
chief	irooj
chief	irwōj
king	kiin̄
daughter	lerooj
queen	kwiin
if	n̄e
Jemo	Jāmo̧
opium	wōpiem̧
banana	pinana
Musa sapientum	keepran̄
discharge	eakto
north	ean̄
north	iōn̄
Asia	Eijia
window	wūntō
pull out	wūjwūj
coconut	debweiu
drive	kaarar
Tuvalu	Tubaļu
Mexico	Mejjiko
Philippines	Pilipin
lawmaking	nitijeļā
needle	nitōļ
squid	nōt
news	nuuj
newspaper	nuujpeba
Palau	Bōļao
Ailinginae	Aelōn̄inae
Micronesia	M̧aikronijia
fish	eo̧n̄wōd
coconut oil	jebkwanwūjo̧
Marshallese	Ri-Jelwōj
cut	m̧wijm̧wij
cut	m̧ōjm̧ōj
cut	bukwabok
red	būrōrō
reddish	m̧ūrar
green	kūriin
gray	kūre
green	maroro
rose	rooj
minister	rōplen
temple	tampeļ
fish	teem̧būra
ocean	lo̧jet
baseball	iakiu
sweet potato	piteto
caterpillar	m̧winam̧ōn
goods	m̧weiuk
major	m̧wian̄
person	ri-Aelok
person	ri-Aelōn̄ļapļap
person	ri-Ānewetak
person	ri-Arņo
Australian	ri-Aujtōrōlia
person	ri-Aur
Hawaiian	ri-Awai
Pohnpeian	ri-Boonpe
person	ri-Amedka
Palauan	ri-Bōļao
Palauan	ri-Bōļau
French	ri-Būranij
Asian	ri-Eijia
person	ri-Ellep
person	ri-Epoon
Yapese	ri-Iaab
English	ri-In̄len
person	ri-Intiia
person	ri-Intia
Chinese	ri-Jaina
Chinese	ri-Jāina
Chinese	ri-Jeina
person	ri-Jālwōj
German	ri-Jāmne
Samoan	ri-Jam̧uwa
Japanese	ri-Jepaan
Spaniard	ri-Jipein
person	ri-Kilbōt
Kosrae	Kōjae
Kosraean	ri-Kujjae
Kosraean	ri-Kōjae
person	ri-Kuwajleen
person	ri-Mājej
person	ri-Mājro
person	ri-M̧aļoeļap
Mexican	ri-Mejjiko
person	ri-Mile
person	ri-Nam̧dik
person	ri-Nam̧o
Nauruan	ri-Nawōdo
Japanese	ri-Nibbon̄
New Zealander	ri-Nujiiļōn
New Guinean	ri-Nukne
Arkansas	ri-O̧kōnjo̧
person	ri-Pikinni
Philippines	ri-Pilipin
person	ri-Rālik
person	ri-Ratak
Russian	ri-Rojia
person	ri-Ron̄ļap
Chuukese	ri-Ruk
Taiwanese	ri-Taiwan
Tuvaluan	ri-Tubaļu
person	ri-Utrōk
person	ri-Wōjjā
person	ri-Wōtto
person	ri-Ujae
student	ri-jikuuļ
student	ri-jukuuļ
Fiji	Piji
Fijian	ri-Piji
Korean	ri-Kuria
fish	eo̧n̄ōd
