other	anik
walk	had
in	la
father	baba
he	à
water	yaw
I	gi
but	ama
stone	akur
son	kona
throw	daw
sing	hab
have	kor
ten	kulo
green	biyaga
smell	zin
five	zlo
mouth	gay
brother	deda
face	adi
life	sifa
baptism	batem
snake	bebi
body	vok
fly	hoyay
how	kakay
foot	asik
mother	iyà
child	bəzi
many	aŋuvaw
all	gesina
one	tekula
two	səla
three	makər
four	ufaɗ
king	sufəl
horse	pəlis
fish	kilfi
day	mavakay
night	vəɗ
bird	ɗiyaŋ
and	ŋgaha
dog	kəda
worm	maduwari
tree	ahàf
forest	mələm
plant	fofulo
sky	zagəla
God	Zəzagəla
root	slilih
flower	mawuratatay
daughter	dugu
meat	sləɓ
blood	aŋiz
ear	sləm
bone	aslasl
egg	slaslay
horn	dərew
tail	gudaz
hair	aŋidz
head	gəl
eye	yewdi
his	aŋha
tooth	sliɗ
cat	patma
star	tsetsiliŋ
skin	zlap
six	mukwa
good	delga
leaf	babasl
tongue	alàh
hand	ahàl
stomach	huɗ
heart	ləv
far	kərkər
if	baŋa
know	səl
sun	afats
drink	zuw
saliva	slesliɓ
laugh	kəɗasl
hear	tsən
think	dzugw
sleep	dzehal
die	məts
kill	kəɗ
hit	ɗəɗ
cut	kədəv
swim	gosagosa
sea	dərəv
stand	tsizl
moon	təla
river	mukwà
rain	iyaw
sand	wuyyaŋ
fall	təɗ
fall	sokw
wing	gogozlàh
say	goɗ
new	mawga
old	maviyaga
death	mamətsay
wind	afaɗ
see	nəŋ
salt	slugul
dust	burburu
fall	kəɗeɗ
earth	vəɗah
world	gudəŋ
cloud	habaga
snow	slewzi
smoke	kəsək
fire	akàl
second	masəla
way	tetəvi
red	mativga
white	meɗekuga
black	marsiga
year	mavay
here	abanay
here	abatà
where	aŋala
because	kà uwana
seven	məɗəf
burn	baɓəh
this	uwanay
that	uwatà
big	məŋ
rope	zuwiɗ
a little	ŋuv
love	woya
