blueberry	mēn
moose	mo·s
water	nepe·w
one	nekot
two	ni·s
four	ni·w
three	nɛqniw
six	neku·tuasetah
five	nianan
house	we·kewam
game animal	manɛ·to·w
spoon	ɛ·meskwan
male	aya·pɛ·w
sand	nɛ·ka·w
earth	ahke·w
raven	ka·ka·kew
fire	esko·tɛ·w
snake	kenu·pik
bee	a·mo·w
raccoon	ɛ·hsepan
snowshoe	a·kem
German	a·nema·w
rye bread	a·nema·w pahki·sekan
wheat	pahki·sekan
dog	anɛ·m
loon	muak
seven	nōhekan
eight	suasek
nine	sākæw
common	enæn-
chipmunk	kahkīk
quill	kāwey
bean	maskūcīhsaeh
mat	anāhkyan
star	anāh
bay	wīhkit
alternate-leaved dogwood	pesēwāhtek
money	sūniyan
spreading dogbane	sǣqnap
book	masēnahekan
medicine man	maskīhkīwenaeniw
dew	kepōhkan
deer	apǣhsos
day	kēsekat
crawfish	nahnākǣw
crane	otǣqciah
ox	pesǣhkiw
cradleboard	taehkēnākan
cover	kepānohekan
cornstalk	asēqtakan
corncob	kekāhtek
hard-shell corn	mesānān
corn	wāpemen
cornhusk	watǣpak
blue corn	apǣhnapamen
copper	osāwāpaeh
island	menǣs
comb	penǣhkwan
cloud	ānahkwat
chief	okēmāw
chickadee	kenēnēskapekonaew
cedar	kēsaehkāhtek
red cedar	maehkīhnak
catfish	wāsēhsaeh
canvasback duck	wīpaehkuahkǣqnaew
canoe	maeqtekōs
canoe	ōs
buzzard	apǣskasiw
butterfly	mīmīkwǣw
bulrush	apāhkiy
brook trout	namǣkoh
bowl	onākan
brant	apǣhsahkyah
bone	ohkān
lynx	pesēw
bluejay	mūcehkiw
leech	okāskiq
bloodroot	pāpīcekawew
blood	maehkīh
blackbird	tūkaniq
blackberry	anōhkan
birch	wīkīhsāhtek
wintergreen	wēnaeqnamenan
ash tree	kāhpaehnak
awl	ohkānaeh
axe	enǣnāpaeh
baby	pepēhsaeh
badger	maeqnakwah
bag	menūtīh
ball	watōw
balsam fir	pekēwāhtek
basket	ahkǣhkopenākan
bass	aqsekan
basswood	wēkopemeh
bay	wānaqtaew
bark	wanākǣh
birchbark	wīkīh
slippery elm bark	osāqsekop
brown bear	osāwahkwah
bear	awǣhsaeh
beaver	namǣh
father	owōhnemaw
fence	kaskāhkocekan
sky	kēsek
diving duck	sekēmaeh
herb	maskīhkiw
heron	sāqsakaew
hickory	nanāckoh
hill	wacēw
fishhook	kohkān
ice	maehkuam
if	kēspen
worm	omōhnaew
jerky	pāhsawan
lake	nepēhsaeh
lichen	wāhkonak
life	pemātesen
louse	akuah
maggot	ūhkiw
sugar maple	sōpomāhtek
marsh grass	anāmas
marsh	wānaskat
muskrat	oqsas
otter	mekēk
possum	āyǣniw
owl	mianīw
canoe paddle	pīh
road	mīhekan
feather	mēkon
nut	pakān
now	saqyaeh
now	yōhpeh
red oak	maeqtekomeh
white oak	askēqtemeh
rice	manōmaeh
ocean	kaeqcekam
oil	pemēh
northern pike	kenūsīw
pigeon	omīnīw
pine snake	anuah
pipe	ohpuakan
snipe	tūtīs
poison ivy	matās
poplar	asātiy
porcupine	ketǣmīw
moccasin	māhkesen
skunk	sekāk
sturgeon	namǣw
sun	kēsoq
summer	nēpen
swamp	maskīk
spear	anīhtiy
stone	aqsan
seed	ohkānǣmen
strawberry	atǣhemen
