mouth	te
story	ad
cheek	bag
body	gem
father	bab
breast	nano
sleep	ut
person	le
arm	tag
chest	bub
word	mir
egg	wer
grandparent	ata
neck	tabo
penis	wanta
mother	apu
bird	ebur
green-winged pigeon	seprumrum
thumb	awkey
fat	derged
sight	erkep
skin	gegur
shoulder	gilid
jaw	ib
brain	idoni
beard	imus
eyebrow	iraw
stomach	kem
armpit	kenani
hibiscus	kokwam
great-great-grandparent	arer
spear	bawr
unmarried	makrem
canoe	wasnar
tooth	tirig
leg	teter
nail	tapot
elbow	takok
Papua New Guinean	gebarobi
pubic hair	komus
navel	kopor
calf	merod
forehead	morop
buttocks	motop
thigh	wakey
