salt	u
biznaga	pe
woodpecker	teko
cock	boxi
horse	fani
ask	adi
rebozo	bayo
puma	zate
peach	ixi
spider	mexe
axolotl	zombo
sapote	muza
garlic	axo
maguey	ꞌuada
water	dehe
coyote	miñ’o
river	däthe
Tagetes erecta	jodri
skunk	ꞌñäi
dá	uspi
Nasua narica	tsathä
maguey	uada
cactus	kämiñꞌyo
obsidian	juaipada
graveyard	pantyo
deer	fantho̱
owl	tukru
earthquake	hmämhai
Christmas	baxjua
uncovered	zoñä
Atlacomulco	Mbado
Prosopis	t'ähi
skunk	’ñäi
eagle	nxu̱ni
banana	däza
pear	be̱ra
orange	nanxa
jaguar	dämxi
bobcat	tu̱mxi
xoconostle	ixkähä
frog	tsän’ue̱
tadpole	zomfo
comal	doy’o
