arrow	նետ
beaver	կուղբ
thousand	հազար
watermelon	ձմերուկ
sweet cherry	բալ
plum	սալոր
carrot	գազար
radish	բողկ
butter	կարագ
few	քիչ
doctor	վարպետ
limb	անդամ
mosquito	մոծակ
owl	բու
yolk	դեղնուց
vulva	պուց
parrot	թութակ
penis	կլիր
egg	ձու
whore	բոզ
arm	բազուկ
nose	դունչ
yellow	դեղին
medicine	դեղ
poppy	կակաչ
wart	գորտնուկ
way	հուն
cricket	ծղրիդ
agent noun	-իչ
մգլահոտ	-ա-
sturgeon	թառափ
fog	մշուշ
cotton	բամբակ
rice	բրինձ
cormorant	ձկնկուլ
mulberry	թութ
sweet cherry	կեռաս
roost	թառ
foot	ոտն
-less	ան-
chess	ճատրակ
brother-in-law	աներձագ
heel	կրունկ
violet	մանիշակ
opium	ափիոն
turnip	շաղգամ
beet	ճակնդեղ
black kite	ուրուր
moustache	բեղ
eyelash	թարթիչ
blink	թարթել
blink	ակնթարթ
Pole	լեհ
feces	ցին
broad bean	բակլայ
kidney bean	լովիաս
paron	պարոն
carrot	ստեպղին
puppy	լակոտ
blackberry	մոշ
blackberry	մոշենի
shop	դուքան
soap	սապոն
mosque	մզկիթ
alchemy	ալքիմիա
garden cress	կոտեմ
backgammon	նարտ
hawthorn	ալոճ
testicle	պլոր
spinach	սպանախ
holder	-պան
diamond	ալմաս
penis	ձետ
vessel	աման
presbyter	երէց
hillside	մատն
mill	դոխն
hen	մարի
victory	յաղթ
dog	գամփռ
glass	ապիկի
wheat	ձաւար
pot	կճուճ
pepper	տաքդեղ
marsh mallow	տուղտ
half-witted	աղուաշ
sourish	թթվաշ
glove	թաթպան
husband	այրիկ
resinous	մարխ
groin	աճուկ
vine	արգատ
poplar	բարտի
swelling	բողջ
ball	բողջն
window	փանջարայ
frog	գորտն
bryony	լօշտակ
liver	լերդ
salmon	լոսդի
moon	լուսնկայ
steel	փոլատ
mortar	կաղջին
forced labor	կոռ
croak	կռկռալ
stepfather	հօրու
pastureland	պահրան
dried fruit	չիր
guess	կռահել
omelet	ձուածեղ
cattle	տաւար
king	թագւոր
galbanum	մաղթ
mother	մամ
hump	կուզ
nightingale	բլբուլ
tarragon	թարխուն
vardapet	վարդպետ
prop	խեչակ
young	ջահիլ
dawn	արշալոյս
owner	ունետէր
woods	մէրի
bat	մաշկաթեւ
beard	մուրուք
beard	միրուք
dust	մռեղ
blackberry	մոշի
blackberry	մորմենի
hapax legomenon	հու
blue	կապուտ
dumb	մունջ
crosier	ճոկան
known	յայտ
bottom	յատակ
bottomless	անատակ
eyebrows	յօնք
difficult	դժուար
precious stone	ջոհար
jeweller	ջոհարի
precious stone	յակինթ
ruby	եաղութ
chain mail	զրեհ
alas	ափսոս
peregrine falcon	շահէն
kiss	պագ
kiss	պագնել
leg	ճիվ
eggplant	պատինճան
hound	զաղառ
perch	թառել
law	ասախ
throat	պուկ
common purslane	փրփրեմ
rag	քուրջ
rooted	ասլի
hare	լապաստակ
neck	ճիտ
shahanshah	շահնշահ
gata	գաթայ
խոնարհք	կուք
hurry	արտորալ
nenuphar	նունուֆար
Platanus	ճանդարի
maidenhair fern	ձարխոտ
male fern	պտեր
alyssum	ալուսան
must	մաճար
veghar	վեղար
kettledrum	գոս
feather	թեպուր
sparrow	չիտ
waterpot	փարչ
glasswort	բալախ
germander	լերդախոտ
Mankasar	Մանկասար
dog rose	մասուր
Syringa vulgaris	եղրեւանի
watercress	ջրկոտեմ
slovenly	փնթի
fur	մուշտակ
footwear	ոտնաման
bread	բոկեղ
hemp	կանեփ
gizzard	քարճիկ
fountain	շատրուան
rite	ծէս
horseshoe	նալ
leek	քուռաթ
trepan	գայլիկոն
asafoetida	անգուժատ
fit	նոպայ
whoremaster	բոզաւագ
coarse	կոպիտ
common rue	սատապ
harm	ահոկ
measure	մարզպան
greater	աւագ
damson	դամոն
acorn	պալուտ
celery	նեխուր
fire	պող
parsley	կարոս
fennel	ռազիան
crazy	գիժ
vine	տոլի
lead	արճիճ
boy	լաճ
dregs	դիրտ
drop	շաղ
lamentation	շիւան
pullet	վառեկ
blade	շեղբ
hayloft	մարագ
horn	կոտոշ
club	լախտ
rowan	սին
catapult	բաբան
coat	դուռայ
decree	մանշուր
insect	ժիժմակ
oleaster	փշատ
leafy goosefoot	բարբուզան
hurry	վռազ
bell	զանկ
sturgeon	թուխու
common carp	շապպութ
tin	կլայեկ
crisis	բուհրան
