now	nu
bean	bone
it	het
of	van
at	te
a	een
not	niet
grey wolf	wolf
therefore	dies
boar	beer
human	man
te den	ten
weight	wage
closed	open
load	last
so	also
storm	storm
sausage	worst
sea	see
leg	been
nature	nature
other	el
cheese	case
tree	boom
grow	wassen
hot	warm
someone	men
he	hi
all	al
my	mijn
ball	bal
beginning	begin
far	verre
whole	heel
sweat	sweet
here	hier
drive	driven
god	got
with	met
direction	sin
rise	risen
take	taken
by	bi
sad	bitter
have	hebben
European otter	otter
ye	ir
thou	du
angry	gram
era	ewe
honey	seem
ear	ore
heap	hoop
hot	heet
nut	note
mark	teken
case	sake
sleep	slapen
hard	hart
woe	wee
give	geven
buck	boc
house	huus
apple	appel
stone	steen
valley	dal
not	ne
jar	pot
two	twee
three	drie
five	vijf
nine	negen
loved	lief
badger	das
sun	sonne
grass	gras
egg	ei
what	wat
get	bergen
loose	los
hammer	hamer
word	wort
bathe	baden
dragon	drake
enjoyment	lust
harp	harpe
bake	backen
blue	blau
bring	bringen
bier	bare
white	wit
fox	vos
red	root
te der	ter
hi es	hijs
on	op
dumb	dom
some	som
uncle	oom
wall	muur
old	out
spoken	tale
joke	spot
male relative	neve
so be it	amen
that	gene
mire	vene
toe	tee
equal	even
above	over
beer	bier
fly	vliegen
live	leven
produce	vrucht
nail	nagel
line	rime
how	hoe
die dat	diet
drool	sever
who	wie
clearing	lo
wi se	wise
creature	creature
angel	engel
rain	regen
eat	eten
testicle	cul
life	vite
horse	pert
event	aventure
sack	sac
pear	pere
paw	pote
-en	-in
fat	vet
beaver	bever
lute	lute
lead	loot
hi dāer	hire
neck	hals
save	redden
leaf	blat
messenger	bode
fire	brant
gold	gout
secretive whispering	rune
livestock	vee
tomcat	cater
hook	hake
learn	leren
hear	horen
feel	voelen
prove	proeven
act	werken
drink	drinken
follow	volgen
play	spelen
fall	vallen
punish	plagen
drill	boren
scold	straffen
we	wi
cruel	fel
box	lade
collect taxes	schatten
forest	bosch
bench	banc
you	gi
milk	melc
umlaut	-e
un-	on-
dance	dansen
clean	reine
less	min
laugh	lachen
wake	waken
six	ses
ring	rinc
glass	glas
roof	dac
te des	tes
sin	sonde
son	sone
noble	nobel
full	vol
black	swart
pray	bidden
elf	alf
sew	rien
big	groot
place	stat
father	vader
river	a
night	nacht
sail	seil
bird	vogel
bless	wien
saint	heilige
mire	venne
ebb	ebbe
choice	cust
shave	scheren
hack	hacken
piss	pissen
repel	stremmen
loss	verlies
become	werden
roll	rollen
name	nennen
begin	beginnen
arrange	schicken
gather	lesen
think	denken
win	gewinnen
stretch	strecken
jump	springen
press	drucken
boil	sieden
cat	catte
or	oder
I	ic
off	af
history	historie
carrion	aes
bee	bie
snake	slange
love	minne
gauge	iken
court	hof
cow	coe
sing	singen
carry	dragen
lead	bli
sound	hellen
epilepsy	ramp
dawn	dagen
dat dāer	datter
field	acker
rim	velge
bind	binden
-est	-st
must	sullen
behind	achter
swap	wissel
fire	vuur
wine	wijn
hunger	honger
heaven	hemel
breathe	ademen
build	bouwen
dry	drogen
serve	dienen
break	breken
dream	dromen
share	delen
eat	genieten
win	winnen
guard	wachten
mark	tekenen
spoon	lepel
air	lucht
mother	moeder
daughter	dochter
thus	dus
second	ander
hunt	jagen
oil	olie
separate	scheiden
fight	vechten
count	tellen
steal	stelen
speak	spreken
shoot	schieten
want	willen
forgive	vergeven
name	noemen
make	maken
lend	lenen
lie	liegen
within	binnen
better	beter
know	kennen
finger	vinger
third	derde
still	noch
fast	snel
ask	vragen
yesterday	gisteren
grey	grijs
take	nemen
capable	mogen
run	lopen
touch	raken
forget	vergeten
find	vinden
foot	voet
rent	huren
chair	stoel
peace	vrede
lie	liggen
thick	grof
fill	vullen
feed	voeden
ground	vloer
cloth	dwale
approach	naken
know	weten
weigh	wegen
up to	tote
talk	bespreken
butter	boter
grave	gracht
leave	laten
miss	missen
stretch	reiken
shake	schudden
prohibit	verbieden
proclaim	heten
roast	braden
hang	hangen
call	roepen
consider	achten
