statement	word
fre	Friday
substantive	noun
ecclesiastical	patronage
discomfited	abaist
astonished	abawed
baying	abay
abbacy	abbey
capable	able
lessen	abreggen
day	today
reclusively	abstractly
sloth	accidie
fountain	spring
wolfy	wolf
atmosphere	sky
chicken	quarter
fower	four
chaff	crap
then	and
more	open
planet	world
metal	mars
my	mi
away	absence
out of	abstract
complete	general
you twain	inc
currency	money
child	baby
Earth	ground
podium	pulpit
dull	grey
blue	violet
brass instrument	trumpet
injustice	wrong
draughtsman	writer
branch	twig
no	noon
existence	nature
bright	sol
Struthio camelus	ostrich
moose	elk
upcoming	future
every	all
angriness	angry
adamantine	adamant
northernness	north
southernness	south
wind	west
serpent	snake
good deed	right
brother-in-law	brother
baby	child
cool	cold
hotness	hot
heated	warm
or	other
wealthy	good
dominion	kingdom
insane	wood
cannon	bombard
spice	pigment
Crocus sativus	saffron
hue	colour
rotten	adel
ball	bal
chanting	song
beef	bef
good	bel
ability	-able
line	vers
true	verre
plant	vert
us	us
inclination	talent
limb	leg
sentence	clause
whoever	who
to	whom
way	lane
reign	regnen
facts	science
arise	arisen
same	ilke
everyone	ilkon
better	bet
loss	burst
drive	driven
fall	fallen
sample	felt
communion wafer	flesh
jet	get
it	hit
friendly	hold
notice	keep
lead	led
radiation	light
rope	cable
essence	substance
coughing	cough
thing	thing
same	self
revelling	cruel
yourself	thyself
stay	stay
saw	saw
see	seen
broth	sew
beautiful	shone
sley	slay
strive	striven
mental	thought
watery	wet
by	bi
chef	cook
individual piece	cloth
honeycomb	comb
be	by
jar	box
hill	cloud
Ardea cinerea	heron
disease	cake
grief	care
speak	worden
fruit	acorn
different	difference
Camelus	camel
male sheep	ram
buy	bien
wind	bir
sapwood	sap
condition	if
hostel	hospital
metalwork	metal
salty	salt
sabre	sword
powder	dust
grain	sand
boulder	stone
frozen water	snow
Israelite	Jew
emperor	empire
equid	colt
heart	vessel
descendant	kith
link	band
moistness	moisture
insoluble	incorrigible
instrument	instrumental
then	than
idiocy	unwisdom
primordial	original
lace	las
cutting	kerf
investigation	quest
Vicia	tare
tree	tre
summit	cop
fairy	elf
intrinsic	natural
stars	universe
Old French	line
beverages	beverage
fruit	appel
plum	prune
livestock	fe
not	ne
receptacle	pot
all-encompassing	universal
peacock	po
but	ac
discussion	parlement
loose	laus
tool	spade
epithet	surname
laurel	laurer
instance	laughter
language	langage
fruit juice	must
permanent	eternal
unadulterated	pure
wood	forest
egg	ei
eel	ele
grouping	college
worthy	net
centre	navel
death	requiem
genus	mercurial
Prunus dulcis	almond
harm	damage
plowshare	share
gibbet	cross
Roman Empire	Rome
narrative	parable
broad	brood
force of nature	violence
dog	hound
barn	lathe
loss	los
bargaining	achate
liquid	humour
keratinous	horn
heraldic	antelope
deceiver	ape
bark	rind
kiss	cos
pleading	request
bold	cant
yore	yore
hammer	hamer
confidence	trust
joyful	glad
easternness	est
soil	turf
faun	fawn
burglar	robber
good	beau
air	luft
Egypt	Egipt
location	table
Roman	Venus
act	acte
harp	harpe
protection	berg
summit	top
spices	spice
vespers	placebo
clothesless	naked
woman	lady
low	lah
eth	thorn
eyelid	lid
