dog	chien
abhor	abhorrer
there	y
accept	accepter
agree	accorder
of	de
on	en
you	te
numerical	numeral
word	parole
series	decade
bone	os
tongue	langue
oration	pronunciation
give	donner
claim	protester
tiger	tigre
Latin	latin
gold	or
year	an
act	action
Ottawa	Montreal
sound	son
no	non
for	car
disposition	temperature
bear	ours
flesh	chair
turquoise	turquoise
shout	cry
bit	piece
teacher	pedant
quelque chose	quelque chose
permission	entrance
cat	chat
already	ia
habit	usage
breed	race
knowledge	science
thing	chose
weapon	dart
ugly	laid
device	machine
bad act	mal
explore	explorer
short	brief
street	charlatan
all	tout
blood	sang
scales	balance
alive	vif
well	bien
eye	œil
and	et
checkmate	matter
choice	election
wife	femme
horse	cheval
for	pour
fart	pet
happy	content
income	gain
now	ore
small	menu
unpunished	incorrigible
noble	franc
mask	masque
touchable	palpable
have	avoir
kidney	rein
village	ham
a	un
two	deux
four	quatre
five	cinq
seven	sept
fifteen	quinze
word	mot
sun	soleil
honey bee	abeille
dance	dancer
house	maison
fish	poisson
sea	mer
first	premier
if	si
reflexive	se
this	ce
parliament	parlement
cow	vache
foot	pied
stake	pilot
lift	lever
accuse	accuser
at	à
function	operation
interpret	interpreter
snake	serpent
salt	sel
heart	coeur
feeble	foible
god	dieu
hand	main
around	autour
without	sans
extraordinary	special
pillage	robber
beautiful	beau
pass	passer
unavoidable	inevitable
arm	arme
conduit	tube
little	pou
red	rouge
head	chief
side	opposite
water	eau
roll	globe
sleep	dormir
arrogant	rogue
gate	portal
leave	partir
good	bon
Asia	Asie
beard	barbe
advance	advancement
advise	adviser
morning	matinee
duration	duration
land	pays
auntie	ante
vein	vene
nerve	nerf
shelter	hostel
wheel	roe
important	notable
walk	marcher
fourth	quart
ourselves	nous
head	cap
piece	carnage
end	fin
thus	ainsi
item	aliment
certainty	certitude
put back	remettre
key	clef
eat	manger
drink	boire
live	vivre
song	chant
monster	monstre
tooth	dent
age	eage
creation	manufacture
rage	ire
ox	bœuf
the	les
philosopher	philosophe
maneuver	manœuvre
make	faire
iron	fer
sister	soeur
wish	voeu
fire	traire
letter	lettre
put	mettre
arse	cul
he	il
the	le
within	ou
where	où
yourself	vous
stone	pierre
please	plaire
kill	tuer
easy	facile
gift	present
killing	occision
by	par
release	quitter
white	blanc
black	noir
blue	bleu
rook	roc
egg	œuf
fire	feu
place	lieu
lie	mentir
egg	oeuf
seat	siege
glory	gloire
elide	d'
cousin	cousine
use	exploit
gravel	grave
whom	dont
elide	l'
foreskin	prepuce
you	toy
modern	moderne
whole	integral
desire	cure
pig	porc
father	pere
carry	porter
neck	col
disaster	desastre
chapel	chapelle
bascinet	bacinet
middle finger	medical
say	dire
look at	regarder
die	mourir
honey bee	avete
lancer	lance
stocking	chausse
