friend	wine
pear	bir
ear	ore
I	ich
elf	alb
word	wort
time	zit
egg yolk	totter
angel	engel
fall	val
count	grave
age	tag
elf	alp
help	helfen
wisdom	wisheit
my	min
drink	trinken
flesh	fleisch
nose	nase
pull	ziehen
become	werden
begin	beginnen
name	nam
throw	werfen
anger	zorn
against	gegen
sing	singen
field	acker
sun	sunne
grave	grap
both	beide
find	vinden
chalice	kelich
night	naht
young	junc
sword	swert
window	venster
foot	fuoz
cunt	kunt
walk	zogen
song	leich
steel	stahel
birdsong	vogelsanc
tear	zaher
toe	zehe
tongue	zunge
cloud	wolken
weapon	wafen
foot	vuoz
quince	quiten
blood	bluot
brother	bruoder
tooth	zan
mental unsound	elbisch
fig	vige
vowel	vocales
mirror	spiegel
flower	bluome
daughter	tohter
shove	schuppen
land	lant
vowel	vocalis
water	wazzer
muosieren	-ieren
exertion	kriec
cub	welf
dark	vinster
revenge	rache
singular	-lech
garden	garte
mulberry	mulber
apple	apfel
cherry	kirse
peach	pfersich
plum	pflume
grape	trube
medlar	mispel
choose	kiesen
tendril	ranke
swim	swimmen
grow	wahsen
grammatischer Wechsel	slahen
feel	enpfinden
steadfast	unwandelbære
disappear	verswinden
belly	buch
harbour	habene
thigh	diech
burgrave	burcgrave
crossing	überganc
count	göugrave
shire	göu
diminutive	-lin
color	varwe
happy	sælic
pickaxe	kilhouwe
cat	katze
spoils	biute
pellitory of Spain	bertram
pitch-dark	nebelvinster
boss	buckel
red herring	bückinc
stage	büne
hops	hopfe
know	wizzen
turn	razzeln
dissembling	veichen
school	schuole
squirrel	eichurne
German	diutsc
