five	limo
two	duo
know	tau
land	tanah
black	hitam
flat	data
stone	batu
Saturday	Satu
I	ambo
hand	tangan
white	putih
water	aia
rich	kayo
read	baco
iron	basi
world	dunia
poor	bangsat
oil	minyak
vegetable	sayuaran
plant	tumbuah
plant	tanaman
doctor	dotor
big	gedang
green	ijau
white	putiah
yellow	kuniang
woman	padusi
dog	anjiang
one	sa-
seven	tujuah
nine	sambilan
eight	salapan
ten	sapuluah
one thousand	saribu
tail	ikua
eleven	sabaleh
duo baleh	duo baleh
tigo baleh	tigo baleh
ampek baleh	ampek baleh
limo baleh	limo baleh
anam baleh	anam baleh
tujuah baleh	tujuah baleh
salapan baleh	salapan baleh
sambilan baleh	sambilan baleh
duo puluah	duo puluah
tigo puluah	tigo puluah
ampek puluah	ampek puluah
limo puluah	limo puluah
anam puluah	anam puluah
tujuah puluah	tujuah puluah
salapan puluah	salapan puluah
sambilan puluah	sambilan puluah
hundred	saratuih
duo puluah limo	duo puluah limo
limo puluah salapan	limo puluah salapan
duo ratuih	duo ratuih
tigo ratuih	tigo ratuih
ampek ratuih	ampek ratuih
crocodile	buayo
water buffalo	kabau
field	padang
hear	danga
Tuesday	Salasa
Monday	Sinayan
Wednesday	Raba'a
Thursday	Kamih
Friday	Jumaik
Sunday	Akaik
continent	banua
cockroach	lipeh
danger	bahayo
open	bukak
nation	banso
rib	rusuak
office	kantua
ugly	buruak
medicine	kadotoran
crane	bangau
attempt	pacobaan
speech	bicaro
