one	𐄇
two	𐄈
three	𐄉
four	𐄊
five	𐄋
six	𐄌
seven	𐄍
eight	𐄎
nine	𐄏
ten	𐄐
twenty	𐄑
thirty	𐄒
forty	𐄓
fifty	𐄔
sixty	𐄕
seventy	𐄖
eighty	𐄗
ninety	𐄘
one hundred	𐄙
two hundred	𐄚
three hundred	𐄛
four hundred	𐄜
five hundred	𐄝
six hundred	𐄞
seven hundred	𐄟
eight hundred	𐄠
nine hundred	𐄡
one thousand	𐄢
two thousand	𐄣
three thousand	𐄤
four thousand	𐄥
five thousand	𐄦
six thousand	𐄧
seven thousand	𐄨
eight thousand	𐄩
nine thousand	𐄪
ten thousand	𐄫
twenty thousand	𐄬
thirty thousand	𐄭
forty thousand	𐄮
fifty thousand	𐄯
sixty thousand	𐄰
seventy thousand	𐄱
eighty thousand	𐄲
ninety thousand	𐄳
total	𐙂𐘁
