man	in
I	ni
pea	pish
quart	kwart
snake	skok
ice	kupat
water	nupi
land	ahki
bird	cits
potato	ahpun
bed	apun
pig	piksihs
table	dorbe
turkey	dorkes
cheese	cihs
bonnet	bunneed
bed	beed
gentleman	gundermon
table	taspowôk
turkey	náham
cow	káhsh
woman	sqá
blackbird	acokayihs
woodchuck	akasq
chipmunk	aniks
flea	apiq
bear	awáhsohs
meat	wiyawhs
buck	ayôp
raccoon	áhsup
sand	yák
beaver	tumôhq
feather	miqun
food	micuwôk
porcupine	kôq
forest	kuhpáy
bead	môsôpi
tree	muhtuq
star	ayaks
oyster	aponah
rabbit	tuksáhs
grape	winom
red-tailed hawk	musqayan
blood	musqi
word	kikátohkáwôk
dog	náhtiá
bobwhite	pohpohqutihs
cranberry	pôcum
quahog	poqáh
clam	suksuw
acorn	anôhcum
coat	akuwôk
river	áhsit
squash	áskot
story	ihtôqat
goose	kahôk
doe	quniq
spear	qunôhtuq
blueberry	sôht
chief	sôcum
bean	masqusit
he	nákum
fox	wôks
letter	kuhkunasuwôk
eat	micuw
seven	nisôsk
girl	sqáhsihs
glove	micáhs
pants	átahwun
in front of	áyhqapi
house	cáhqin
family	cáhsháyuwôk
window	kinakinik
harvest	kipunumuwôk
spoon	kiyamô
frog	kopayáhs
ocean	kuht’han
swamp	mahcáq
pack-basket	matôpi
crane	tayák
gourd	qôyowasq
hatchet	takôk
