donkey	burro
house	kale
axolotl	axolotl
puma	mistle
tomato	xitomatl
water	atl
avocado	xochitl
bean	yetl
louse	atemitl
mosquito	moyotl
mother	nantle
pig	pitzotl
goat	chivo
horse	yolkatl
turkey cock	uexolotl
axe	acha
goat	chito
metate	metlatl
coyote	koyotl
fly	sayolin
moon	metzton
rooster	kechkuanaka
hen	tlapacho
cow	kuakue
fox	ostoua
rabbit	tochtle
opossum	tlakuatzin
squirrel	kuajmicho
cockroach	kayalotl
spider	tokatl
hummingbird	tlapachichinke
quail	solin
comal	komale
balloon	pixika
pig	pitsotl
airplane	tepostototl
jaguar	oselotl
medicine	pajtle
sheep	kainelo
avocado	aguakatl
five	makuile
Mexican	mexikatl
prickly pear	nochtle
banana	tzapalotl
sweet corn	yelotl
Mexican beaded lizard	akaltetepon
milk	chichigualatl
wood	kuitl
tongue	nejnepil
dragonfly	atsokatl
star	sitlale
moon	metstle
blood	yestle
onion	xonagatl
fruit	xochikuale
corn	sentle
puppy	chichigonetl
wind	legiegatl
godmother	teonantle
light	tlauile
pants	kaltsontle
potato	kamojtle
miss	ichpogatl
meat	nagatl
pork	pitsonagatl
pumpkin	ayojtle
water	atsintle
soconochtle	xokonochtle
reed	sagatl
metal	tepostle
dove	güilotl
