here	li
there	nah
perhaps	eet
-al	-al
then	nal
you	kii
stone	asun
very	moxa
I	nii
every	eesh
water	mbuy
snake	axkook
river	siipuw
star	alaangweew
lake	mbiisus
salt	shiiwang
dust	pongw
woman	oxkweew
man	lunuw
child	amiimunz
stick	mihtkwus
flea	apiikw
muskrat	xwaskwus
leaf	waniipakw
mud	asiiskuw
cold	thii-
big	kihch-
big river	kihtsiipuw
beaver	amoxkw
fish	namees
island	munahan
cross over	kwaxkakeew
cold water	thupuy
nice	pshihki-
sour	shuwii-
thick	tahtakii-
white	waapii-
old	xuwii-
big	xwachii-
big	amangachii-
big	amangu-
great	kaanzhu-
big	kihchi-
bread	apwaan
nail	mukoos
bow	mataht
bark	hwakees
stop	ehkwu-
stop	ehkwi-
deer	atoh
door	kpahoon
long	kwŭnii-
sheep	meemeekush
fence	meenaxk
feather	miikwan
food	miichŭwaakan
above	waxkiichi
seed	waxkaniim
nice	wŭli-
frog	chkwal
Elm	wŭlaakanaamiinzhuy
boat	amoxool
shoe	mahksun
he	neeka
seven	niishaash
two	niisha
you	kiiloowa
flower	pehpaxkwuleesh
fingernail	nihkash
we	niiloona
grape	wiisakiim
rifle	paxkshiikan
tree	mihtukw
rabbit	mooshkiingw
groundhog	moonahkeew
egg	wahwal
lacrosse stick	niimcheehŭmaakan
hardly	msuchee
close by	nahnalii
always	ngumee
under	eekwii
not yet	eeskwa
both	eeylii
yesterday	wŭlaakwe
behind	wteeng
turtle	takwax
feast	takwiipwaakan
mortar	takwahaakan
sometimes	tahtaas
twin	kapees
in the open	mihchii
pigeon	miimiiw
better condition	miingasa
strawberry	wteehiim
guineafowl	pokhwiit
moth	pongwush
rope	ptukwahtakw
chipmunk	poxkapiishush
carrot	pehpeechkweekush
walk here	peetooxweew
dipper	payund
witch	kiimooxweew
hazelnut	kehtaam
stove	kehkshúteek
raccoon	eespan
