brown	nu
child	con
I	ho
thigh	lu
three	pa
give birth	té
you	da
rain	mưa
two	hal
flower	wa
day	ngày
yellow	wàng
bird	chim
alphabet	chữ
mouth	mồm
book	khách
paternal grandmother	dã
lover	thim
eight	thảm
yawn	ngáp
fish	cả
tongue	lãi
five	đăm
heart	nỏ
grasshopper	chổ chổ
butterfly	bươm bưởm
grandfather	mỗng
he	nả
human being	mõl
month	khảng
one	môch
four	pổn
six	khảu
seven	páy
nine	chỉn
ten	mườl
pearl	tlần chầu
philosophy	tliết học
porcupine	nhỉm
water	đác
tiger	khảl
wind	xỏ
village	quêl
wolf	khỏl
rat	rề
earth	tấc
fox	cảo
sound	thiểng
water buffalo	tlu
peace	wa̒ bi̒nh
electronic	diê̠n tứ
drink	ỏng
city	tha̒nh phổ
news	thơ̒i xư̭
culture	văn hwả
society	xa̠ hô̠i
star	khao
sky	tlời
previous	tlước
hailstone	chỉa
ink	mâc
stream	hỏl
plant	tlồng
tree	câl
good	thốch
forest	rầng
dog	ta ma
come back	wềl
alongside	đoc
twist	wãnh
busy	nhỗn
moon	tlăng
belly	tlỗng
meat	nhúc
cloud	mầl
stomach	tlỗng é
spring	xân
broken	pế
