very	eo
plant	rite
come	bite
up	aa
father	moo
mother	ei
hit	fate
in	foo
what	bue
sky	mona
complain	mute
-ing	-a
rear	moi
everything	nana
house	jo
down	ana
hortatives	mai
wasp	une
hit	pute
brother-in-law	oma
soon	jaa
yesterday	nare
already	jai
kick	pete
child	uru
a	i-
each	naga
name	mame
long	aare
hit	tute
heal	manua
two	mena
one	da-
always	jaka
person	kome
in the past	jae
existence	iya
upriver	afai
paternal uncle	izo
out	jino
grandparent	uzu
abdomen	jebe
carry	rokade
feed	ekade
ripen	jamade
hill	idu
chew	dute
one	dáde
brother-in-law	oima
cassava	maika
arrival	biya
hill	-du
egg	jɨ
water	jɨnui
aunt	ɨɨ
metal	yoe
eat	guite
-ing-to-be	-ye
thing	raa
son	jito
grandfather	uzuma
grandmother	uzuño
father	mooma
mother	eiño
maternal uncle	biyama
sister	evuño
sister	evu
sister	mirɨño
brother	ɨɨio
brother	aama
daughter	jiza
cousin	enaize
cousin	enaizeño
sororal cousin	komoma
sororal cousin	komoño
aunt-in-law	eikaño
uncle-in-law	mookama
wife	aɨ
husband	ɨni
sister-in-law	oiño
sister-in-law	ofaiño
father-in-law	jɨfai
mother-in-law	jɨfaiño
banana	oogo
canoe	nokae
woman	rɨño
grandparent	uzutɨaɨ
man	ɨɨima
child	urue
tapir	jɨgadɨma
axe	yoema
house	jofo
stick	jɨguida
stomach	jebegɨ
heart	komekɨ
vagina	moifo
wind	aɨfɨ
rain	nokɨ
Moon	fɨvui
Sun	jitoma
eye	uizɨ
sleep	ɨnɨde
run	aizɨde
go	jaaide
cry	eede
talk	ñaɨte
grow	komuide
similar	izoide
arrive	riide
cook	rokode
eat	rɨte
care	zedade
wash	jokode
drink	jirode
close	ɨbaide
teach	yofuete
show	akatate
how	nɨeze
slowly	feeko
downhill	feeɨ
inside	jerei
uphill	arɨ
downriver	fuirɨ
moment	dayu
brief moment ago	aiyɨ
later	naiyɨ
morning	jitɨramo
tomorrow	ɨkare
some time ago	jaive
one day	ɨko
at once	iraɨ
in the past	jaife
night	naɨo
at night	naɨona
once	dakaño
twice	menakaño
owl	bakɨta
basin	dobeño
die	baaɨde
spy	abaikɨte
ghost	taɨfe
piculet	etoño
choose	fetode
tobacco plant	dɨona
listen	kakade
give birth	jeikɨte
stomach	guiragɨ
cut	garede
open	tuuide
lie down	fɨɨide
grey-haired	uichupide
small house	jofochupi
trousers	pataro
mirror	epejo
gun	kobeda
chachalaca	vatarago
leprosy	efuaɨ
banana	oogodo
dog	jɨko
chambira palm	ñekɨna
chambira	ñekɨ
hair	ɨfogɨtɨraɨ
fur	-tɨraɨ
head	ɨfogɨ
maloca	ananeko
egg	jɨgɨ
coca tree	jiibina
coca	jiibi
coca powder	jiibie
man	ɨɨi
lad	konirue
tapir	jɨgadɨ
crush	dobede
wasp	unekɨ
stick	jɨgui
name	mamekɨ
name	mamede
finished	kueide
make	fɨnode
buy	ɨbade
cigarette	dɨokaɨ
tobacco	dɨo
mouth	fuue
throw	faɨte
illness	duiko
caretaker	zedaraɨño
agent noun	-raɨ
thrower	faɨraɨma
caretaking	zedaja
food	guiye
act	guina
know	uiñote
heal	manode
lay	joonete
sing badly	zuride
bad singing	zuriya
rock	nofɨko
stone	nofɨ
housewife	jofoñaiño
drink	jirora
see	kɨode
eyewear	kɨora
chooser	fetodɨno
male chewer	dutɨmɨe
fast	fɨmaide
request	jɨkade
girlfriend	jɨkanogañaiño
look	eruaɨde
seem	joruaɨde
wake up	kazide
enough	makaɨ
slowly	feekuize
at	-rɨ
