five	бес
fire	от
marble	мермер
water	сув
six	алты
one	бир
sand	кум
strait	богаз
hair	шаш
ice	буз
star	юлдыз
blood	кан
cow	сыйыр
book	китап
song	йыр
tree	терек
we	биз
you	сиз
house	уьй
history	тарых
four	доьрт
three	уьш
summer	яз
plant	оьсимлик
wolf	боьри
fox	туьлки
hare	тавшан
bone	суьек
drop	тамшы
rain	ямгыр
adhan	азан
palm	ая
winter	кыс
spring	язлык
autumn	куьз
chameleon	ужлан
jungle cat	кавыс
children	балалы
village	коьй
bathhouse	амам
mosque	мешит
shop	туькен
rifle	туьбек
rifle	мылтык
pilaf	пылав
dome	куьмбез
today	буьгуьн
silver	куьмис
interrogative	кайда
file	эгев
goat	эшки
word	соьз
self	оьзи
Uzbek	Оьзбек
knife	пышак
dog	ийт
