man	mann
I	eg
fa	favor
bread	brow
domicile	sta
thumb	tum
bird	fugl
spring	vår
woman	fru
black	svart
swim	suma
white	hvid
us	vus
bread	brau
big	stur
four	fyre
green	grøn
auger	naver
lead	lyv
angler	marul
day	dagh
she	fúa
church	kirka
herring	sildin
empty	tøm
desire	trå
usable	dørkalig
churchyard	helljakrøs
powerless	magerlos
godmother	mammgollja
feeling	moinjdi
imperious	overgengen
foolish	dolsket
folk	folekar
daylight	dagaljus
witchcraft	granderi
cheek	kinnpuster
corner	ønjd
unknown	ukonn
change	umkast
slight	umond
ransack	ransla
investigator	ranselmann
capsize	kapsvivla
daisy	kokkeluri
kinsman	blødfrind
gristle	brøsk
childhood	bånnjdom
child	bånnj
substitute	tilvid
thigh	tjug
rude	trøg
muzzle	trøni
numskull	numskoljt
watchhouse	vakhus
worthless	vanvirdig
afterclap	efterkast
obedient	entig
dwindle	dvimmsa
septennial	grandori
land	landskyld
whimper	kroinjta
young	ungadreng
fire	brennja
outer	uterlig
progress	uskepta
generous	fungli
check	futra
lawman	forkop
giddy	flingset
unsuccessful	floraskit
angry	illbyrstet
suspect	illgru
unfortunate	illlukket
bad	illveder
sister-in-law	versmoja
common	vålmenning
wind	vyvdet
remnant	harikel
rock	hallj
quarrel	kingsa
well-known	namngeden
earth	yurn
earth	vrildin
oats	havr
moon	måni
three	trir
marriageable	mannferdig
often	okenli
accident	onjdelokk
coral	kransi
mussel	kråkling
oystercatcher	chaldro
thirteen	trettin
departure	utgeng
muddle	rummelhaljd
