bee	nose
say	re
love	rata
lean	sama
rain	pula
saliva	mare
rain	na
eat	ja
Sotho	Sepedi
bite	loma
meat	nama
heart	pelo
sing	bina
answer	araba
hyrax	pela
again	gape
boil	bela
see	bona
egg	lee
go	ya
bow	bora
dry	oma
enemy	sera
cat	katse
book	puku
buffalo	nare
stand	ema
snake	noga
refuse	gana
fall	wa
fly	fofa
cut	ripa
stitch	roka
land	naga
die	hwa
big	golo
farm	lema
donkey	tonki
fire	mollo
man	monna
milk	gama
seven	šupa
wagon	koloi
come	tla
voice	lentsu
think	nagana
tail	mosela
river	noka
canoe	mokoro
person	motho
hair	moriri
sheep	nku
house	ntlo
gift	mpho
elephant	tlou
tortoise	khudu
ear	tsebe
cow	kgomo
crocodile	kwena
hare	mmutla
aardvark	thakadu
impala	phala
pig	kolobe
mother	mma
liver	sebete
baboon	tšhwene
woman	mosadi
butterfly	serurubele
hear	kwa
two	pedi
drink	nwa
animal	phôôfôlô
No	aowa
Sotho	Basotho
kudu	tholo
drip	rotha
charcoal	legala
four	nne
tooth	leino
Wednesday	laboraro
time	nako
color	mmala
wind	moya
you	wena
hippopotamus	kobu
water	meetse
want	nyaka
star	naledi
Monday	mošupologo
Tuesday	labobedi
Thursday	labone
Friday	labohlano
Saturday	mokibelo
Sunday	sontaga
strike	betha
stab	hlaba
well	sediba
wizard	wisate
disk	tiske
computer	khomphutha
mouse	maose
keyboard	khiipote
three	tharo
wake up	tsoga
one	nngwe
five	hlano
path	tsela
six	tshela
scratch	ngwapa
axe	selepe
fat	makhura
shirt	hempe
maternal uncle	malome
season	sehla
shame	dihlong
pillow	mosamelo
leopard	nkwe
eye	leihlo
hunger	tlala
I	nna
marriage	lenyalo
jump	tlola
fool	setlatla
lightning	letladi
bullfrog	letlametlu
old	mokgalabje
vessel	nkgo
money	tšhelete
white	lekgowa
winter	marega
frog	segwagwa
daughter-in-law	ngwetši
meeting	pitšo
song	koša
ask	botšiša
shoot	thuntšha
happy	thakgala
request	kgopela
sleep	robala
manner	mokgwa
awaken	phakgama
mountain	thaba
walk	tsamaya
horn	lenaka
hand	seatla
foot	leoto
bird	nonyana
breast	letswele
moon	kgwedi
nose	nko
stone	lentswe
belly	mpa
know	tseba
kill	bolaya
skin	letlalo
beer	bjala
eight	seswai
nine	senyane
ten	lesome
hundred	lekgolo
thousand	sekete
hold	swara
finger	monwana
reed	lehlaka
tongue	leleme
government	mmušo
work	mmereko
body	mmele
chicken	kgogo
iron	tšhipi
follow	latela
speak	bolela
grass	bjang
chief	kgoši
dog	mpša
response	karabo
destroy	senya
milk	lebese
gun	sethunya
shoulder	legetla
war	ntwa
pumpkin	lephotse
chameleon	leobu
rest	khutša
kneel down	khunama
animal	phoofolo
chest	sehuba
vomit	hlatša
mouth	molomo
bone	lešapo
day	letšatši
stick	thupa
worm	seboko
shin	moomo
back	mokokotlo
rub	pikitla
wipe	hlakola
play	bapala
name	lebitšo
suck	monya
smell	fofonela
hunt	tsoma
rest	phomola
smoke	moši
sand	lehlabathe
dust	lerole
snow	lehlwa
salt	letswai
night	bošego
sea	lewatle
lake	letsha
fog	mogodi
cloud	leru
ice	lekgwa
feather	lefofa
rope	mogala
flower	lebue
sky	legodimo
swell	ruruga
squeeze	pitlela
spit	tshwa
hand	letsogo
leaf	lehlare
wife	mogatša
child	ngwana
church	kereke
carry	rwala
feed	otla
mould	bopa
feed	fepa
whale	leruarua
chin	seledu
thief	lehodu
giraffe	thutlwa
forest	sethokgwa
cooking	pitša
door	mojako
twin	lefahla
music	mmino
hoof	tlhako
spider	segokgo
reptile	segagabi
summer	selemo
south	borwa
call	bitša
ankle	kokoilane
lounge	boitišetšo
danger	kotsi
nail	lenala
neck	molala
eyelid	phuphu
ostrich	mpšhe
sleep	boroko
buttock	lerago
apple	apola
table	tafole
school	sekolo
storm	ledimo
flash	gadima
scorch	babola
stop	thiba
hot	fiša
heat	phišo
lightning	legadima
subside	okobala
cross-cousin	motswala
receive	amogela
understand	kwešiša
