free	gratis
synonymous	synonym
solfège	fa
fantasize	fable
washbasin	servant
it	dat
popular	in
oh	o
man	mann
mane	man
gate	port
dog	hund
Wednesday	onsdag
luck	hell
unfermented	most
Zealand	New Zealand
load	last
hour	time
gauze	gas
kvervelstorm	storm
European ash	ask
Guinea	Guinea-Bissau
kjøkenmaskin	maskin
there	dar
phew	fy
frail	gold
putting green	green
Latin	latin
humour	humor
second	toe
case	fall
llama	lama
case study	case
kiwi fruit	kiwi
fermentation	as
North Korea	Korea
ninth	non
final	finale
nice	pen
meditation	retreat
førsteminister	minister
good	god
bathroom	bad
child	kind
so	so
English	acre
host	vert
sniff	nose
poke	knee
solfège	re
amusement	moro
queen	regina
attend	lane
saddle	sale
pertaining	natal
stern	hard
sole	ilke
bent	bend
sanitary napkin	bind
throw	dart
gate	grind
here	hit
shoulder	bog
template	mal
good	bra
her	sin
purse	bag
circular	ring
tense	spent
thorn	torn
gold	gull
Lepus timidus	hare
house music	house
father	far
lunar phase	near
kvikksand	sand
drunk	full
interval	none
metre	meter
suction	sog
sky	himmel
analogous	analog
need	bo
swell	ese
mountain	nut
sight	syn
passport	pass
public	opinion
H	hydrogen
couch	sofa
Pb	bly
name	namn
act	handling
N	nitrogen
steam	damp
fjell-land	fjell
alphabet	ABC
have	ha
Monday	måndag
Thursday	torsdag
Friday	fredag
Columbidae	due
root	rot
girlfriend	dame
trace	eve
zero	null
strait	Skagerrak
eat	eta
kilometre	kilometer
television	TV
gender	genus
He	helium
steine	stein
millimetre	millimeter
day	dag
checkers	dam
subject	fag
millilitre	milliliter
Al	aluminium
Yb	ytterbium
chemical element	neptunium
caesium	cesium
lunar phase	ne
birchbark	never
titanium	titan
her	ho
call a spade a spade	spade
hello	hallo
altar	alter
banner	transparent
Protestant	protestant
not	ei
textbook	algebra
yeast	jest
wide	vid
skin colour	hamlet
easy	enkel
baptismal	font
derived unit	becquerel
Nynorsk	nynorsk
Bokmål	bokmål
muzzle	mule
copy	kopi
kind	sort
transportation	transport
sacrifice	offer
shape	form
little	lite
break	pause
budge	riga
happy	glad
novel	roman
slow	sein
many	mange
fashion	mote
fjelluft	luft
harp	harpe
niner	nie
north	nord
nautical	draft
each	per
yes	ja
lunar phase	ny
perspective	vy
best	best
