to	te
voiceless palatal fricative	k
arkiv	ABM
her	na
-er	-or
I	æ
Andrew	Andreas
uh	eh
Andreas	Andrea
Kenneth	Kent
placename	Eid
Johanne	Jane
Judit	Judith
Kirsten	Kirsten
troublesome	knagen
feeble	klein
Norwegian	laiv
that	dit
disappointed	jaja
Rebekka	Rebecca
Jonatan	Jonathan
Mary	Maria
United Nations	FN
Åse	Aase
Adah	Ada
Daniel	Dan
Edith	Edit
Esther	Ester
fred	Fred
Hansel	Hans
jarl	Jarl
John	Jo
Kaj	Kai
Katrine	Kine
Leah	Lea
Leon	Leo
Maja	Mai
Emilie	Mille
Olav	Per
Ruth	Rut
Earth	Tellus
Kristine	Tine
Thor	Tor
Noa	Noah
species	cornish
huh	hæ
dark	dunkel
Christina	Tina
Julie	Julia
Phantom	Fantomet
Norway	Vegårshei
Finnmark	Karasjok
Nordland	Dønna
bombshell	bomba
stovepipe	sotrør
Elisabeth	Lisa
Slidre	Vestre Slidre
newbie	nabb
Kristine	Christina
God	Gud
genitive	-'
John	Johannes
Ester	Esther
Martha	Marta
Susanne	Susanna
oops	ups
ham	pokka
Dinah	Dina
revulsion	huff
shorthand	sek
Eve	Eva
Luke	Lukas
No.	nr.
Katarina	Karina
iff	omm
Juliet	Julie
colza	raps
Philip	Filip
Sarah	Sara
Elizabeth	Elise
Joanna	Johanna
Hannah	Hanna
shy	blu
in	en gros
Åge	Aage
rubbish	skarn
Verdens Gang	VG
Jonah	Jonas
graft	pode
Rebekah	Rebekka
Jacob	Jakob
well	har du sett på maken
Helena	Lena
something	nokka
Joakim	Joachim
oink	nøff
this	ditta
intense	heftig
Christian	Christer
Mark	Markus
Reuben	Ruben
Jeannette	Jeanette
carboxylic acid	karboksyl
eller	el.
og så videre	o.s.fr.
Elin	Eli
declivial	dekliv
boy	gutteprostituert
antepenultimate	Æ
Majesty	Majestet
Jesse	Isai
på	på skøy
industrial facility	-verk
Ine	Ina
artritiske	artritisk
artritisk	artritiske
chick	berte
det	det golla meg rått
gakk	gakk-gakk
gakk-gakk	gakk-gakker
gakk-gakk	gakk-gakkene
