I	mi
we	bi
body	nur
lie	ela
person	muur
mother	maa
chair	kit
quiet	dzo
father	taa
you	ya
face	oso
they	mɔ
shoe	sabat
tree	ote
canoe	waar
wine	maan
fur	eka
it	nɔ
squirrel	isin
net	siŋ
oil palm	iba
bag	etwa
louse	epuu
sibling	izi
eye	dzi
chin	elep
firewood	ekun
bad	obe
big	onan
root	esim
palm nut	mba
clitic	ba-
village	waa
market	iyo
husband	olum
bread	mampa
electric catfish	bukbuk
throat	mpo
woman	okaar
water	adza
fruit	mbum
Nzadi	indzee
Nzadi	ondzee
banana	ikwɔ
door	ebin
dog	mbva
relative	otuŋ
owner	oŋgaa
parent-in-law	okel
man	ibaa
chief	ŋkum
friend	mbee
Mbuun	ombuun
Yansi	oyansi
Lwel	olwal
Dzing	odziŋ
white	ondyɛɛ
doctor	oŋgaŋ
stranger	oŋgyɛŋ
teacher	lɔŋ
sibling-in-law	sɛmɛk
servant	bɔy
deaf-mute	mɛmɛ
place	okal
navel	okwum
vein	osisa
trap	otaam
yam	okpa
lion	oyaam
cockroach	osɛɛ
umbrella	ombvul
belt	oŋkap
gun	onduk
vein	ompfi
thing	oŋger
valley	ibul
sheep	imɛmɛ
knee	imɔŋ
wing	ipap
egg	ikie
stone	itar
spear	ikɔŋ
frog	ikɔɔr
lake	iziba
flower	intuntu
name	dzin
grasshopper	ɛpɛɛ
lip	ebip
jaw	ekee
bee	ekɔɔ
ear	ekwut
door	elaŋ
thigh	epen
island	esaŋ
bridge	etaar
owl	eŋkur
bamboo	ebaan
leaf	ɛkɛɛ
mosquito	ebyɛm
claw	edza
peanut	edzuu
insult	epwɔn
caterpillar	ɛsyɛ
fly	etuŋ
impala	mbvil
elephant	ndzɔɔ
snake	ntɛn
cricket	ndzyɛn
cow	ŋgwɔm
hippopotamus	ŋgwu
goat	ŋkaam
monkey	ŋkim
snail	ŋkɔɔ
tortoise	ŋkul
chicken	ŋkwɔ
rat	mpuu
animal	ntsur
fish	ntswɛ
rib	mpandzi
slave	mpik
calabash	mbin
brain	mbɔŋ
path	mbvwa
house	ndzo
hill	ŋgum
moon	ŋgwɛn
head pad	ŋkal
paddle	ŋkab
firewood	ŋkun
bean	ŋkwɔn
cave	mpep
mat	ntaŋ
basket	ntsaa
hoe	ntsɛŋ
oil	mɛɛ
plantain	likɛmba
tiredness	ilɛ
flour	mpfer
cloud	ekɔ
leg	ekul
tongue	elum
broom	ekwɔm
dust	efur
grass	etiir
money	ndzii
avocado	avoka
dew	avup
saliva	atɛ
fire	tsya
war	etum
charcoal	ikaa
bee	nwi
mɛɛ nwí	mɛɛ nwi
praying mantis	ibwa ŋkɔ
you	byɛn
they	bɔ
reflexive	-ŋgyiza
drum	ŋgɔm
happiness	kyɛs
river	ndzee
old	okuur
young man	ontsum
short	okpe
tall	otal
small	ikiker
beautiful	osya
good	odzɔ
shallow	ŋkyee
deep	ndzya
fresh	obvo
strong	bviir
blue	bulɛ
red	swii
black	pyoo
oar	ŋkii
hand	lwo
axe	sɔk
bat	ndzyɛm
butterfly	ipaaful
cane rat	ntsiiri
car	kamyɔ
crocodile	iyam
chimpanzee	sukamunt
coffee	kafɛ
catfish	mbul
fish	onteŋ
catfish	ŋgɔl
catfish	musumbwa
carp	ŋkwee
carp	ɔmpɔŋ
carp	ntsela
eel	okaŋ
elephantfish	epim
snakehead	ntsiŋ
bichir	okuŋ
catfish	idzɛr
elephantfish	dzwaan
pufferfish	tukiir
tigerfish	olyɛl
tilapia	ebal
barb	oswɔn
certain	omɔ
blood	ikel
bird	mpfuu
but	mɛ
hunger	ndzaa
shame	ntsɔn
tooth	idzen
spider	ndzaam
sleep	tɔɔ
stranger	oŋgyɛn
tail	okya
buttock	itɔ
