free	gratuit
no	noun
with	ab
where	on
book	libre
tee	te
dog	can
hand	man
bee	be
day	jour
country	país
jay	gag
create	crear
tiger	tigre
Latin	latin
he	el
year	an
abandon	abandonar
dear	car
Rattus rattus	rat
a lo	al
de lo	del
good	ben
Estonian	estonian
yellow	jaune
day	dia
Rattus rattus	rata
word	paraula
duchy	ducat
thirst	set
blood	sang
she	era
calm	quiet
basket	panier
world	mond
dictionary	diccionari
the	las
without	sense
magical	magic
three	tres
a	un
four	quatre
eleven	onze
fifteen	quinze
word	mot
flower	flor
music	musica
house	casa
bicycle	bicicleta
put	metre
with	dam
call	sonar
faith	fe
the	la
cee	ce
not	pa
mother	maire
you	tu
pee	pe
accustom	acostumar
stone	clap
such	tau
wind	vent
marmite	ola
the	los
bow	arc
coffee	cafe
hundred	cent
flat	plan
gift	don
here	aquí
know	saber
postage stamp	timbre
flower	flour
form	formula
blue	blau
their	zu
the	eth
orange	irange
weapon	arma
goat	cabra
she	ela
they	eles
they	elas
you	vos
us	nos
sing	cantar
sleep	dormir
fit	caber
moon	luna
tower	tor
kidney	ren
page	pagina
current	actual
hello	adieu
pear	pera
dog	gos
audience	public
screen	ecran
bad	mau
mussel	muscle
turnip	nap
two	dos
corner	canton
spring	fount
head	cap
moon	lua
enough	pro
the	lo
divine	divin
fine	fin
in	dens
placement	mesa
item	aliment
like	agradar
agriculture	agricultura
wing	ala
bush	boisson
tooth	dent
inside	din
pitch	brand
finger	det
do	faire
air	aire
abstract	abstrait
horn	bana
please	plaire
whale	balena
a	una
sea	mar
white	blanc
have	aver
valley	val
post	pal
sad	trist
feel	sentir
favor	favor
including	dont
warm	chaud
all	tot
Occitan	Ç
abbot	abat
absolute	absolut
more	pus
fly	mosca
to	chas
send	mandar
tea	tè
disaster	desastre
entrance	intrada
say	dire
sword	espada
anchor	ancora
shade	ombra
main	principal
under	jos
lower	inferior
sack	tasca
snout	gola
throat	garganta
alphabet	alfabet
fig	figa
fanatical	fanatic
wheat	blat
cabin	cabana
flour	farina
wolf	lop
light	lutz
death	mort
big	grand
write	scribe
silver	argent
scientific	scientific
cat	gat
November	novembre
horseshoe	ferradura
garden	jardin
my	mon
masculine	masculin
person	persona
April	abril
zoology	zoologia
eastern	oriental
hour	ora
thousand	mil
island	illa
sell	vendre
less	mens
wine	vin
band	banda
dinghy	barca
serene	seren
beehive	buc
psychology	psicologia
numerical	numeric
rowing	rem
take	prendre
meadow	prat
mine	mina
lead	plomb
energy	energia
cock	gal
-ly	-ment
evening	soir
low	bas
fairy	fada
fly	volar
ecology	ecologia
give	donar
concern	regardar
fine	multa
carry	portar
week	semano
cry	plorar
thus	ansin
economy	economia
always	sempre
Japan	Japon
street	rua
successor	successor
come	venir
between	entre
late	tard
descend	descendre
heavens	firmament
bell	campana
sin	pecar
potassium	potassi
touch	tocar
use	utilizar
use	usar
spring	prima
small	petit
five	cinc
geography	geografia
useful	util
theory	teoria
finger	dit
name	nom
physics	fisica
fortune	fortuna
demand	exigir
elephant	elefant
favorable	favorable
finish	acabar
place	plaça
chain	cadena
taste	sabor
day	jornada
Beta vulgaris	jota
promise	jurar
justify	justificar
which	qué
life	vida
microwave	microonda
hear	entendre
swim	nadar
sense	sens
pharmacy	farmacia
belly	ventre
serve	servir
culture	cultura
mouth	boca
twenty	vint
order	ordre
laughter	rire
October	octobre
radium	radi
each	cada
pain	dolor
breathe	respirar
go	vader
a los	als
Nile	Nil
cue	cu
Italian	italian
American	american
Breton	breton
Occitan	occitan
unite	unir
domain	maine
snowfall	nevada
Catalan	catalan
minute	minuta
planet	planeta
they	eres
Cuban	cuban
log	busca
against	contra
die	morir
after	après
lion	leon
feeling	sentiment
parliament	parlament
about	environ
domain	tenement
they	eri
beneath	sota
harp	arpa
now	ara
attacker	a bon gat, bon rat
be able to	poder
want	voler
high	aut
then	donc
number	nombre
chin	menton
where	ont
hope	esperar
show	mostrar
finally	enfin
duke	duc
plant	planta
she-ass	sauma
tomorrow	deman
champion	campion
cedilla	cedilha
nature	naturo
donkey	ase
gram	grama
morning	matin
count	comte
request	demanda
attitude	actitud
understand	comprendre
pregnancy	prensa
bullet	bala
official	oficial
young	jove
stop	arrestar
present	presentar
exist	existir
decide	decidir
eject	expulsar
arrive	arribar
participate	participar
organize	organizar
explain	explicar
authorize	autorizar
attack	atacar
consider	considerar
interview	entrevista
defense	defensa
vote	votar
curtain	cortina
entrance	entrada
vee	ve
break	rompre
arm	armar
represent	representar
follow	seguir
confirm	confirmar
extend	ampliar
ring	apelar
save	salvar
publish	publicar
strategy	estrategia
punish	castigar
ask	demandar
compare	comparar
activate	activar
last	durar
plank	palanca
per los	pels
military	militar
combine	combinar
farmhouse	mas
divide	dividir
beard	barba
sing	chantar
political	politic
form	formar
thirty	trenta
fifty	cinquanta
Andorran	andorran
Bulgarian	bulgar
oven	forn
gallium	galli
put	botar
drop	gota
wash	lavar
botany	botanica
fluorine	fluor
Tibetan	tibetan
special	especial
cell	cellula
tire	cansar
aquela	aquel
shore	riba
jay	ji
milk	lach
etymology	etimologia
spring	printemps
Guyenne	Guiana
marine	marin
ceiling	tet
south	sud
mountain	montanha
ecological	ecologic
address	adreça
wander	vagar
dig	cavar
cart	carro
snore	roncar
letter	letra
Muslim	musulman
celery	api
