water	siw'łkʷ
hand	kilx
one	naqs
salt	c'art
head	c'ásy'aqn
five	cilkst
forest	c'l'c'al
play	c'l'χwinkm
valley	clʕatíw's
soap	kc'aw'íw'stn
butter	kmiƛ'mn
swim	k'ram
cook	k'ʷl'cn'ut
boot	k'ʷul'xn
raccoon	mahúyaʔ
play	mam'scút
smoke	man'xʷm
eye	n'k'ʷƛ'ustn
sing	nkʷnim
wine	n'sl'sl'pustn
otter	lətkʷú
tree	cəyíp
balsam fir	məríłp
cedar	ʔástqʷ
tamarack	cíqʷəlx
alder	k'iʔk'iʔtn'íłp
birch	qʷəqʷłín'
cottonwood	múlx
juniper	púnłp
grey	paʕpaʕ'íłp
vine maple	spukʷmíłp
female	smχikn
ground hog	sxƛ'utłx
jackrabbit	ʕananíkn
male	kiʔláwnaʔ
lynx	wápupxn
mink	c'əχəlicn
white-tailed deer	t'k'ʷtups
white-tailed deer	sχʷl'ixkn
white-tailed deer	tíwłc'aʔ
moose	paʕpaʕlʕác'aʔ
wapiti	sník'łc'aʔ
reindeer	styiłc'aʔ
male	sχʷƛ'iʔ
female	spqpaqłc'aʔ
colt	q'əq'ʔik
snake	sχʷyups
toad	smináp
porcupine	qʷilqn
gopher	púl'aʔxʷ
bat	st'nt'anwáya
bobcat	pk'am
wolverine	q'ʷəłtmin
fisher	c'ər'tups
American	p'ip'q's
weasel	spápqłcaʔ
weasel	łəłk'am'
mule deer	st'úłc'aʔ
mule deer	pwalxkn
male	yilíkʷəlxkn
female	scmíłc'aʔ
cow	st'mʕalt
calf	kʷl'kʷl'al'xʷ
rattlesnake	χaʔχaʔúlaʔxʷ
lizard	kl'kl'xʷiw's
coho salmon	kísuʔ
sockeye salmon	sc'win
sockeye salmon	táʕnya
kokanee salmon	kəkn'i
steelhead trout	xʷmínaʔ
kamloops trout	nqʷíqʷiyaʕc'aʔ
whale	nχaʔχʔítkʷ
sturgeon	c'əmtus
whitefish	miməlt
cedar	məxiłp
ponderosa pine	sʔatqʷłp
goshawk	łəłak'ʷ
hummingbird	χʷnámχʷnam
blue grouse	xʷaʔxʷaʔyúł
raven	yutəlx
meadowlark	ʕ'aʔíckʷala
redwinged blackbird	ƛ'əkƛ'aʕkək
coot	t'ət'qínaʔ
loon	ʔaʔsiw'ł
bison	qʷísp
