catch	fa
abbot	abba
a	en
I	ik
except	one
ear	are
eye	age
hair	her
soon	son
tree	bam
bone	ben
leaf	bled
broad	bred
ring	bag
salty	salt
sign	teken
free	fri
home	ham
uncle	em
not	ne
she	se
most	mast
hand	hond
ghost	gast
air	luft
red	rad
kindred	ken
stall	bos
near	nei
consume	tera
so	sa
oak	ek
day	dei
close	luka
bean	bane
tongue	tunge
moon	mona
one	ma
pole	pal
brother-in-law	taker
eat	ita
rope	rap
write	skriva
leader	master
woman	wif
neck	hals
island	aland
bread	brad
dream	dram
honour	ere
food	mete
we	wi
flesh	flask
tooth	tusk
people	folk
stone	sten
companion	sith
God	Master
father	feder
night	nacht
mind	hei
honourable	har
go	gan
save	nera
sixth	sexte
perform	lasta
redeem	lesa
stand	standa
cut	skera
peasant	bur
own	ain
horse	hors
of	fon
food	iten
danger	frase
whole	hel
hail	eala
sun	sunne
you	ji
daughter	dochter
strong	sterk
soul	sele
steal	stela
no	nen
unless	buta
purchase	kap
sheep	skep
lame	lom
also	ak
thou	thu
death	dath
belly	buk
have to	aga
loud	hlud
year	jer
small	smel
deed	ded
soft	sefte
rooster	hona
Charles	Kerl
pope	paus
rest	resta
leaf	laf
king	kening
distribute	dela
lead	leda
do	dwa
spittle	saver
yard	ierde
pole	pel
seek	seka
run	renna
divide	skifta
fix	klemma
spirit	omma
set	setta
battlefield	komp
contest	lakia
ask	askia
intestine	therm
lawful	afte
finish	lenda
altar	altare
fix	hefta
toe	tane
ask	fregia
speak	spreka
name	noma
lock up	besluta
father	atta
give	jeva
grass	gers
grave	gref
attack	bifiuchta
baptize	depa
become	davia
calculate	bitella
choose	kiasa
grandfather	aldafeder
grandmother	aldemoder
ask	bidda
drive	driva
make even	ivenia
roast	breda
swell	swella
stepfather	stiapfeder
tell	biliaga
throw	werpa
thief	thiaf
wake	wakia
use	bruka
buy	kapia
detect	bisia
separate	sketha
establish	lagia
praise	lovia
expensive	diore
tooth	toth
twenty-eighth	achttwintegosta
en	en and twintegosta
twenty-four	fiuwer and twintich
fiuwer	fiuwer and twintigosta
twenty-one	en and twintich
fourteen	fiuwertin
fourteenth	fiuwertinda
fourteenth	fiuwertindosta
fourth	fiarda
forty	fiuwertich
fiuwer	fiuwer and fiuwertich
eleven	andlova
eleventh	andlofta
freedom	fridom
incest	swesbed
lock	sluta
stick	steka
make	makia
claim	tiuna
bird	fugel
feel	tasta
field	feld
apostle	apostol
offer	biada
crooked	wrak
tax	tegotha
tax collector	tegothere
table	tefle
Eastertime	paschatid
England	Angelond
day	apostolisdi
window	andern
Augsburg	Auwesburg
dam	damma
tenth	tiande
ninth	niugende
eighth	achtende
seventh	sogende
fifth	fifte
fourth	fiarde
third	thredde
eleventh	ellefte
twelfth	tuelefte
thirteenth	thredtendeste
fourteenth	fiurtendeste
fifteenth	fiftendeste
sixteenth	sextendeste
seventeenth	sogentendeste
teaching	lare
found	ramia
forget	urjeta
woman	frowe
name	namna
marriage	boste
found	stallia
street	strete
take	nima
very	swithe
contradict	sanna
support	trast
stain	smitta
help	helpa
two	twene
cool down	kalda
swear	swera
outlawed	fach
light	liacht
earth	erthe
have	hebba
bring	brenga
earthquake	erthbivinge
kettle	tsietel
mouth	muth
drink	drinka
swim	swima
take	binima
swear	biswera
submit	foraledza
still	sketta
steal	ofstela
start	bigunga
stake	urweddia
freeze	frostia
forgive	urjeva
forget	forieta
forgive	urieva
forestall	inhalia
follow	eftergunga
follow	efterkuma
follow	folgia
flash	blixenia
fix	bifestnia
fix	bihefta
fix	festigia
fix	festnia
establish	ledza
fish	fiskia
fish	forfiskia
fish	infiskia
finish	endia
finish	lageria
defeat	nithawerpa
declare	biriuchta
decide	bideithingia
find	finda
find	forthfinda
make	riuchta
decay	rotia
deal	wirza
damage	biskathigia
cut	tohakia
cut	kerva
cut	lethia
cut	skerda
cut	snithia
cut	misskera
cut	overskera
cut off	biskera
cut off	ofkerva
cut off	oflethia
take off	ofnima
cut	tokerva
credit	skaria
cover	bihella
deck	bithekka
cook	kokia
prove	iechta
convict	urkuma
contract	biforaworda
contract	forwerda
contract	fordrega
contradict	sannigia
contradict	withersedza
continue	forthsetta
contest	stedda
contest	onespreka
claim	onfalla
contest	overfiuchta
contest	skutta
contest	straffia
contest	wlemma
consume	fortera
consider	bitrachtia
consider	bithanka
regard	forbitrachtia
treat	overledza
entitled	soth
publicly	kuth
strong	stith
think	wena
reside	wunia
fly	fliaga
brew	briuwa
shoot	skiata
bridegroom	bredgoma
roof	thek
harrow	eide
four	fiuwer
lose	forliasa
much	felo
so	alsa
body	href
bring back	witherbringa
wheelmaker	hwelmaker
herring	hereng
any	enich
gravestone	serk
wheel	hwel
staff	stef
viking	witsing
gathering	somnath
thumb	thuma
advice	bired
Friday	friadei
earth	irthe
pasture	ettinge
thunder	thuner
Thursday	thunresdei
because	hwande
Wednesday	wedenesdei
keeping	haldinge
land	halfsedinge
wedding	halinge
payment	halsfriainge
mutilation	hamelinge
leather gear	hamminge
affliction	hamsekinge
confirmation	handfestinge
action	handlinge
pay	ielda
risk	netha
head	haved
medical	helpwunde
south	suth
courage	noth
money	ield
month	monath
fear	ongost
force	thwong
cattle	hrither
door	boes-doer
thought	thochte
envy	evest
announce	ketha
holy	helich
son-in-law	athum
cloth	klath
clothes	klathar
trachea	wasande
first	erest
legal	skeltata
juror	aththa
girl	famne
dear	liaf
overstep	geia
lord	drochten
helper	helpere
