because	米
as well	刀
inform	白
in	中
speak	乃
and	利
we	又
kwukyel	在
possess	斗
and	果
do	爲
allomorph	留
imperative	羅
connective	遣
phonogram	音
noun	不知
mind	心音
cannot	不只
and	㢱
one	一等
stream	川理
autumn	秋察
necessity	音叱
country	國惡
cannot	毛冬
long	慕理
star	星利
castle	城叱
palm	掌音
o	阿耶
也中	良中
ten thousand	萬尸
we	吾里
叱#Phonogram	初叱音
do	爲只
top	上只
phonogram	𢀳
th	音第叱
not have	無叱
be	有叱
phonogram	沙音
sky	天乙
trace	跡烏
straighten	直体
not	不冬
two	二尸
pine tree	栢史
world	世理
succession	丘物叱丘物叱
road	道尸
sea	海等
rock	岩乎
Buddha	佛體
day	日尸
enter	入乙
diligently	勤火叱
ten	十尸
by oneself	自衣以
oneself	自衣
隱	皆理
音	阿冬音
riverbank	汀理
garlic	蒜尸
Japanese	倭理
kind	種叱
which	於內
though	而亦
