but	en
household	man
about	um
over	of
furrow	for
necklace	men
race	kind
mortal wound	ben
grip	tak
bristle	burst
webbed foot	fit
guess	get
gate	grind
vision	lit
cord	sin
well	vel
gold	gull
suction	sog
dwelling	bo
barter	manga
act	band
sleep	sofa
meadow	eng
am	em
six	sex
grass	gras
ear	ax
corner	horn
Reykjavik	Reykjavík
lift	riga
arse	ars
rock	berg
awe	agi
pity	arma
animal	dýr
oneself	sik
me	mik
child	barn
no	nei
not	né
breathe	anda
soft	mjúkr
be	vera
dung	myki
I	ek
abbess	abbatissa
street	gata
earth	fold
thing	þing
sorrow	sorg
mane	fax
cow	ko
sole	il
be able	anna
kill	bana
rain	regn
cottage	kot
Valhalla	einherjar
earl	jarl
story	saga
Ireland	Írland
Old Norse	þ
rune	ʀ
bog	fen
wool	ull
plural	-ar
puffin	lundi
sword	sverð
stratum	lag
neck	hals
shears	sax
and	auk
precipice	brant
hill	erg
sing	gala
wood	holt
often	oft
lose	tapa
rope	tog
empty space	gap
match	maki
blubber	spik
drive	aka
stomach	magi
move	flytja
earth	mold
know	kunna
talk	tal
badly	illa
meadow	vin
Finland	Finnland
people	folk
city	borg
blind	blinda
tree	tré
call	kall
ship	skip
step	stig
often	opt
loan	lán
mass	messa
hare	heri
chin	haka
alike	eins
son	burr
hatred	afa
bake	baka
bother	ama
salmon	lax
cattle	fé
feed	mata
estimate	meta
yet	enn
scantily	vart
yes	já
miss	missa
tongue	tunga
expanse	grund
me	vit
tang	tangi
ʀ	Ʀ
intensive	afar
surf	brim
man	karl
host	herr
fringe	traf
water	vatn
goat	geit
kin	kyn
Asgard	Ásgarðr
Ljósálfar	Álfheimr
Ljósálfar	Álfheim
shield	skildir
remember	muna
come	koma
nose	nef
coal	kol
home	heim
gleaming	heid
mis-	mis-
smile	brosa
grandfather	afi
grandmother	amma
beat	berja
ask	biðja
leaf	blað
blue	blár
flower	blóm
farmer	bóndi
bread	brauð
brother	bróðir
reside	búa
prepared	búinn
die	deyja
dǿtr	dóttir
draw	draga
drink	drekka
beat	drepa
stuff	efni
property	eign
some	einn
nothing	ekki
love	elska
end	endir
father	faðir
journey	ferð
find	finna
fly	fljúga
fly	fluga
land	Frakkland
freeze	frjósa
before	fyrir
sheep	fær
old	gamall
give	gefa
do	gera
glass	gler
window	gluggi
merry	gleyma
cry	gráta
God	guð
have	hafa
autumn	haust
midday	hádegi
festival	hátíð
health	heilbrigði
health	heilsa
harbour	herbergi
mister	herra
hear	heyra
here	hér
other	hinn
heat	hiti
hit upon	hitta
leap	hlaupa
nut	hnot
raw	hrár
make clean	hreinsa
call out	hrópa
mare	hryssa
Proto-Germanic	hurð
house	hús
sharp	hvass
bed	hvíla
in	í
yesterday	í gær
can	kanna
buy	kaupa
know	kenna
church	kirkja
woman	kona
try	kosta
kiss	kyssa
far	langt
harm	mein
gather	lesa
permission	leyfi
live	lifa
lie	liggja
little	lítill
life	líf
burning light	ljós
lie	ljúga
key	lykill
strength	magn
with	með
mother	móðir
name	nafn
needle	nál
new	nýr
word	orð
advice	ráð
try	reyna
ride	ríða
room	rúm
say	segja
send	senda
sit	sitja
seldom	sjaldan
expound	skila
part	skilja
shoot	skjóta
shoe	skór
shears	skæri
sun	sól
stand	standa
stone	steinn
summer	sumar
sip	súpa
answer	svar
swim	synda
sing	syngja
sister	systir
brother	systkin
showing	sýning
bag	taska
to	til
time	tími
under	undir
up	uppi
waken	vekja
become	verða
you	þú
he	hann
those	þeir
they	þau
there	þar
where	hvar
when	hvenær
two	tveir
three	þrír
four	fjórir
five	fimm
nine	níu
ten	tíu
twelve	tólf
thirteen	þrettán
fourteen	fjórtán
fifteen	fimmtán
sixteen	sextán
eighteen	átján
nineteen	nítján
twenty	tuttugu
long hundred	hundrað
louse	lús
root	rót
blood	blóð
leg	bein
eye	auga
knee	kné
breast	brjóst
heart	hjarta
laugh	hlæja
cut	skera
dig	grafa
go	ganga
fall	falla
throw	verpa
bind	binda
count	telja
float	fljóta
rain	rigna
moon	tungl
star	stjarna
cloud	ský
fog	þoka
heavens	himinn
snow	snjór
ashes	aska
mountain	fjall
dry	þurr
therefore	því
whence	hvaðan
how	hvernig
first	fyrst
artifice	vél
week	vika
accomplish	vinna
above	yfir
thank	þakka
thatch	þak
there	þarna
people	þjóð
need	þurfa
attach	þýða
hand	mund
thane	þegn
target	targa
thorn	þorn
of	af
headland	nes
good luck	happ
apple	epli
willingly	gjarna
väksa	vaxa
otherwise	annars
spear	nata
save	bjarga
happy	sæll
shrine	hof
Monday	mánudagr
rumour	pati
Tuesday	týsdagr
cow	kýr
eagle	ari
wóss	oss
old	forn
great	mikill
small	smár
make	smíða
love	ást
side	síða
until	unz
direction	ætt
clash	skjalla
pig	svín
face	andlit
horse	hross
distress	nauð
chest	kista
service	þjónusta
gap	rauf
wave	bylgja
gladness	gleði
sight	sjón
unravel	greiða
fire	bál
hliod	hljóð
iron	járn
end	lykt
man	gumi
time	ævi
shirt	skyrta
cheek	kinn
oak	eik
lime	lind
snake	naðra
offer	boð
small tub	bytta
end	endi
neighbour	nábúi
boy	sveinn
noise	hávaði
hell	hel
tidings	tíðindi
ride	reið
deed	dáð
smithy	smiðja
race	rás
bell	bjalla
tear	tár
maiden	ekkja
divide	deila
agreement	sætt
pen	kví
dog	rakki
prince	hilmir
mud	efja
abundance	gnótt
debt	skuld
rival wife	elja
accomplishment	mennt
sleep	svefn
corn	korn
bend	beygja
well	kelda
slave	ambátt
ass	asni
foal	foli
housewife	húsfreyja
riddle	gáta
witness	vitni
meeting	mót
slope	hlíð
vapor	gufa
cradle	vagga
dwelling	bú
realm	ríki
beard	skegg
quantity	mengi
host	lið
get with child	barna
better	betri
fragrance	ang
small	fles
certain knowledge	vissa
steal	stela
ape	api
grind	mala
fir	fura
whip	keyra
pillow	koddi
shell	skel
cunt	kunta
we	vér
scythe	lé
you	ér
strip	rák
age	elli
broken ice	jaki
yule	jól
wax candle	kerti
time	stund
eel	áll
wash	skola
Tyr	Týr
alder	elri
bite	bíta
sea	ægir
cud	gor
shut	lúka
help	duga
bow	bogi
praise	lof
aware	varr
mare	merr
hag	simul
Iceland	Ísland
threaten	aga
lying	lega
ox	uxi
marketplace	torg
leaf	lauf
silvergrass	mura
Danish	danska
wheel	hjól
girl	píka
ounce	eyrir
will	vild
forward	fram
adversity	stríða
leakage	leki
nearer	nær
get hold of	ná
internally	innan
point	oddr
fish	fiskr
day	dagr
red	rauðr
white	hvítr
black	svartr
scrape	raka
rise	rísa
shower	skúr
seethe	sjóða
sharp	skarpr
sail	segl
self	sjalfr
same	samr
sick	sjúkr
broad	breiðr
dead	dauðr
deep	djúpr
beautiful	fagr
fast	fastr
good	góðr
hard	harðr
hot	heitr
cold	kaldr
long	langr
lazy	latr
low	lágr
light	léttr
smith	smiðr
true	sannr
human	maðr
spin	spinna
staff	stafr
strong	sterkr
shoulder	bógr
trunk	búkr
dream	draumr
drink	drykkr
oath	eiðr
storm	stormr
stork	storkr
severe	strangr
sweet	sœtr
stream	straumr
string	strengr
peace	friðr
suck	súga
some	sumr
apart	sundr
hoof	hófr
south	suðr
east	austr
west	vestr
north	norðr
swallow	svelga
swarm	svarmr
fence	garðr
helmet	hjalmr
so	svá
bridle	taumr
tame	tamr
tail	tagl
dog	hundr
timber	timbr
true	tryggr
hamlet	þorp
cover	þekja
thick	þykkr
thresh	þreskja
heap	hópr
thin	þunnr
up	upp
pliant	veikr
navel	nafli
field	vǫllr
wild	villr
will	vili
lack	vanta
unjust	rangr
angry	reiðr
warm	varmr
web	vefr
wave	veifa
wart	varta
wish	œskja
bright	bjartr
other	annarr
acre	akr
age	aldr
all	allr
awl	alr
inheritance heritage	arfr
unmanly	argr
young	ungr
rich	ríkr
full	fullr
empty	tómr
empty	tœma
tired	þreyttr
narrow	þrǫngr
heavy	þungr
short	stuttr
cool	svalr
wet	blautr
wet	vátr
thirsty	þyrstr
hunger	hungr
heavy	dapr
dark	døkkr
evil	vándr
fresh	ferskr
ash	askr
leather	leðr
boat	bátr
bench	bekkr
bitter	bitr
blast	blástr
kiss	koss
back	aptr
anchor	akkeri
bean	baun
cod	þorskr
squirrel	íkorni
plough	arðr
seam	faldr
oat	hafri
goat	hafr
nail	nagl
guest	gestr
member	liðr
mercy	náð
hawk	haukr
hatred	hatr
hide	hylja
lobster	humarr
deaf	daufr
strength	kraptr
limb	limr
food	matr
sun	sunna
enjoy	njóta
Æsir	Vanir
cloth	dúkr
cheese	ostr
silver	silfr
alive	kvikr
dwarf	dvergr
cuckoo	gaukr
glass	staup
heron	hegri
rye	rugr
spinning wheel	rokkr
drop	dropi
bride	brúðr
belt	belti
follower	sinni
wide	víðr
yellow	gulr
long	lengi
thought	hugr
raven	hrafn
bell	klokka
be called	heita
son	sonr
