wine	ⲟⲣⲡⲁ
ⲉⲥⲥⲓ-	ⲁⲥⲥⲉ-
side	ⲅⲁⲣ
woman	ⲉⲧ̅ⲧ-
sit	ⲁⲕ
remember	ⲁⲛⲕ
know	ⲓ
know	ⲉⲓ
die	ⲇⲓ
exult	ⲅⲁⳝ
open	ⲅⲁⲗⲗ
know	ⲉⲓⲁⲣ
make	ⲁⲩⲉⲓ
judge	ⲁⲣⲙⲥ
hope	ⲧⲉⲉⲓ
fight	ⲇⲓⳟⲉ
forget	ⲁ̄ⲅⲟⲣ
release	ⲉ̄ⲥⲟⲅⲅ
release	ⲉ̄ⲥⲟⲛⲅⲅ
mock	ⳝⲉⲓⳟⲉⲓⲇ
think	ⲕⲟⲩⲣⲕⲟⲩ
hinder	ⲧⲓⳝⳝⲁⲛ
sweet	ⲁⳝⲁⲩⲉⲓ
hasten	ⲁ̄ⲙⲁⲇⳝ
hasten	ⲁ̄ⲙⲁⲇⲉⲓⳝ
thank	ⲥ̄ⲕⲟⲉⲗ
fear	ⲁϣϣⲁⲩⲉⲓ
lead	ⲙⲟⲩⲇⲟⲩ
lead	ⲙⲟⲩⲇⲟⲩⲉⲓ
tell lies	ⲙⲁⲇⳝⲟⲩⲉ̄
lie	ⲙⲁⲇⳝ
say	ⲟⲩⲉ̄
envy	ⲕϣ̄ⲕϣ̄
draw	ⲕⲁⲥⲕⲁⲥ
believe	ⲡⲓⲥⲧⲉⲩⲉⲓ
believe	ⲡⲓⲥⲧⲉⲩ
Nobatia	Ⲛⲟⲩⲃⲁⲇⲓⲁ
Faras	Ⲡⲁⲣⲁ
Makuria	Ⲙⲁⲕⲟⲩⲣⲓⲁ
attend to	ⲟⲕⲕⲁⲣ
awaken	ⲡⲓⲕⲕ
beat	ⲕⲙ̄ⲙ
bite	ⲁⳝⳝ
bring	ⲁⲣⲣ
bring	ⲉⲛ
bring	ⲉⲛⲛ
bring	ⲉⲕ̄ⲕ
cease	ⲡⲁⳝ
cease	ⲡⲁⳝⳝ
change	ⲅⲡ̄ⲣⲧ
change	ⲅⲡ̄ⲣⲧⲣ̄
complete	ⲕⲓⲣⲓⲅⲣ̄
condemn	ⲙⲓⲇⲇ
cut down	ⳟⲟⲇⲇ
descend	ⲥⲟⲩⲕⲕ
destroy	ⲇⲁⲡⲡⲣ̄
direct	ⲉ̄ⲕⲕ
draw	ⲇ̄ⲙ̄ⲙ
endure	ⲧ̄ⲟⲩⲗⲗ
world	ⲕⲟⲥⲙⲟⲥ
Christian	ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ
father	ⲡⲁⲡⲟ
Jesus	ⲓⲏⲥⲟⲩⲥⲓ
rock	ⲕⲧ̅ⲕⲁ
sun	ⲙⲁϣⲁⲗ
rest	ⳟⲉⲥ
go	ⳝⲟⲣ
write	ⲡⲉⲓ
oppress	ⲟⲩⲕⲕⲟⲩⲧ
afflicted	ⲙⲁⲓ̈ⲕ
assemble	ⲧⲙ̄ⲙ
keep	ⲉⲓⲇⳡ
hang	ⲟⲗⲗ
come	ⲕⲓⲣ
secure	ⲧⲟⲩⳟ
raise	ⲡⲟⲟⲅ
concealed	ⲇⲉⲕⲕ
take	ⲉⲓⲧ
hate	ⲧⲥ̄ⲥ
shine	ⲡⲗ̄ⲗ
ask	ⲉ̄ⲅⲓⲇ
hallow	ⳟⲓⲥⲥ
ascend	ⲕⲉⲇ
see	ⳟⲁⲇ
wash	ⳝⲉⲗⲟⲩⲉ̄
stand	ⳟⲟⲛⳝ
write	ⲡⲁⲣ
priest	ⲓ̈ⲉⲣⲉⲟ̄ⲥ
eat	ⲕⲙ̄
drink	ⳟⲉⲓ
cow	ⲧⲟⲩⲉⲓ
cattle	ⲧⲓⲛⲓ
date palm	ⲡⲉⲛⲧⲓ
town	ⲇⲡ̄ⲡⲓ
abandon	ⲥⲟⲗ
Babylon	ⲃⲁⲃⲩⲗⲱⲛ
nine	ⲟⲥⲕⲟⲧⲁ-
one	ⲟⲩⲉⲣ-
king	ⲟⲩⲣⲟⲩ
seven	ⲕⲟⲗⲟⲧ-
town	ⲇⲡ̅ⲡ
village	ⲉⲣⲕ
wadi	ⲟⲩⲁ̅ⲧⲓ
island	ⲁⲣⲧ
country	ⲉ̅ⲥⲉ
Nubian	ⳟⲟⲡ
house	ⳟⲟⲅ
mountain	ⳟⲁϭϭ
