with	ab
book	libre
of	de
colour	color
of it	en
when	can
there	i
hand	man
love	amar
Sun	sol
year	an
such	tan
beautiful	bel
well	ben
verse	vers
justice	justicia
day	dia
bad	mal
wind	ven
branch	ram
religious order	hospital
do	far
and	e
song	chan
the	las
three	tres
tree	arbre
flower	flor
heart	cor
wrong	tort
faith	fe
the	li
the	la
I	eu
foot	pe
head	testa
figure	volt
taste	saber
tuna	ton
weapon	arma
she	ela
sleep	dormir
good	bon
my	mos
nature	natura
ancient	antic
two	dos
say	dir
new	novel
the	lo
end	fin
six	seis
star	stella
land	terra
happy	gai
forwards	por
father	paire
pull	traire
month	mes
white	blanc
have	aver
lie	mentir
king	rey
elide	d'
all	tot
pig	porc
send	mandar
say	dire
other	autre
shepherd	pastor
fig	figa
crown	corona
then	pois
direction	sen
silver	argent
leaf	folha
mad	fol
law	ley
queen	reina
more	plus
what	que
sell	vendre
big	gran
suffering	torment
take	prendre
pain	pena
too	trop
desire	dezirar
give	donar
without	ses
more	mais
come	venir
between	entre
hurt	doler
name	nom
like	com
possess	tenir
promise	jurar
belly	ventre
serve	servir
laugh	rire
pain	dolor
God	Deus
God	Dieu
husband	marit
my	mo
savior	salvador
creature	creatura
demonstrate	demostrar
Norman	norman
power	poder
want	voler
show	mostrar
duke	duc
monk	monge
count	comte
attractive	gen
chapel	capella
reassure	asegurar
announce	anunciar
curtain	cortina
call	apelar
save	salvar
joy	joi
language	lengua
ask	demandar
sing	chantar
oven	forn
drop	gota
after	apres
drunk	ivre
enjoyment	deport
weigh	pesar
fireplace	foc
night	noch
lose	perdre
believe	cuidar
move	mover
Heaven	cel
be	esser
king	rei
rhyme	rima
game	joc
short	breu
punish	punir
grass	erba
ox	bou
who	cui
friend	amic
tower	torre
shield	escut
gold	aur
place	loc
abbey	abadia
saint	sant
full	ple
sad	dolen
shout	cridar
wood	bosc
double	doblar
pardon	perdonar
give false testimony	perjurar
chivalrous	cortes
valiant	pros
in	dins
way	guisa
shine	rayar
turn	tornar
item	novela
wish	talan
toza	tosa
yes	oc
Iberia	Espanha
shave	tondre
her	leis
greenery	verdura
hope	esper
mercy	merce
wife	sposa
lord	senhor
all	tuit
hunger	fam
adverb	-men
flute	flaut
Catalan	vostra
eat	manjar
master	maestre
contain	contener
sin	peca
same	egal
madness	folia
body	cors
dagger	daga
serf	vila
water	aigua
son	filh
doctrine	doctrina
honor	onor
best	melhor
house	maizo
shine	luzir
castle	castel
thorn	espina
