Xerxes	𐎧𐏁𐎹𐎠𐎼𐏁𐎠
Cyrus	𐎤𐎢𐎽𐎢𐏁
Persian	𐎱𐎠𐎼𐎿
Mithra	𐎷𐎰𐎼
hapax legomenon	𐎶𐎦𐎢𐏁
horse	𐎠𐎿
India	𐏃𐎡𐎯𐎢𐏁
god	𐏎
horse	𐎠𐎿𐎱
Ahura Mazda	𐏈
Ahura Mazda	𐏉
Ahura Mazda	𐏊
king	𐏋
country	𐏌
country	𐏍
earth	𐏏
I	𐎠𐎭𐎶
you	𐎬𐎺𐎶
he	𐏃𐎢𐎺
am	𐎠𐏃𐎷𐎹
be	𐎠𐎿𐎫𐎡𐎹
and	𐎢𐎫𐎠
son	𐎱𐎢𐏂
law	𐎭𐎠𐎫𐎶
spear	𐎠𐎼𐏁𐎫𐎡𐏁
afar	𐎯𐎢𐎼𐎡𐎹
after	𐎠𐎱𐎼𐎶
father	𐎱𐎡𐎫𐎠
commander	𐎳𐎼𐎶𐎠𐎫𐎠
grandson	𐎴𐎱𐎠
brother	𐎲𐎼𐎠𐎫𐎠
wish	𐎣𐎠𐎶
foreign god	𐎭𐎡𐎺
mother	𐎶𐎠𐎫𐎠
foot	𐎱𐎠𐎭
name	𐎴𐎠𐎶𐎠
name	𐎴𐎠𐎶
month	𐎶𐎠𐏃
not	𐎴𐎡𐎹
sky	𐎠𐎿𐎶𐎠
long	𐎭𐎼𐎥𐎶
long	𐎭𐎼𐎥
greatly	𐎭𐎼𐏁𐎶
here	𐎡𐎭𐎠
quickly	𐎼𐎥𐎶
thus	𐎠𐎺𐎠
now	𐎵𐎢𐎼𐎶
greatly	𐎺𐎿𐎡𐎹
hand	𐎭𐎿𐎫
man	𐎶𐎼𐎫𐎡𐎹
spring	𐎺𐎠𐏃𐎼
truth	𐎠𐎼𐎫
lie	𐎭𐎼𐎢𐎥
wood	𐎭𐎠𐎽𐎢𐎺
Mazdean priest	𐎶𐎦𐏁
away	𐎠𐎱
account	𐎼𐎠𐎮𐎡𐎹
towards	𐎠𐎲𐎡𐎹
goes	𐎠𐎡𐎫𐎡𐎹
water	𐎠𐎱𐎡𐎹𐎠
sky	𐎠𐎿𐎶𐎴
give	𐎭𐎭𐎠𐎬𐎢𐎺
protect	𐎱𐎠𐎮𐎹
realm	𐎧𐏁𐏂𐎶
man	𐏀𐎴
once	𐏃𐎣𐎼𐎶𐎨𐎡𐎹
hold	𐎭𐎠𐎼𐎹𐎫𐎡𐎹
Armenia	𐎠𐎼𐎷𐎡𐎴
Persepolis	𐎠𐎼𐎷𐎡𐎴𐎹
door	𐎯𐎺𐎼𐎹𐎠
tribute	𐎲𐎠𐎪𐎶
Achaemenes	𐏃𐎧𐎠𐎶𐎴𐎡𐏁
Anahita	𐎠𐎴𐏃𐎡𐎫
Artaxerxes	𐎠𐎼𐎫𐎧𐏁𐏂𐎠
paradise	𐎱𐎼𐎭𐎹𐎭𐎠𐎶
Euphrates	𐎢𐎳𐎼𐎠𐎬𐎢
Persepolis	𐎹𐎢𐎴
Tigris	𐎫𐎡𐎥𐎼𐎠
Median	𐎶𐎠𐎭
Egyptian	𐎸𐎭𐎼𐎠𐎹
Haravaiti	𐏃𐎼𐎢𐎺𐎫𐎡𐏁
hypostyle	𐎠𐎱𐎭𐎠𐎴
Lebanon	𐎾𐎲𐎴𐎠𐎴
Arabia	𐎠𐎼𐎲𐎠𐎹
Babylon	𐎲𐎠𐎲𐎡𐎽
Elam	𐎢𐎺𐎩
