foot	pie
color	color
apocopic	o
morning	man
weight	peso
flesh	carne
judge	juez
day	dia
milk	lech
without	sin
salt	sal
son	fil
and	e
Sunday	domingo
body	cuerpo
blood	sangre
tree	arbor
book	libro
honey	miel
with	con
house	casa
bear	osso
her	ge
light	lief
harvest	mies
water	agua
sir	don
all	tod
nature	natura
four	quatro
pot	olla
father	padre
usefulness	pro
abstract noun	-io
very	much
word	palabra
sour	agro
year	anno
have	aver
king	rey
uncle	tio
locust	langosta
seraph	seraphin
alphabet	abece
fly	mosca
look for	buscar
sword	espada
glory	gloria
sky	cielo
think	pensar
cheese	queso
seaweed	alga
do	facer
flour	farina
rock	penna
people	pueblo
great	grant
silver	argent
burnt offering	holocaust
god	dios
devil	diablo
who	qui
when	quando
today	oy
crystal	cristal
thing	cosa
come	venir
green	verde
night	noche
field	campo
yolk	yema
error	yerro
nueve	noveno
smoke	fumo
false	falso
learned	sabio
just	justo
husband	marido
complaint	querella
until	fata
mouth	boca
priestly	sacerdotal
thus	ací
fire	fuego
serious	graf
lion	leon
tomorrow	cras
Nile	Nilo
hair	cabello
queen	reyna
lend	prestar
thus	ansi
coin	dinero
star	estrella
stairway	escalera
fear	miedo
priest	sacerdote
encounter	encuentro
foam	espuma
sorrow	duelo
neck	cuello
back	espalda
cistern	cisterna
and	é
be	seer
onion	cebolla
weigh	pesar
present	averiguar
bee	abeja
castle	castiello
vassal	vasallo
stone	piedra
old age	vejez
she-bear	ossa
blue	azur
Paul	Pablo
tribe	tribu
foreman	mayoral
mouse	mur
mountain	mont
wood	madera
mule	mula
high	oto
defilement	adulterio
celery	apio
ember	brasa
court	cort
branch	ramo
ass	asno
abyss	abismo
a	asso
right	diestro
left	siniestro
house	cassa
hope	esperança
cloak	palio
piece	pedaço
son	fijo
daughter	fija
scale	escama
way	guisa
inherited	heredad
sulfur	sufre
blow	colpe
tithe	diezmo
monkey	ximia
enchanter	encantador
bread	pan
sling	fonda
camel	camello
savage	fiero
man	omne
sapphire	safir
pepper	pimienta
ox	buey
Sheol	infierno
desert	desierto
daughter-in-law	nuera
liver	figado
mandrake	mandragora
tie	legar
head	cabeça
heavens	cielos
arm	braço
shoe	çapato
prophet	propheta
snake	biuora
pharaoh	pharaon
spy	espia
almond	almendra
archer	arquero
abhorrence	aborrecimiento
threat	menaça
according to	segund
Rome	Roma
work	huebra
jug	oliera
air	ayre
place	logar
empty	vazio
hare	liebre
Solomon	Salomon
bath	banno
exit	exir
swallow	golondrina
alchemy	alquimia
equal	egual
Samaritan	samaritano
cotton	algodon
owl	buho
legal	juzgo
forehead	fruente
woman	sortera
walking	andadura
learned	sabia
