I	меня
snow	ку
we	миръ
hand	порно
eye	тхо
hare	нема
he	тати
God	Кха
father	еземъ
mother	емомъ
son	язиромъ
daughter	хаимо
brother	еинимъ
husband	хабоомъ
wife	еблимъ
girl	кальмо
boy	тихоизерель
human being	ельдиль
head	вого-анды
face	вого
nose	ніонголь
ear	чинодми
forehead	воггонь-вого
hair	аврапъ
mouth	аиггъ
tongue	геинерръ
beard	воггонь-вопъ
breast	мелуръ
back	ханыиззя
foot	хамна
blood	непао
meat	убоньпа
bone	тамна
talk	калбагонъ
scream	кугиндикъ
laugh	волдикъ
sing	юнндакъ
cry	яллокъ
whistle	венеръ-кугендихъ
lie	кизея
walk	ляренъ
run	онгацекъ
dance	логондакъ
sorrow	чикамилдель
work	нельдойгохъ
ye	типъ
they	тательоикъ
drink water	ланголь-ланголь
water	ланго
feed	пантакъ
body	теинеизехъ
soul	тепнеллихъ
die	пигизе
high	тчемоуль
low	чикельгасъ
cold	тчилипеи
warmth	пигиптъ
well	тчинептчи
badly	инныпци
cleverly	вотомтинеициеземъ
foolishly	илдилалелбу
old	хабнимоль
young	язироволь
healthy	алгибполунъ
angry	илдилиннипцъ
white	яззибилъ
black	емобисъ
red	велопгосъ
sun	юналди
moon	юнопди порко
star	цехей юнопди
sky	Кхая-цивель
mist	Кхао воньне
wind	вотомталозе
rain	лаиго тингисъ
fire	ягапгъ
day	нигиппъ
night	юлесъ
evening	талло
summer	нынгы
winter	напголмъ
autumn	налломъ чалилбисъ
earth	таинангъ
sea	чимонъ лангео
river	еинонггъ
lake	ольдяль
island	тилли
rock	пеа
iron	тче
tree	теа
berry	пинды
moose	емобосьсобо
bear	иллюгилелемъ
wolf	чимо колге
fox	килле
domestic reindeer	амдье
mouse	чинипандалегъ
fish	веиногъ
goose	наледа
eagle	пигмы
raven	хагами
willow grouse	кабео
friend	ахвиту
