ଏକ	୧
ଦୁଇ	୨
ତିନି	୩
ଚାରି	୪
ପାଞ୍ଚ	୫
ଛଅ	୬
ସାତ	୭
ଆଠ	୮
ନଅ	୯
Odia	ଓଡ଼ିଆ
India	ଭାରତ
language	ଭାଷା
hand	ହାତ
ear	କାନ
Bangalore	ବେଙ୍ଗାଳୁରୁ
Kalinga	କଳିଙ୍ଗ
Goa	ଗୋଆ
Oriya	ଡାଲମା
medicine	ଔଷଧ
house	ଘର
moonlight	ଜହ୍ନ
Russia	ରୁଷିଆ
(). --> Represents the number 0	୦
oxygen	ଅମ୍ଳଜାନ
carbon	ଅଙ୍ଗାରକ
I	ମୁଁ
king	ରାଜା
new	ନୂତନ
glass	କାଚ
beard	ଦାଢ଼ି
cash	ନଗଦ
cloud	ମେଘ
snake	ସାପ
Tajikistan	ତାଜିକିସ୍ତାନ
one	ଏକ
two	ଦୁଇ
three	ତିନି
four	ଚାରି
five	ପାଞ୍ଚ
six	ଛଅ
seven	ସାତ
eight	ଆଥ
nine	ନଅ
ten	ଦଶ
eight	ଆଠ
eleven	ଏଗାର
twelve	ବାର
thirteen	ତେର
fourteen	ଚୌଦ
fifteen	ପନ୍ଦର
sixteen	ଶୋଳ
seventeen	ସତର
eighteen	ଅଠର
nineteen	ଉଣେଇଶ
score	କୋଡ଼ିଏ
rain	ବର୍ଷା
Oriya abugida	ପ
Oriya abugida	କ
Oriya abugida	ଖ
Oriya abugida	ଗ
Oriya abugida	ଘ
Oriya abugida	ଙ
Oriya abugida	ଚ
Oriya abugida	ଛ
Oriya abugida	ଜ
Oriya abugida	ଝ
Oriya abugida	ଞ
Oriya abugida	ଟ
Oriya abugida	ଠ
Oriya abugida	ଡ
Oriya abugida	ଢ
Oriya abugida	ଣ
Oriya abugida	ତ
Oriya abugida	ଥ
Oriya abugida	ଦ
Oriya abugida	ଧ
Oriya abugida	ନ
Oriya abugida	ଫ
Oriya abugida	ବ
Oriya abugida	ଵ
Oriya abugida	ଭ
Oriya abugida	ମ
Oriya abugida	ଯ
Oriya abugida	ୟ
Oriya abugida	ର
Oriya abugida	ଳ
Oriya abugida	ଲ
Oriya abugida	ୱ
Oriya abugida	ଶ
Oriya abugida	ଷ
Oriya abugida	ସ
Oriya abugida	ହ
China	ଚୀନ
bear	ଭାଲୁ
fish	ମତ୍ସ୍ଯ
book	ବହି
island	ଟାପୁ
island	ଦ୍ଵୀପ
myna	ଶାରୀ
hurry	ତରବର
fruit	ଫଳ
sky	ଆକାଶ
tree	ଗଛ
Wikipedia	ଉଇକିପିଡ଼ିଆ
potato	ଆଳୁ
tooth	ଦାନ୍ତ
flour	ଅଟା
spoon	ଚାମଚ
key	ଚାବି
eat	ଖାଇବା
Hindi	ହିନ୍ଦୀ
water	ପାଣି
Oriya abugida	ଐ
Oriya abugida	ଔ
Oriya abugida	ଆ
Oriya abugida	ଈ
Oriya abugida	ଊ
Oriya abugida	ଜ଼
Oriya abugida	ଇ
Oriya abugida	ଅ
Oriya abugida	ଡ଼
Oriya abugida	ଢ଼
Oriya abugida	ଉ
Oriya abugida	ଏ
Oriya abugida	ଋ
Oriya abugida	କ଼
Oriya abugida	ଖ଼
Oriya abugida	ଝ଼
Oriya abugida	ଓ
Oriya abugida	ଌ
visarga	ଃ
nuqta	଼
Oriya abugida	ଫ଼
Oriya abugida	ଷ଼
son-in-law	ଜ୍ୱାଇଁ
and	ଆଉ
namaste	ନମସ୍ତେ
thank you	ଧନ୍ୟବାଦ୍
India	ପୁରୁଷୋତ୍ତମପୁର
leaf	ପତ୍ର
fish	ମାଛ
aquatic	ଜଳଚର
life	ଜୀବ
prawn	ଚିଙ୍ଗୁଡ଼ି
sparrow	ଚଟିଆ
or	ବା
papaya	ଅମୃତଭଣ୍ଡା
sea	ସମୁଦ୍ର
water	ଜଳ
opium	ଅଫିମ
banana	କଦଳୀ
Earth	ପୃଥିବୀ
lion	ସିଂହ
tiger	ବାଘ
elephant	ହାତୀ
bird	ପକ୍ଷୀ
cow	ଗାଈ
sun	ସୂର୍ଯ୍ୟ
lightning	ବିଜୁଳି
earthquake	ଭୂମିକମ୍ପ
river	ନଦୀ
skeleton	କଙ୍କାଳ
ginger	ଅଦା
sugarcane	ଆଖୁ
knee	ଆଣ୍ଠୁ
hexagon	ଛକୋଣି
gold	ସୁନା
ice	ବରଫ
advice	ଉପଦେଶ
shirt	ଶାର୍ଟ
when	କେତେବେଲେ
zero	ଶୁନ୍ୟ
Arab	ଆରବୀ
Sanskrit	ସଂସ୍କୃତ
death sentence	ପ୍ରାଣଦଣ୍ଡାଜ୍ଞା
judicial sentence	ଦଣ୍ଡାଜ୍ଞା
Vishnu	ବିଷ୍ଣୁ
Indra	ଇନ୍ଦ୍ର
breath	ପ୍ରାଣ
keyboard	କିବୋର୍ଡ଼
Internet	ଇଣ୍ଟରନେଟ
Shiva	ଶିବ
computer	କମ୍ପ୍ୟୁଟର
mouse	ମାଉସ
deity	ଦେବ
heaven	ସ୍ୱର୍ଗ
egg	ଅଣ୍ଡା
meaning	ଶବ୍ଦାର୍ଥ
grandson	ପୌତ୍ର
grandson	ପ୍ରପୁତ୍ର
granddaughter	ପୌତ୍ରୀ
grandson	ଦୌହିତ୍ର
granddaughter	ଦୌହତ୍ରୀ
mother	ମାଁମାଁ
mother	ଜନନୀ
mother	ମା
mother	ମାତା
beginning	ଆରମ୍ଭ
brick	ଇଟା
male potter	କୁମ୍ଭାର
female potter	କୁମ୍ଭାରୁଣି
Krishna	କୃଷ୍ଣ
moon	ଚନ୍ଦ୍ର
candrabindu	ଚନ୍ଦ୍ରବିନ୍ଦୁ
female	ନାରୀ
woman	ମହିଳା
woman	ସ୍ତ୍ରୀ
male brahmin	ବ୍ରାହ୍ମଣ
female brahmin	ବ୍ରାହ୍ମଣୀ
Oriya abugida	ଗ଼
queen	ରାଣୀ
queen	ରାଜ୍ଞୀ
queen	ରାଜପତ୍ନୀ
queen	ରାଜମହିଷୀ
question	ପ୍ରଶ୍ନ
finger	ଆଙ୍ଗୁଳି
finger	ଆଙ୍ଗୁଠି
yes	ହଁ
inside	ଭିତର୍
Vishnu	ଵିଷ୍ଣୁ
bael	ବେଲ
big	ବଡ଼
asafoetida	ହଂଗ୍
long	ଦୀର୍ଘ
dominion	ଅଧିକାର
wayfaring	ପଥିକ
torch	ଖୋଡା
habit	ଖୋଇ
natural tank	ଅଖାତ
