two	lama
house	mana
tree	muka
son	ilma
leg	luka
crime	yakka
winter	bona
meat	foon
command	ajaja
thousand	kuma
summer	ganna
milk	annan
lake	hara
lie	soba
coffee	buna
grass	marga
village	ganda
five	shan
hundred	dhiba
smoke	haara
angry	aare
market	gabaa
river	laga
bed	siree
sea	garba
eyeglasses	kalaa
pocket	kiisi
room	kuuta
one	tokko
camel	gaala
head	mataa
new	haaraa
sexual intercourse	salma
star	urgi
compost	kosii
photograph	suura
hand	harka
white	adii
steam	hurka
pea	atara
east	baha
honey	damma
bird	shimbiro
night	halkan
eye	ija
forehead	adda
type	gosa
star	urjii
sky	samii
spend	buluu
place	bakka
west	lixa
sixty	jaatama
four	afur
Thursday	Kamsa
system	sirna
harvest	makara
arm	irree
baboon	jaldeesii
pond	eela
water	bishaan
milk	aannan
nine	sagal
finger	quba
mouth	afaan
bad	badaa
highland	baddaa
prepared	qopphaa'uu
qopphaa'uu	qophaa'uu
brother	obboleessa
sister	obboleettii
father	abbaa
ox	sangaa
mother	haadha
water	bisaani
body	nafa
May	Ebla
termite	rimma
bedbug	bacoo
happiness	jija
word	jecha
festival	jila
door	balbala
prostitute	gumna
pride	boona
epistemology	ippistimooloojii
storm	suulaa
energy	humna
lung	somba
neighbor	ollaa
girl	dubara
snake	bofa
ash	daaraa
bird	simbirroo
blood	dhiiga
bone	lafee
clothes	uffata
cow	saawwa
drink	dhugaatii
donkey	harree
drum	dibbee
ear	gurra
eat	nyaachuu
empty	duwwaa
feather	baallee
fire	abidda
flower	abaaboo
foot	miilla
frog	fattee
go	deemuu
hair	rifeensa
heart	honnee
heavy	ulfaataa
knee	jilba
knife	haaduu
lip	hidhii
long	dheeraa
man	namicha
mountain	tulluu
name	maqaa
nose	funyaan
old	moofaa
red	diimaa
road	karaa
short	gabaabaa
stone	dhagaa
sun	biiftuu
swim	dakuu
tail	eegee
tear	immimamaan
thick	furdaa
thin	qallaa
tongue	qoonqoo
tooth	ilkaan
wind	bubbee
run	fiiguu
fish	qurxummii
goat	re'ee
moon	ji'a
sand	cir'achaa
sweet	mi'aa
weep	boo'uu
woman	dubarti
three	sadii
six	ja'a
ten	kudhan
brown	magaala
enemy	diina
aardvark	Olokee
aardwolf	golloo
aback	rifachuu
district	aanaa
ship	doonii
shop	suuqii
mud	dhoqqee
hotel	hoteela
flea	tafkii
bridge	riqicha
address	teessoo
accident	balaa
small bell	bilbila
umbrella	dibaabee
Monday	Wiixata
Tuesday	Kibxata
Wednesday	Roobii
Friday	Jimmata
Saturday	Sanbata
Sunday	Dilbata
morning	ganama
dawn	obboroo
January	Amajjii
February	Guraandhala
March	Bitootessa
April	Caamsaa
June	Waaxabajjii
July	Adooleessa
August	Haggaya
September	Fulbaana
October	Onkoloolessa
November	Sadaasa
December	Muddee
autumn	birraa
spring	arfaasaa
month	baatii
year	waggaa
thirty	sodoma
forty	afurtama
eight	saddeet
fifty	shantama
seventy	torbatama
eighty	saddeettama
ninety	sagaltama
money	qarshii
cheese	baaduu
cabbage	raafuu
banana	muuzii
egg	hanqaaquu
potato	dinnicha
rice	ruuzii
salt	soogidda
spoon	fallaana
yogurt	itittuu
lunch	laaqana
supper	irbaata
black	gurraacha
gray	daalacha
green	magarisa
yellow	kelloo
ice	cabbii
invitation	waamicha
laughter	kolfa
law	seera
kidney	kalee
joy	gammachuu
justice	qajeelummaa
itch	cittoo
lesson	barumsa
mosque	masgiida
neck	morma
office	waajjira
peace	nagaa
pen	kobbee
pencil	qubeessaa
pharmacy	mana qorichaa
prayer	kadhata
question	gaaffii
rat	antuuta
rope	funyoo
ring	qubeelaa
shoulder	gatiittii
schedule	sagantee
research	qorannoo
sin	cubbuu
skin	gogaa
slavery	garbummaa
soil	biyyoo
soap	saamunaa
tiger	qeerramsa
thief	hattuu
stomach	garaacha
truth	dhugaa
valley	suluula
wallet	korojoo
war	waraana
window	foddaa
world	addunyaa
forest	bosona
friend	michuu
funeral	sirna awaalaa
garden	manduubee
flag	alaabaa
fear	sodaa
fence	dallaa
family	maatii
face	fuula
dream	abjuu
dew	fixeensa
cloud	duumessa
cheek	maddii
cat	adurree
bachelor	qeerroo
armpit	bobaa
ape	qamalee
ankle	koomee
agriculture	qonnaa
feast	nyaachisa
grandfather	akaakayyuu
grandmother	akkayyaa
gun	qawwee
hall	galma
history	seenaa
leader	geggeessaa
liver	tiruu
monument	siidaa
plate	caabii
prison	mana hidhaa
quality	waandansaa
rain	bokkaa
song	weedduu
towel	fooxaa
taxi	taaksii
brake	fireenii
job	hojii
abscess	dullaa
learn	baruu
anger	aarii
spear	eeboo
offspring	ilmoo
hill	tabba
blind	jaamaa
God	Waaqayyo
butter	dhadhaa
easy	salpha
food	nyaata
fire	ibidda
guest	keessummaa
map	maappii
message	ergaa
needle	lilimmoo
post office	mana poostaa
restaurant	mana nyaataa
send	erguu
city	magaalaa
century	jaarraa
hour	saatii
shadow	gaaddisa
time	yeroo
twenty	digdama
million	kitila
bank	baankii
coin	saantima
dollar	doolaarii
expense	baasii
salary	mindaa
signature	mallattoo
peanut	ocholoonii
salad	salaaxaa
sauce	ittoo
sugar	shukkaaraa
believer	amanaa
buffalo	gafaarsa
clinic	mana hakiimii
deaf	duudaa
dictionary	galmee jechootaa
fiancee	kaadhimaa
lady	giiftii
man	dhiira
marriage	gaa'ela
prohibition	dhowwaa
school	mana barumsaa
ostrich	guuchii
owl	uruungguu
pelican	aallaattii
elephant	arbaa
turtle	qocaa
rooster	kormaa
ant	tuchee
bee	kaanniissa
pig	booyee
sheep	hoolaa
grasshopper	korophiissa
calf	jaabi
duck	dakiiyyee
zebra	harreddiidoo
rhinoceros	karkaarro
butterfly	biillaacha
air	qilleensa
airplane	xiyyaara
allergy	adanyoo
ancestor	abuduroo
alphabet	arfii
antelope	arroolee
anus	futee
apple	poomii
argument	falmii
arrow	xiyyaa
army	raayyaa
aunt	adaadaa
authority	aangoo
axe	qottoo
baby	daa'ima
ball	kuphaa
bag	boorsaa
bamboo	leemmana
barley	garbuu
basketball	kuphaa kaachoo
bat	lillixa
bean	baaqelaa
beard	areeda
beautiful	xuurumbullee
beer	biiraa
beet	dindaa
belt	qabatto
berry	goraa
binoculars	naaduraa
bird	simbira
blacksmith	tumtuu
blanket	banjaa
blessing	eebba
bottle	dulloo
box	saanduqa
boundary	daangaa
brick	xuubii
broom	harataa
bribe	gunaa
breath	hafuura
brave	goota
brain	surrii
bracelet	laakkaa
brothel	mana sagaaggaltuu
building	gamoo
brown	daammii
bruise	godaannisa
burial	awwaala
bus	otobisii
bucket	baaldii
bush	saaxoo
buttocks	fagaara
button	kolbaa
cabbage	shaanaa
candle	shaamaa
can	xaasaa
canoe	bidiruu
candidate	ruuga
cardamon	ogiyo
carpenter	anaaxii
carpentry	anaaxummaa
carpet	afaa
carrot	kaarooti
cattle	horii
cave	boongoo
ceiling	demdemoo
category	ramaddii
cheese	qimixuu
chickpea	shunburaa
charcoal	kasala
chalk	boronqii
cinnamon	qarafaa
clay	suphee
citizen	biyyoomaa
circle	geengoo
christening	cuuphaa
clover	siddisa
color	halluu
comb	faaqqee
communication	quunnamtii
collection	kuufama
complaint	iyyata
conference	yaa'ii
consonant	dubbifamaa
coriander	dimbilaala
corruption	xiinxanii
corn	boqqolloo
conversation	haasaa
construction	ijaarsa
cough	qufaa
cousin	durbii
crazy	maraataa
countryside	baadiyyaa
crocodile	naacha
cruelty	hammeenya
customer	maamila
cutting board	maktafa
darkness	dukkana
daughter	intala
cow	sawwa
death	du'a
dead	du'aa
desert	huffee
diamond	moogaa
disappointment	mufannaa
disagreement	walbadiinsa
diarrhoea	garaa kaasa
desert	adaala
description	ibsa
dentist	hakiimii ilkaanii
decision	murtii
dialect	cabaqa
sweet	mi'aawaa
disgrace	salphina
dish	shaanii
ditch	bo'oo
disease	dhukkuba
physician	hakiimii
document	sanadii
doll	horgoggee
doubt	shakkii
drunk	machaa'aa
drunk	machooftuu
dust	awwaara
earring	lootii
earthquake	kirkira lafaa
Easter	Faasiikaa
ecosystem	sirnakkoo
elbow	ciqilee
election	filannoo
emotion	miira
end	dhuma
engineer	maandisa
engineering	maandisummaa
envelope	poostaa
error	dogoggora
eucalyptus	baargamoo
example	fakkeenya
excrement	udaan
excrement	huusoo
eyelash	nyaara
fart	dhuufuu
fart	shikee
fat	cooma
fortune	carraa
fertilizer	xaa'oo
fever	gubaa
field	dirree
fingernail	qeensa
firewood	qoraan
fly	tisiisa
foam	oomacha
fog	hurrii
folklore	afoola
food poisoning	summaa'u nyaata
footprint	faana
forbidden	dhorkaa
forgiveness	faanchoo
fort	daannoo
fox	jeedala
fruit	fuduraa
frustration	dhiphina
frying pan	maxabashaa
freedom	bilisummaa
fuel	boba'aa
future	fuulduratti
friend	saahiba
garbage	balfaa
garlic	qullubbii
generator	maddisaa
ghost	ekeraa
gift	argaa
giraffe	sattawwaa
glass	fullee
glue	haphee
gnat	bookee
gold	warqee
government	mootummaa
governor	bulchaa
grain	midhaan
grammar	caasluga
gravel	korata
greenhouse	manfullee
green pepper	qaaraa
guarantee	waabdii
chewing gum	maastiikaa
guess	tilmaama
hat	qoobii
hate	jibba
hay	hookaa
headache	mataa bowwuu
heap	tuullaa
heartburn	singiggoo
hell	jaannama
height	hojjaa
heat	o'a
help	gargaarsa
hiccup	hirqinfuu
hen	lukkuu
horror	naasuu
hut	hoxxee
ice cream	jalaatii
idiot	gowwaa
ignorance	wallaalummaa
incense	qayii
imprisonment	hidhaa
instrument	meeshaa
insult	arrabsoo
intestine	mar'ummaan
introduction	seensa
invasion	weerara
iron	sibiilaa
iron	kaawuyyaa
island	baqqanaa
interview	gaafannoo
jackal	wangoo
janitor	qulqulleessituu
jar	huuroo
jaw	a'ama
joke	qoosaa
jug	ninniga
journey	deemsa
juice	cuunfaa
jury	salganee
juniper	mi'eessaa
spinach	qoosxaa
key	bantuu
kiss	dhungoo
knuckle	buusaa
ladder	xafxafoo
ladle	cifaa
lake	haroo
larynx	qokkee
lemon	loomii
life	jiruu
length	dheerina
lightning	balaqqeessa
living room	gorduba
lock	qulfii
liquid	yaatoo
magic	tolcha
machine	maashinii
machete	gajaraa
mango	maangoo
mattress	firaashii
meadow	araddee
mayor	kantiibaa
measurement	bikkooma
microphone	noolaa
midget	tashaa
midnight	waarii
migration	godaansa
monk	moloksee
monster	bulguu
mop	foksoo
mushroom	shashara
muscle	maashaalee
mugger	saamtuu
nest	mandhee
nausea	locaa
narrow	dhiphoo
net	marayoo
newspaper	gaazexaa
nonsense	shokorkota
notebook	yaadanno
novel	asoosama
orange	birtukaanii
oryx	saalaa
orphan	gasharee
oven	furnoo
ownership	abbummaa
package	awwagii
pair	mirree
palm tree	meexxii
pancake	maxinoo
pants	surree
paper	waraqaa
panic	shororkaa
palm	harruu
parasite	akankarreettii
password	barreertuu
passenger	imalla
patience	obsa
peach	kookii
pineapple	anaanaasii
pillow	boraatii
pill	kinniinii
pipe	ujummoo
plan	karoora
pliers	ciniintuu
plow	maarashaa
poetry	walaloo
pocket	kiisii
poison	summii
police	poolisii
politics	siyaasa
pollution	faalama
plantation	danfisuu
population	uummata
pot	washoo
poverty	hiyyummaa
power	humnaa
pregnant	ulfa
prison	wankii
problem	rakkoo
product	oomisha
profession	ogummaa
pronoun	maqadhaal
proverb	mammaaksa
property	qabeenyaa
rabies	nyanyee
rebellion	fincila
radio	raadiyoo
receipt	naga'ee
purse	koro'oo
root	hundee
scarf	uffarmaa
smell	foolii
scissors	maqxuu
secret	iccitii
seed	sanyii
sexual intercourse	kaacha
shelf	dulaaba
shelter	da'oo
shirt	shamizii
shoe	kophee
shovel	akaafaa
sickle	haamtuu
silence	calleensa
silk	arrii
sister-in-law	sayyuu
sincerity	dugaadhaan
size	hammamaa
skin	googa
skirt	hamfala
skull	buqqee mataa
solution	furmaata
soul	lubbuu
south	kibba
spark	qaanqee
soup	shorbaa
voice	sagalee
sorrow	gadda
spice	quyyifa
spine	miqiqqirii
sponge	liifaa
squirrel	osolee
stamp	sumuda
stew	waxii
stick	ulee
storeroom	kuusaa
strength	jabina
string	siibaagoo
structure	caasaa
sum	ida'ama
sugarcane	meejoo
sugar	sukkaara
swamp	caffee
sweater	shurraaba
sweet potato	maxaaxisha
sunset	seensa aduu
sunrise	bahiisa aduu
summit	qarree
summary	xumura
sun	aduu
synonym	moggoyyaa
table	minjaala
tapeworm	minnii
talent	kennaa
taste	dhandhama
tax	qaraxa
team	gartuu
teenager	yarsuma
tent	waaroo
thing	waanta
threat	doorsisa
throat	kokkee
thumb	abbuudduu
thunder	bakakkaa
necktie	karabaatii
timber	saanqaa
tin	qorqorroo
tissue paper	sooftii
tire	gommaa
toilet	boolii
toe	quba miillaa
tomato	ajaagaarii
toothpick	rigaa
triangle	rogsadee
twin	lakkuu
underwear	jalaanii
uncle	eessuma
uncle	wasiila
understanding	hubannaa
urine	fincaan
verb	gochima
vaccination	talaallii
vehicle	koonkoolata
victory	mo'icha
violence	jeequmsa
vest	sadarya
visitor	daaw'ataa
waterfall	fincaa'aa
wedding	cidha
weed	huura
week	torban
weight	ulfina
width	dalgeeta
wife	niitii
wick	fo'aa
wolf	yeeyyii
old woman	alkoo
wound	madaa
drink	dhuguu
disobey	diduu
dig	soquu
die	du'uu
cure	fayyisuu
cough	qufa'uu
touch	tuquu
clean	haruu
chat	haasa'uu
buy	bituu
bother	rakkisuu
bite	ciniinuu
blame	komachuu
build	ijaaruu
bring	fiduu
bleed	dhiiguu
believe	amanuu
carry	baacuu
choose	filuu
close	cufuu
deceive	gowoomsuu
come back	deebi'uu
control	abboommachuu
cook	affeeluu
correct	sirreessuu
count	lakkaa'uu
create	uumuu
dance	shubbisuu
decide	murteessuu
describe	ibsuu
want	fedhuu
disappear	baduu
disappoint	gaddisiisuu
dislike	jibbuu
drive	oofuu
enter	galuu
explode	dho'uu
fail	kufuu
fail	qallabuu
fight	loluu
fill	guutuu
find	argachuu
finish	fixuu
repair	suphuu
fly	barrisuu
flow	yaa'uu
flee	baqachuu
plough	qotuu
exchange	geeddaruu
establish	hundeessuu
escape	miliquu
follow	hordofuu
forget	dagachuu
frighten	sodaachiisuu
get off	bu'uu
give birth	da'uu
give back	deebisuu
gossip	ususuu
give	kennuu
govern	bulchuu
graze	dheeduu
greet	dubbisuu
grieve	gadduu
smile	seequu
age	dulloomuu
grow up	guddachuu
guard	eeguu
growl	guru'uu
guess	heduu
harvest	kassabuu
hate	falquu
harm	hubuu
haggle	gatii falmuu
have	qabuu
hear	dhaga'uu
help	gargaaruu
hire	mindeessuu
hit	dha'uu
hug	hammachuu
hunt	adamsuu
hurry	ariifachuu
think	yaaduu
impale	uruu
impede	gufachiisuu
immunize	talaaluu
improve	fooyyessuu
include	dabaluu
inherit	dhaaluu
ask	gaafachuu
inspect	sakatta'uu
inspire	kakaasuu
insult	arrabsuu
ingest	liqimsuu
immigrate	godaanuu
kick	dhiituu
kiss	dhungachuu
jump	utaaluu
joke	baccuu
intimidate	quuxessuu
invite	affeeruu
know	beekuu
launder	miiccuu
laugh	kolfuu
lay down	ciibsuu
leave	baatuu
learn	barachuu
lead	geggeessuu
lick	arraabuu
lie	kijibuu
lift up	kaasuu
love	jaalachuu
limp	okkoluu
listen	dhaggeeffachuu
live	jiraachuu
lock	qollofuu
lower	buusuu
magnify	guddisuu
memorize	yaddachuu
mimic	akkeessuu
milk	elmuu
manufacture	oomishuu
make better	wayyeessuu
moan	aaduu
need	barbaaduu
nominate	eeruu
open	banuu
offend	mufachiisuu
obey	abboomamuu
multiply	baay'isuu
mourn	gufufuu
oppress	cinqursuu
pay	kaffaluu
peel	quncisuu
organize	gurmeessuu
pollute	areeruu
pile	tuuluu
pour	dhangala'uu
preach	lallabuu
predict	raajuu
practice	shaakaluu
pretend	fakkeessuu
prevent	ittisuu
print	maxxansuu
pull	harkisuu
punish	adabuu
push	dhiibuu
put	kaa'uu
rain	roobuu
relax	bashananuu
regret	sheena'uu
remain	hafuu
roast	waaduu
rob	saamuu
rot	raamma'uu
rot	tortoruu
rent	kireessuu
remind	yaadachiisuu
remember	yaadachuu
reduce	xiqqeessuu
satisfy	booharsuu
say	jedhuu
scream	iyyuu
saw	seeruu
save	hambisuu
see	ilaaluu
seem	fakkaachuu
sell	gurguruu
sharpen	qaruu
sew	hodhuu
serve	tajaajiluu
sit	taa'uu
slaughter	gorra'uu
sleep	raffu
sleep	ciisuu
sing	weeddisuu
show	agarsiisuu
sift	gingilchuu
signify	mul'isuu
slip	mucucaachuu
shatter	hurreessuu
spend	ooluu
spit	tufuu
squeeze	cimmiiguu
start	eegaluu
begin	jalqabuu
sow	facaasuu
sting	hidduu
stumble	gufachuu
study	qu'achuu
steal	hatuu
stay	turuu
startle	wareeruu
succeed	milkaa'uu
suffice	ga'uu
supply	dhiheessuu
surprise	dinqisiisuu
surround	marsuu
suspect	shakkuu
swallow	liqimsu
swim	daakuu
sweeten	mi'eessuu
sweat	dafquu
throw	darbachuu
tie	hidhuu
teach	barsiisuu
trade	daldaluu
trust	abdachuu
try	yaaluu
try	badaduu
untie	hiikuu
understand	hubachuu
try on	safarachuu
use	fayyadamuu
visit	daaw'achuu
uproot	fonqolchuu
update	ammayyoomsuu
wake up	dammaquu
wake up	dammaqsuu
wait	afachuu
vomit	hooqqisiisuu
walk	adeemuu
waste	baraaxuu
win	mo'uu
worry	dhiphachuu
work	hojjechuu
winnow	calleessuu
whistle	siissuu
wet	jiisuu
weed	aramuu
wear	uffachuu
worry	yaadda'uu
wipe	haxaa'uu
write	katabuu
write	barreessuu
alphabet	qubee
vowel	dubbachiftu
greeting	nagaa gaafachuu
na'uu	nahuu
nahuu	na'uu
duck	daakiyyee
God	Waaqa
