stone	bad
house	bai
hundred	dart
animal	charm
teacher	sensei
one	ta
month	buil
above	bab
eye	mad
drainage	bong
fish	bub
cloth	bail
god	dios
betel palm	rir
ember	bas
book	hong
hermit crab	chum
a	a
sugar cane	deb
person	chad
gray	koi
tin	beached
I	ak
breast	susu
female	dil
light	rou
two	eru
dollar	kluk
smell	bau
no	ng diak
oar	besos
coffee	kohi
excrement	dach
place	basio
color	chiro
chicken	malk
four	eua
woman	babil
land	chutem
moonfish	buls
raft	brer
pay	harau
fire	ngau
new	beches
ironwood	ngas
be	ngar
Chuuk	Ruk
coconut	lius
banana	tuu
water	ralm
spouse	buch
Palau	Belau
potato	boteto
school	skuul
canoe	mlai
vegetables	iasai
toilet	benzio
economics	keizai
tattoo	dngod
difficult	mererengeringel
church	ikelesia
store	stoang
he	ngii
Germany	Dois
cat	bekekatuu
foul	bekebau
vagina	kikaol
eight	eai
five	eim
ocean	daob
head	bedul
needle	rasm
I	ngak
yellow	merir
child	ngalek
fish	ngikel
door	tuangel
watery	beralm
vein	ngurd
rinse	omralm
sky	eanged
fire	seseb
fire	roech
woman	chebil
dawn	rirch
reddish	beroroech
purple	ulalk
body	bedengel
white	becheleleu
black	chedelekelek
red	bekerkard
dark	bungungau
yellow	bibrurek
yellow	mellil
yellowish	berorou
parrotfish	mellemau
reddish	cheriich
brown	bedengel a chutem
green	bedengel a biib
green	bedengel a chudel
sky	bedengel a eanged
blue	bedengel a daob
Ptilinopus porphyraceus	biib
grass	chudel
yellowish	oumerorou
brownish	mengeriich
glowing	mekerkard
lighted	kmard
flame	kerdel
dye	omalk
whiten	mengeleleu
dark-skinned	chedeleualek
blue	oumellemau
smell	bekengikel
rainwater	ralmchull
rain	chull
vein	sechalngurd
male	sechal
headache	bingsbedul
type	berebur
biscuit	berel
tower	berikel
chain	bombatel
spider	bubuu
copra	budues
day	buikruu
betel	buuch
main	buadel
wart	bsibsungos
bubble	brechorech
association	chelechad
dandruff	chelecheloul
path	rael
star	btuch
termite	ngal
tuberculosis	haibio
stand	dechor
nine	etiu
ten	teruich
seven	euid
six	elolem
three	edei
bite	bangch
mouse	beab
snare	bedikl
festering	bellachel
cord	besebes
yellow	budech
cowrie	buich
birth	cheroll
taro	dait
awe	dakt
cover	dangeb
conch	debusech
pole	dekel
plant	melalem
carve	melasech
bomb	melub
broil	melul
lay down	melengarech
be	bekatel
Alexandrian laurel	btaches
mortar	ngot
west	ngebard
accompanying	ngader
green	nguis
saliva	ngibes
nasal	ngirt
porcupine fish	derudm
oriental	denges
backbone	dechoel
blood	rasech
tooth	uingel
umbrella	baeong
