then	nu
wow	are
also	pi
for	hi
he	so
parrot	suka
even	sama
cow	go
dog	san
and	च
done	kata
it	ta
reliable	theta
no	na
and	ca
three	ti
poison	visa
cloth	cola
excrement	vacca
hundred	sata
he	sa
four	catur
hair	loma
white	sukka
ghost	peta
string	yotta
god	deva
together	saha
where	kuva
ram	mesa
other	para
wisdom	mona
clan	kula
like	va
knowledge	veda
friend	mitta
heavy	guru
soot	masi
truth	dhamma
build	karoti
make	abhittharati
beautiful	kalyāṇa
illness	ābādha
know	jānāti
eye	akkhi
awaken	bujjhati
bush	gumba
womb	yoni
crane	baka
dead	mata
word	vaca
Buddha	jeta
very	ati
sword	asi
beggar	bhikkhu
lotus	kamala
flame	tejas
Kamboja	Kambojaka
revenue	bali
speed	java
body	bondi
Buddha	buddha
sage	isi
Brahma	brahman
cloth	cela
white	seta
point	desa
wet	tinta
oil	tela
elephant	gaja
mind	citta
frequent	cara
sacrifice	katu
gaunt	kisa
strength	bala
charm	manta
sweat	seda
this	ima
thigh	ūru
movable	tasa
independent	serin
calmed	santa
peacock	mora
separated	vagga
method	naya
mind	manas
intoxicated	matta
six	cha
container	kosa
also	api
world	loka
stupidity	moha
man	nara
impurity	mala
thief	cora
but	pana
freed	mutta
den	bila
breast	thana
lovely	kanta
ghee	sappi
forest	vana
water	jala
this	ena
worm	kimi
cat	babbu
mind	mati
intoxication	mada
belly	udara
father	pitu
foot	pada
eagle	sena
whence	kuto
decline	khaya
supple	mudu
thus	iti
again	puna
heavy	garu
own	saka
mountain	giri
into	anto
 blind	andha
skin	taca
black pepper	marica
one	eka
day	dina
little	manda
hide	camma
Buddha	bodhi
desire	इच्छा
father-in-law	ससुर
father	pitar
elephant	mātaṅga
lion	sīha
tiger	byaggha
tortoise	kacchapa
crocodile	suṃsumāra
salt	loṇa
leaf	paṇṇa
begging	bhikkhā
immortal	amara
end	anta
spear	tomara
joy	tosa
win	jeti
wealth	dhana
shore	tīra
mother	mā
that	nā
much	bahu
several	neka
Vaishya	vessa
sprinkling	seka
flood	ogha
friend	bho
snow	hima
buttermilk	takka
poet	kavi
sharp	tippa
pair	yuga
see	passati
move	calati
fall	cavati
play	ramati
beast	miga
illness	roga
walk	carati
fraud	माया
sesamum	tila
