imam	امام
Islam	اسلام
Pashto alphabet	و
Pashto alphabet	ر
Allah	الله
grandmother	انا
maund	من
dictionary	قاموس
Pashto alphabet	ب
Pashto alphabet	ا
Pashto alphabet	ت
spade	يوم
sea	بحر
voice	آواز
Qatar	قطر
nine	نه
ship	جهاز
umbrella	چتر
book	کتاب
man	مرد
exerting	مجاهد
semen	مني
student	طالب
plum	الو
Pashto alphabet	پ
6	۶
witness	شاهد
Wazir	وزير
Muhammad	محمد
Pashto alphabet	ث
Pashto alphabet	ج
Pashto alphabet	ح
Pashto alphabet	خ
Pashto alphabet	ذ
Pashto alphabet	ز
Pashto alphabet	س
Pashto alphabet	ش
Pashto alphabet	ص
Pashto alphabet	ض
Pashto alphabet	ط
Pashto alphabet	ظ
Pashto alphabet	ع
Pashto alphabet	غ
Pashto alphabet	ف
Pashto alphabet	ق
Pashto alphabet	ک
Pashto alphabet	ل
Pashto alphabet	م
Pashto alphabet	ن
Pashto alphabet	ه
Pashto alphabet	ي
Pashto alphabet	ی
people	مردم
Pashto	پښتو
crawfish	سرطان
bridge	پل
France	فرانسه
pomegranate	انار
human	انسان
favor	انعام
tea	چای
wrong	غلط
friend	دوست
permission	اجازه
oven	تنور
fire	اور
paradise	فردوس
original	آره
Buddha	بودا
tower	برج
Pakistan	پاکستان
Pashto alphabet	ژ
lying	پروت
archaeology	لرغونپوهنه
religion	مذهب
botany	بوټپوهنه
Somalia	سوماليا
physics	پنځپوهنه
mulberry	توت
Germany	آلمان
fear	رم
fish	ماهی
saffron	زعفران
dad	بابا
finger	انگشت
arm	بازو
our	مو
simple	ساده
lad	بچه
bad	بد
wind	باد
garden	باغ
Pashto alphabet	چ
carpet	فرش
rain	باران
eternal	ابدی
land	کشور
you	در
bold spirit	سرباز
pistachio	پسته
watermelon	هندوانه
will	به
almond	بادام
me	را
only	فقط
hawk	باز
form	صورت
alcohol	دارو
knowledge	دانش
horizon	افق
cheap	ارزان
and	او
iron	آهن
valley	دره
manner	روش
similarity	مثل
feeling	احساس
raw	خام
co-wife	بن
if	که
ravine	کند
brick	آجر
name	نوم
goal	هدف
melody	آهنگ
he	دی
cup	جام
government	حکومت
mercy	رحم
mineral	معدن
yes	هو
tail	لم
age	عمر
lover	عاشق
sowing	کر
king	ملک
harm	صدمه
with	سره
emerald	زمرد
woodwind	سورنا
hundred	سل
grief	غم
beginning	شروع
dog	سپی
non-	نا
weight	مرغ
company	شرکت
population	آبادانی
large	ستر
right	سم
honour	پت
always	همیشه
angel	ملکه
center	مرکز
house	کور
every	هر
ocean	سمندر
punishment	مجازات
aqueduct	آبرو
lie	دروغ
piece	دانه
prophet	نبي
standard	كره
father	پلار
antelope	آهو
do	کول
see	ليدل
look up	ګورل
go	تلل
come	راتلل
have	لرل
eat	خوړل
roll	غښتل
close	بندول
sell	پلورل
find	موندل
climb	ختل
enter	ننوتل
I	زه
they	هغوی
your	ستا
my	زما
his	د هغۀ
her	د هغې
their	د هغوی
my	مې
your	دې
his	يې
she	دا
this	دغه
populate	ابادول
discuss	بحث کول
call	بلل
here	دلته
there	هلته
bad	بده
cheap	ارزانه
expensive	ګران
become	کېدل
speak	غږېدل
hot	تود
cold	سوړ
cold	سړه
near	نږدې
very	ډېر
alif	آ
end	انجام
tradition	دود
servant	بنده
goose	بته
jackal	شغال
apricot	زردالو
page	صفحه
shura	شورا
cheese	پنير
way	لار
monster	بلا
ouch	اخ
Germany	المانيا
Iran	ايران
top	بام
red	سور
sexual intercourse	غو
other	بل
scholar	پوهاند
horse	آس
thorn	اغزی
airplane	الوتکه
grandmother	نيا
side	اړخ
again	بيا
monkey	بيزو
smell	بوى
full	ډک
pool	ډنډ
heavy	دروند
region	سيمه
hospital	روغتون
since	ځکه
because	ځکه چې
tall	جګ
some	ځينې
young	ځوان
round	ګرد
tooth	غاښ
ear	غوږ
meat	غوښه
moustache	برېت
mountain	غر
flower	ګل
boy	هلک
girl	نجلۍ
kamees	خت
trousers	پرتوګ
year	کال
sister	خور
room	خونه
room	کوټه
parrot	توتي
listen	غوږ نيول
mouth	خوله
host	کوربه
deaf	کوڼ
street	واټ
hand	لاس
wood	لرګی
ten	لس
crazy	لېونی
hem	لمن
little	لږ
far	لرې
sun	لمر
grandson	لمسی
prayer	لمونځ
wet	لوند
great	لوی
excellent	غوره
salt	مالګه
middle	منځ
building	ماڼۍ
big	غټ
helicopter	چورلکه
family	کورنۍ
university	پوهنتون
duck	هېلۍ
penis	غيڼ
crane	زاڼه
look	ګورم
see	وينم
watch	کسم
New Year	نوی کال
learn	زده کول
wait	سترګې په لار کول
live	ژوند کول
fly	الوتل
side	څنډه
side	څنګ
drake	پتخ
health	روغتيا
duck	پتخه
money	پيسې
annual	کالنی
you	تاسې
our	زموږ
we	موږ
your	ستاسې
wolf	شرمښ
crazy	لېونۍ
